"AreaSection";"SD";"Quarter";"DepthInterval";"Layer";"NHauls"
"1";2224;22;1;" 10 - 39";2;45
"2";2224;22;1;" 40 - 59";3;0
"3";2224;22;1;" 60 - 79";4;0
"4";2224;22;1;" 80 - 99";5;0
"5";2224;22;1;"100 - 119";6;0
"6";2224;24;1;" 10 - 39";2;24
"7";2224;24;1;" 40 - 59";3;16
"8";2224;24;1;" 60 - 79";4;5
"9";2224;24;1;" 80 - 99";5;0
"10";2224;24;1;"100 - 119";6;0
"11";2528;25;1;" 20 - 39";2;21
"12";2528;25;1;" 40 - 59";3;25
"13";2528;25;1;" 60 - 79";4;23
"14";2528;25;1;" 80 - 99";5;14
"15";2528;25;1;"100 - 119";6;0
"16";2528;26;1;" 20 - 39";2;12
"17";2528;26;1;" 40 - 59";3;13
"18";2528;26;1;" 60 - 79";4;18
"19";2528;26;1;" 80 - 99";5;19
"20";2528;26;1;"100 - 119";6;15
"21";2528;27;1;" 10 - 39";2;0
"22";2528;27;1;" 40 - 59";3;2
"23";2528;27;1;" 60 - 79";4;4
"24";2528;27;1;" 80 - 99";5;4
"25";2528;27;1;"100 - 119";6;0
"26";2528;28;1;" 10 - 39";2;9
"27";2528;28;1;" 40 - 59";3;6
"28";2528;28;1;" 60 - 79";4;5
"29";2528;28;1;" 80 - 99";5;12
"30";2528;28;1;"100 - 119";6;3
