NrHaul;Status;Dist;Mean_Depth;Layer;EEZ;NM12;lat1;lon1;lat2;lon2;lat3;lon3;lat4;lon4;lat5;lon5;lat6;lon6;lat7;lon7;lat8;lon8;lat9;lon9;lat10;lon10;lat_end;lon_end;geometry;length;Area;type
22094;V;2,288424957;23;2;DEN;No;56,035;10,9183333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(10.9183333333333, 56.035);0;22;additional
22036;V;2,313716664;17;2;DEN;No;55,9175;11,2183333333333;55,885;11,2677777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,885;11,2677777777778;c(11.2183333333333, 11.2677777777778, 55.9175, 55.885);4760,20514386007;22;additional
24334;V;1,564763307;10;2;GFR;No;54,3816666666667;14,3002777777778;54,3844444444444;14,3175;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,3844444444444;14,3175;c(14.3002777777778, 14.3175, 54.3816666666667, 54.3844444444444);1160,90134875989;24;additional
24337;V;;18;2;DEN;;55,2952777777778;12,5105555555556;55,2486111111111;12,5005555555556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,2486111111111;12,5005555555556;c(12.5105555555556, 12.5005555555556, 55.2952777777778, 55.2486111111111);5234,06752632954;24;additional
24275;V;1,660894082;48;3;DEN;No;55,2086111111111;14,3019444444444;55,1819444444444;14,2841666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,1819444444444;14,2841666666667;c(14.3019444444444, 14.2841666666667, 55.2086111111111, 55.1819444444444);3177,27268882912;24;additional
24253;V;1,741132995;41;3;SWE;No;55,2102777777778;13,3677777777778;55,1730555555555;13,3747222222222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,1730555555555;13,3747222222222;c(13.3677777777778, 13.3747222222222, 55.2102777777778, 55.1730555555555);4167,37654967919;24;additional
25422;V;1,565275074;44;3;SWE;No;55,6855555555556;14,4016666666667;55,6902777777778;14,4505555555556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,6902777777778;14,4505555555556;c(14.4016666666667, 14.4505555555556, 55.6855555555556, 55.6902777777778);3119,47211446914;25;additional
25052;V;1,566096168;47;3;POL;No;54,6344444444444;16,0680555555556;54,665;16,1211111111111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,665;16,1211111111111;c(16.0680555555556, 16.1211111111111, 54.6344444444444, 54.665);4826,81872355131;25;additional
25308;V;3,024437045;65;4;POL;No;55,7336111111111;17,9186111111111;55,7486111111111;17,9519444444444;55,735;17,9691666666667;55,7505555555556;18,0008333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,7505555555556;18,0008333333333;c(17.9186111111111, 17.9519444444444, 17.9691666666667, 18.0008333333333, 55.7336111111111, 55.7486111111111, 55.735, 55.7505555555556);7177,26811937562;25;additional
25298;V;2,900251882;63;4;SWE;No;55,7338888888889;15,5708333333333;55,735;15,6041666666667;55,7355555555556;15,6336111111111;55,7355555555556;15,6541666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,7355555555556;15,6541666666667;c(15.5708333333333, 15.6041666666667, 15.6336111111111, 15.6541666666667, 55.7338888888889, 55.735, 55.7355555555556, 55.7355555555556);5239,60179836773;25;additional
26210;V;1,805042924;63;4;POL;No;54,4502777777778;19,1675;54,4505555555556;19,1172222222222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4505555555556;19,1172222222222;c(19.1675, 19.1172222222222, 54.4502777777778, 54.4505555555556);3261,45706541291;26;additional
