RectangleAlpha;NrHaul;Status;Dist;Mean_Depth;Layer;EEZ;NM12;lat1;lon1;lat2;lon2;lat3;lon3;lat4;lon4;lat5;lon5;lat6;lon6;lat7;lon7;lat8;lon8;lat9;lon9;lat10;lon10;lat_end;lon_end;length;Area;type;Country;Pct
37G0;22123;V;1,499857173;20;2;GFR;No;54,4581666666667;10,5925;54,4503333333333;10,6333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4503333333333;10,6333333333333;2788,28745576384;22;Allocated;DE;100
37G2;24002;V;1,846594079;18;2;GFR;No;54,4413333333333;12,348;54,432;12,3381666666667;54,423;12,3315;54,4141666666667;12,3233333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4141666666667;12,3233333333333;3427,55192821668;24;Allocated;DE;100
37G2;24001;V;1,616412896;17;2;GFR;No;54,3841666666667;12,1938333333333;54,4058333333333;12,2213333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4058333333333;12,2213333333333;3001,19973153739;24;Allocated;DE;100
37G4;24334;V;1,564763307;10;2;GFR;No;54,3666666666667;14,3016666666667;54,39;14,3216666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,39;14,3216666666667;2904,27514933829;24;Allocated;DE;100
37G4;24335;V;1,636694046;14;2;GFR;No;54,1916666666667;14,31;54,2133333333333;14,2816666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,2133333333333;14,2816666666667;3038,89283469472;24;Allocated;DE;100
37G4;24004;V;2,496303573;16;2;POL;No;54,4833333333333;14,7533333333333;54,4435;14,774;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4435;14,774;4632,08943330009;24;Allocated;DE;100
37G4;24332;V;1,602000262;11;2;GFR;No;54,3766666666667;14,185;54,395;14,1516666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,395;14,1516666666667;2975,62738467658;24;Allocated;DE;100
37G4;24022;V;3,354320046;31;2;POL;No;54,4458333333333;14,955;54,4528333333333;14,9171666666667;54,4586666666667;14,8875;54,4615;14,8628333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4615;14,8628333333333;6236,03967518886;24;Allocated;DE;100
37G5;25006;V;1,805921899;32;2;POL;No;54,4333333333333;15,1466666666667;54,4316666666667;15,1983333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4316666666667;15,1983333333333;3357,99374198226;25;Allocated;PL;100
37G5;25009;V;1,866269153;30;2;POL;No;54,3816666666667;15,7883333333333;54,3833333333333;15,735;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,3833333333333;15,735;3470,19736163838;25;Allocated;PL;100
37G5;25042;V;5,941040851;45;3;POL;No;54,5333333333333;16;54,435;16,02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,435;16,02;11022,3625944225;25;Allocated;PL;100
37G5;25008;V;1,747078365;28;2;POL;No;54,3833333333333;15,5666666666667;54,3833333333333;15,6166666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,3833333333333;15,6166666666667;3248,59179857632;25;Allocated;PL;100
37G5;25040;V;1,75331743;49;3;POL;No;54,465;15,78;54,485;15,8166666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,485;15,8166666666667;3256,74456948166;25;Allocated;PL;100
37G5;25039;V;1,598303948;49;3;POL;No;54,4583333333333;15,605;54,48;15,6316666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,48;15,6316666666667;2967,50527207294;25;Allocated;PL;100
37G6;25010;V;1,914171772;26;2;POL;No;54,4466666666667;16,0883333333333;54,4783333333333;16,095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4783333333333;16,095;3551,34189453984;25;Allocated;PL;100
37G8;26168;V;1,562623564;68;4;POL;No;54,6483333333333;18,8366666666667;54,6716666666667;18,8166666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,6716666666667;18,8166666666667;2900,40713041051;26;Mooved to new Layer;PL;100
37G8;26168;V;1,562623564;68;4;POL;No;54,6483333333333;18,8366666666667;54,6716666666667;18,8166666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,6716666666667;18,8166666666667;2900,40713041051;26;Mooved to new Layer;PL;100
37G9;26210;V;1,805042924;63;4;POL;No;54,4516666666667;19,1716666666667;54,4533333333333;19,12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4533333333333;19,12;3356,36307166859;26;Allocated;PL;100
37G9;26217;V;1,353415389;43;3;POL;No;54,4116666666667;19,2916666666667;54,4083333333333;19,2533333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4083333333333;19,2533333333333;2516,47683281658;26;Allocated;PL;100
37G9;26216;V;0,533400271;33;2;POL;No;54,3983333333333;19,2716666666667;54,3966666666667;19,2566666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,3966666666667;19,2566666666667;991,74857272234;26;Allocated;PL;100
37G9;26131;V;1,691150032;30;2;POL;No;54,4;19,04;54,3983333333333;19,0883333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,3983333333333;19,0883333333333;3144,57402007469;26;Allocated;PL;100
37G9;26220;V;0,153434096;45;3;POL;No;54,4183333333333;19,085;54,42;19,0816666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,42;19,0816666666667;285,026741642714;26;Allocated;PL;100
38G3;24009;V;3,253830553;18;2;GFR;No;54,5256666666667;13,9626666666667;54,4918333333333;14,0356666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4918333333333;14,0356666666667;6045,0190999055;24;Allocated;DE;100
38G3;24182;V;2,501214844;48;3;GFR;No;54,875;13,4068333333333;54,8896666666667;13,4746666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,8896666666667;13,4746666666667;4649,71391112156;24;Allocated;DE;100
38G3;24069;V;2,514612406;34;2;GFR;No;54,7453333333333;13,5073333333333;54,7088333333333;13,543;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,7088333333333;13,543;4667,91566656624;24;Allocated;DE;100
38G3;24171;V;1,459409863;42;3;GFR;No;54,9386666666667;13,0898333333333;54,9391666666667;13,1321666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,9391666666667;13,1321666666667;2713,7697002727;24;Allocated;DE;100
38G3;24306;V;2,777221198;41;3;GFR;No;54,7097;13,7887333333333;54,755;13,8052;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,755;13,8052;5153,09493330012;24;Allocated;DE;100
38G3;24289;V;2,107630024;47;3;GFR;No;54,9316666666667;13,2583333333333;54,95;13,2616666666667;54,9666666666667;13,26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,9666666666667;13,26;3910,51021157061;24;Allocated;DE;100
38G3;24067;V;2,501676817;48;3;GFR;No;54,8131666666667;13,4223333333333;54,7795;13,465;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,7795;13,465;4645,05545919977;24;Allocated;DE;100
38G3;24310;V;8,256366441;50,5;3;GFR;No;54,9887833333333;13,8697266666667;54,9245366666667;13,6578;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,9245366666667;13,6578;15345,3127661602;24;Allocated;DE;100
38G3;24192;V;3,63405953;43;3;GFR;No;54,865;13,835;54,8633333333333;13,8016666666667;54,8633333333333;13,7666666666667;54,865;13,73;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,865;13,73;6757,43633822401;24;Allocated;DE;100
38G6;25004;V;1,412886364;20;2;POL;No;54,8783333333333;16,6433333333333;54,8833333333333;16,6833333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,8833333333333;16,6833333333333;2626,99006494873;25;Allocated;PL;100
38G6;25503;V;3,034164997;89;5;POL;No;55,1559666666667;16,0664666666667;55,1646666666667;16,05275;55,1745;16,0365;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,1745;16,0365;2811,65496891585;25;Allocated;PL;100
38G6;25017;V;1,457283964;29;2;POL;No;54,7366666666667;16,8716666666667;54,7266666666667;16,8333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,7266666666667;16,8333333333333;2708,7592316091;25;Allocated;PL;100
38G6;25014;V;1,499341638;27;2;POL;No;54,6933333333333;16,645;54,6866666666667;16,6033333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,6866666666667;16,6033333333333;2787,54169937698;25;Allocated;PL;100
38G6;25013;V;1,251378162;33;2;POL;No;54,65;16,3933333333333;54,6333333333333;16,3716666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,6333333333333;16,3716666666667;2323,55438070294;25;Allocated;PL;100
38G6;25052;V;1,566096168;47;3;POL;No;54,64;16,075;54,65;16,1166666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,65;16,1166666666667;2911,14663527414;25;Allocated;PL;100
38G6;25062;V;1,632780127;48;3;POL;No;54,9383333333333;16,2433333333333;54,92;16,2083333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,92;16,2083333333333;3033,09507054938;25;Allocated;PL;100
38G7;25022;V;4,654594062;28;2;POL;No;54,9566666666667;17,4166666666667;54,9583333333333;17,4666666666667;54,9533333333333;17,5;54,9733333333333;17,5366666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,9733333333333;17,5366666666667;8651,48548035228;25;Allocated;PL;100
38G7;25024;V;2,114456006;24;2;POL;No;54,85;17,4666666666667;54,8565;17,5268333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,8565;17,5268333333333;3931,51401066221;25;Allocated;PL;100
