SD;Layer;Cpue
24;2;4929,1844
24;3;19788,8148
24;4;1902,7528
22;2;879,7057
25;3;42061,1922
25;4;19726,5218
25;5;6133,58626666667
26;5;2855,66666666667
25;2;11087,7293
23;2;1237,1752
26;3;6114,61906666667
26;4;5893,83683333333
26;2;2143,63333333333
28;4;854,09
28;3;493,466666666667
27;3;9,33333333333333
26;6;4
28;5;44,8
28;2;216
27;4;144,935
27;5;10
