AreaSection;SD;Quarter;DepthInterval;Layer;NHauls
2224;22;4; 10 - 39;2;29
2224;22;4; 40 - 59;3;5
2224;22;4; 60 - 79;4;0
2224;22;4; 80 - 99;5;0
2224;22;4;100 - 119;6;0
2224;24;4; 10 - 39;2;22
2224;24;4; 40 - 59;3;11
2224;24;4; 60 - 79;4;16
2224;24;4; 80 - 99;5;0
2224;24;4;100 - 119;6;0
2528;25;4; 20 - 39;2;22
2528;25;4; 40 - 59;3;28
2528;25;4; 60 - 79;4;24
2528;25;4; 80 - 99;5;14
2528;25;4;100 - 119;6;0
2528;26;4; 20 - 39;2;8
2528;26;4; 40 - 59;3;9
2528;26;4; 60 - 79;4;12
2528;26;4; 80 - 99;5;14
2528;26;4;100 - 119;6;8
2528;27;4; 10 - 39;2;0
2528;27;4; 40 - 59;3;2
2528;27;4; 60 - 79;4;4
2528;27;4; 80 - 99;5;4
2528;27;4;100 - 119;6;0
2528;28;4; 10 - 39;2;7
2528;28;4; 40 - 59;3;7
2528;28;4; 60 - 79;4;9
2528;28;4; 80 - 99;5;5
2528;28;4;100 - 119;6;0
