NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Latitude_end_deg;Latitude_end_dec_min;Longitude_end_deg;Longitude_end_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;Latitude_end_deg_dec;Longitude_end_deg_dec;codstock;lon1;lat1;st;lon2;lat2
22082;39G1;22;55;6,36;11;19,5;;;;;2;DEN;55,106;11,325;NA;NA;21-24;11,3272;55,10755;35;11,299783;55,126483
22084;39G1;22;55;11,9;11;4,6;;;;;2;DEN;55,1983333333333;11,0766666666667;NA;NA;21-24;11,075666;55,197833;259;11,045;55,185833
22090;40G0;22;55;42,3;10;27,8;;;;;2;DEN;55,705;10,4633333333333;NA;NA;21-24;10,462116;55,705583;32;10,421816;55,705066
22103;39G1;22;55;3,32;11;1,82;;;;;2;DEN;55,0553333333333;11,0303333333333;NA;NA;21-24;11,031383;55,048166;656;11,031083;55,056666
