lon1;Status;RectangleAlpha;Mean_Depth;Layer;EEZ;Longitude1_deg;Longitude1_dec_min;Longitude2_deg;Longitude2_dec_min;Longitude_end_deg;Longitude_end_dec_min;Latitude1_deg;Latitude1_dec_min;Latitude2_deg;Latitude2_dec_min;Latitude_end_deg;Latitude_end_dec_min;NrHaul;ICES.SD;NM12
12,335;V;41G2;21;2;DEN;12;20,1;12;21,9;12;21,9;56;9,8;56;8,9;56;8,9;23013;23;No
12,72;V;40G2;19;2;DEN;12;43,2;12;44,2;12;44,2;55;48,8;55;47,7;55;47,7;23014;23;No
12,646666;V;40G2;16;2;DEN;12;38,8;12;38,3;12;38,3;55;58,7;55;57,3;55;57,3;23015;23;No
12,721666;V;40G2;19;2;DEN;12;43,3;12;42,9;12;42,9;55;47,9;55;49,0;55;49,0;23016;23;No
12,633333;V;40G2;17;2;DEN;12;38,0;12;39,1;12;39,1;55;56,5;55;57,8;55;57,8;23017;23;No
12,643333;V;40G2;17;2;DEN;12;38,6;12;37,9;12;37,9;55;57,6;55;56,5;55;56,5;23018;23;No
12,491166;V;41G2;24;2;DEN;12;29,47;12;27,87;12;27,87;56;7,61;56;8,56;56;8,56;23019;23;No
12,643166;V;40G2;16;2;DEN;12;38,59;12;38,13;12;38,13;55;57,9;55;56,79;55;56,79;23020;23;No
12,713166;V;40G2;20;2;DEN;12;42,79;12;43,63;12;43,63;55;49,27;55;48,19;55;48,19;23021;23;No
12,715166;V;40G2;20;2;DEN;12;42,91;12;44,09;12;44,09;55;49,07;55;47,88;55;47,88;23022;23;No
12,369333;V;41G2;24;2;DEN;12;22,160;12;23,900;12;23,900;56;9,880;56;9,130;56;9,130;23023;23;No
12,732166;V;40G2;20;2;SWE;12;43,930;12;42,980;12;42,980;55;48,290;55;49,270;55;49,270;23024;23;No
12,366666;V;41G2;21;2;DEN;12;22,00;12;20,09;12;20,09;56;8,96;56;9,70;56;9,70;23025;23;No
12,736;V;40G2;20;2;DEN;12;44,16;12;42,92;12;42,92;55;48,00;55;49,04;55;49,04;23026;23;No
12,642333;V;40G2;17;2;DEN;12;38,54;12;38,11;12;38,11;55;56,54;55;57,83;55;57,83;23027;23;No
12,454716;V;41G2;27;2;DEN;12;27,283;12;25,250;12;25,250;56;7,154;56;7,980;56;7,980;23028;23;No
12,467333;V;41G2;24;2;DEN;12;28,04;12;26,75;12;26,75;56;8,24;56;9,25;56;9,25;23029;23;No
12,483;V;41G2;24;2;DEN;12;28,980;12;28,460;12;28,460;56;7,990;56;8,600;56;8,600;23030;23;No
12,470666;V;41G2;26;2;DEN;12;28,2400;12;26,3900;12;26,3900;56;7,3200;56;7,7600;56;7,7600;23031;23;No
12,645333;V;40G2;16;2;DEN;12;38,7200;12;37,8100;12;37,8100;55;57,6100;55;56,4700;55;56,4700;23032;23;No
12,4365;V;41G2;27;2;DEN;12;26,190;12;28,400;12;28,400;56;7,640;56;7,230;56;7,230;23033;23;No
12,4326;V;41G2;26;2;DEN;12;25,956;12;28,240;12;28,240;56;7,848;56;7,270;56;7,270;23034;23;No
12,459266;V;41G2;25;2;DEN;12;27,556;12;26,475;12;26,475;56;7,590;56;8,845;56;8,845;23035;23;No
