NrHaul;Status;Dist;Mean_Depth;Layer;RectangleAlpha;EEZ;NM12;lat1;lon1;lat2;lon2;lat3;lon3;lat4;lon4;lat5;lon5;lat6;lon6;lat7;lon7;lat8;lon8;lat9;lon9;lat10;lon10;lat_end;lon_end;length;Area
22002;V;3,37720131;18;2;37G1;GFR;No;54,1878333333333;11,921;54,1865;11,8248333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,1865;11,8248333333333;6279,63509685924;22
22003;V;2,402847472;19;2;37G1;GFR;No;54,1966666666667;11,89;54,2366666666667;11,8866666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,2366666666667;11,8866666666667;4457,66826768235;22
22004;V;2,523245588;18;2;37G0;GFR;No;54,4416666666667;10,661;54,4551666666667;10,5925;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4551666666667;10,5925;4690,74911791204;22
22005;V;1,559254268;17;2;37G0;GFR;No;54,404;10,7545;54,4241666666667;10,7263333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4241666666667;10,7263333333333;2895,3748126686;22
22006;I;2,252025088;19;2;37G0;GFR;No;54,4966666666667;10,6866666666667;54,4616666666667;10,71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4616666666667;10,71;4179,26973799676;22
22007;V;3,997592151;16;2;37G1;GFR;No;54,4521666666667;11,3863333333333;54,3861666666667;11,3706666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,3861666666667;11,3706666666667;7416,70306076345;22
22008;V;2,300739154;19;2;37G1;GFR;No;54,3466666666667;11,9216666666667;54,3083333333333;11,9233333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,3083333333333;11,9233333333333;4268,30284642278;22
22011;V;2,496299408;20;2;38G0;GFR;No;54,5758333333333;10,1698333333333;54,5588333333333;10,2353333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,5588333333333;10,2353333333333;4640,02281204977;22
22012;V;1,63928511;25;2;37G1;GFR;No;54,4203333333333;11,5178333333333;54,3935;11,509;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,3935;11,509;3041,46338775341;22
22013;V;1,645122169;28;2;38G1;GFR;No;54,523;11,3211666666667;54,5028333333333;11,3531666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,5028333333333;11,3531666666667;3055,28404782465;22
22014;V;1,63;19;2;38G0;DEN;No;54,6193333333333;10,6505;54,5921666666667;10,6505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,5921666666667;10,6505;3024,09151014594;22
22016;V;2,480063267;13;2;39G0;DEN;No;55,0983333333333;10,8116666666667;55,0616666666667;10,7783333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,0616666666667;10,7783333333333;4603,71823359732;22
22018;V;2,269494257;13;2;39G1;DEN;No;55,07;11,0683333333333;55,0633333333333;11,0833333333333;55,05;11,0933333333333;55,0433333333333;11,1116666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,0433333333333;11,1116666666667;4215,25244050509;22
22019;V;2,498094604;17;2;39G1;DEN;No;55,0573333333333;11,4025;55,0468333333333;11,3321666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,0468333333333;11,3321666666667;4644,58398393371;22
22020;V;2,634058149;18;2;39G0;DEN;No;55,2116666666667;10,9383333333333;55,225;10,955;55,2283333333333;10,9866666666667;55,2366666666667;10,9933333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,2366666666667;10,9933333333333;4893,46101869253;22
22021;V;2,038348876;20;2;39G0;DEN;No;55,2483333333333;10,845;55,2366666666667;10,84;55,2216666666667;10,8383333333333;55,215;10,835;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,215;10,835;3782,38859222818;22
22022;V;2,499074413;19;2;39G1;DEN;No;55,245;11,055;55,2383333333333;11,025;55,2166666666667;11,01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,2166666666667;11,01;4641,59637885015;22
22023;V;2,49680013;15;2;39G1;DEN;No;55,3078333333333;11,0213333333333;55,2668333333333;11,0338333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,2668333333333;11,0338333333333;4633,05979649736;22
22024;V;2,306584935;18;2;39F9;DEN;No;55,365;9,75266666666667;55,4016666666667;9,73233333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,4016666666667;9,73233333333333;4280,73160176909;22
22025;V;2,499614753;19;2;39G0;DEN;No;55,3856666666667;10,8426666666667;55,3828333333333;10,9158333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,3828333333333;10,9158333333333;4648,10025705722;22
22026;V;2,278922677;18;2;39G0;DEN;No;55,4233333333333;10,7666666666667;55,42;10,8333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,42;10,8333333333333;4237,69802974465;22
22027;V;2,310272905;17;2;40G0;DEN;No;55,635;10,0066666666667;55,6533333333333;10,0666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,6533333333333;10,0666666666667;4294,03408922641;22
