NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;codstock;country
26022;39H0;26;55;5.9;20;4.3;3;RUS;55.09833333;20.07166667;25-32;RUS ( 25-32 )
26024;39H0;26;55;10.4;20;0;4;RUS;55.17333333;20;25-32;RUS ( 25-32 )
26039;39G9;26;55;0.6;19;40.4;4;RUS;55.01;19.67333333;25-32;RUS ( 25-32 )
26097;39G9;26;55;21.4;19;55.6;4;RUS;55.35666667;19.92666667;25-32;RUS ( 25-32 )
26200;39H0;26;55;28.4;20;3.4;4;RUS;55.47333333;20.05666667;25-32;RUS ( 25-32 )
26051;40G9;26;55;35;19;42;5;RUS;55.58333333;19.7;25-32;RUS ( 25-32 )
26095;39G9;26;55;14.4;19;8.5;5;RUS;55.24;19.14166667;25-32;RUS ( 25-32 )
26109;39G9;26;55;22.2;19;29.8;5;RUS;55.37;19.49666667;25-32;RUS ( 25-32 )
26111;40G9;26;55;35;19;2.5;5;RUS;55.58333333;19.04166667;25-32;RUS ( 25-32 )
26147;39G9;26;55;2;19;29;5;RUS;55.03333333;19.48333333;25-32;RUS ( 25-32 )
26151;39G9;26;55;19.5;19;13.1;5;RUS;55.325;19.21833333;25-32;RUS ( 25-32 )
26154;40G9;26;55;32.5;19;29.1;5;RUS;55.54166667;19.485;25-32;RUS ( 25-32 )
26156;40G9;26;55;35.5;19;50.7;5;RUS;55.59166667;19.845;25-32;RUS ( 25-32 )
26129;38G9;26;54;59.7;19;18.6;6;RUS;54.995;19.31;25-32;RUS ( 25-32 )
26291;38G9;26;54;49.8;19;20.4;6;RUS;54.83;19.34;25-32;RUS ( 25-32 )
