"NrHaul";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ";"Latitude1_deg_dec";"Longitude1_deg_dec";"codstock";"country"
"1";26051;"40G9";26;55;35;19;42;5;"RUS";55.5833333333333;19.7;"25-32";"RUS ( 25-32 )"
"2";26095;"39G9";26;55;14.4;19;8.5;5;"RUS";55.24;19.1416666666667;"25-32";"RUS ( 25-32 )"
"3";26109;"39G9";26;55;22.2;19;29.8;5;"RUS";55.37;19.4966666666667;"25-32";"RUS ( 25-32 )"
"4";26111;"40G9";26;55;35;19;2.5;5;"RUS";55.5833333333333;19.0416666666667;"25-32";"RUS ( 25-32 )"
"5";26147;"39G9";26;55;2;19;29;5;"RUS";55.0333333333333;19.4833333333333;"25-32";"RUS ( 25-32 )"
"6";26151;"39G9";26;55;19.5;19;13.1;5;"RUS";55.325;19.2183333333333;"25-32";"RUS ( 25-32 )"
"7";26154;"40G9";26;55;32.5;19;29.1;5;"RUS";55.5416666666667;19.485;"25-32";"RUS ( 25-32 )"
"8";26156;"40G9";26;55;35.5;19;50.7;5;"RUS";55.5916666666667;19.845;"25-32";"RUS ( 25-32 )"
