"NrHaul";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ";"Latitude1_deg_dec";"Longitude1_deg_dec";"codstock";"country"
"1";26024;"39H0";26;55;10.4;20;0;4;"RUS";55.1733333333333;20;"25-32";"RUS ( 25-32 )"
"2";26039;"39G9";26;55;0.6;19;40.4;4;"RUS";55.01;19.6733333333333;"25-32";"RUS ( 25-32 )"
"3";26097;"39G9";26;55;21.4;19;55.6;4;"RUS";55.3566666666667;19.9266666666667;"25-32";"RUS ( 25-32 )"
"4";26200;"39H0";26;55;28.4;20;3.4;4;"RUS";55.4733333333333;20.0566666666667;"25-32";"RUS ( 25-32 )"
