"Year","Index2628Q1","Index2628Q1.CV"
"1991",36679.7791489971,0.199383730671634
"1992",36009.4587906154,0.209475673521658
"1993",48886.2732644684,0.211083791094044
"1994",46125.4598693941,0.190203978257591
"1995",69409.5107315814,0.186535510003329
"1996",71542.983656101,0.172971319102355
"1997",86126.0884395233,0.210503980420754
"1998",56145.4370100928,0.212677590283567
"1999",104619.531230222,0.159156366604439
"2000",137578.192849468,0.178527118912823
"2001",123512.888002777,0.143538604505166
"2002",126040.550911049,0.158764095878951
"2003",101832.041608194,0.127880966343901
"2004",57520.2848220009,0.143772900626479
"2005",52345.214142684,0.120876167644519
"2006",59952.538279004,0.167783559404622
"2007",104335.573398667,0.136396584337619
"2008",144838.362582481,0.148510184863013
"2009",184311.373139983,0.156059170413037
"2010",162611.650597004,0.132841443633356
"2011",98078.9856926593,0.165262380943655
"2012",94638.0186268366,0.167263073806781
"2013",87887.271461438,0.13330173995233
"2014",48694.7154621334,0.156678651490313
"2015",70088.4952020468,0.150901559693011
"2016",67800.6867532262,0.139723007905626
"2017",79805.3672590468,0.126636358908188
"2018",53176.4209565909,0.132930805492541
"2019",112081.446330854,0.147034956391115
"2020",71056.5973140167,0.158768722349139
"2021",71194.1847308923,0.139477184715033
"2022",31870.7283331964,0.131682729155101
"2023",100921.89043626,0.1535577057462
"2024",63930.221209924,0.158763316057076
