"Year","Index2123Q4","Index2123Q4.CV"
"1991",4088.75488772186,0.574404180708783
"1992",5392.1429564936,0.373619301206812
"1993",7775.36751970183,0.314211811786206
"1994",3470.25788726499,0.411315813189523
"1995",4136.91789536213,0.401233222542333
"1996",5358.23016130517,0.354433483010042
"1997",6231.0441305698,0.345490440844617
"1998",3064.17070830311,0.353744178969785
"1999",3694.87674058185,0.244045452712424
"2000",4687.3527190532,0.25302997547063
"2001",4326.30524188128,0.211018520583397
"2002",7467.3279428696,0.202882068290948
"2003",4168.26936313246,0.194876509790109
"2004",6757.19705026945,0.209712494898339
"2005",3666.93872841139,0.218013897010757
"2006",6213.87908679422,0.207016815511491
"2007",7492.3773435575,0.185513980691762
"2008",8403.46042134634,0.182669168245871
"2009",10231.7639398561,0.189865495905728
"2010",13034.8987360545,0.172354055524748
"2011",13559.6711194824,0.187359042821719
"2012",12219.6937657626,0.185168824252357
"2013",14935.0524470753,0.190308098405743
"2014",17423.5982119435,0.199373408673935
"2015",31879.4076896389,0.179353482434673
"2016",16044.9131738879,0.166742842595293
"2017",13999.5519919603,0.176596957562192
"2018",11793.2723715506,0.166008064292366
"2019",6599.49437852959,0.178534764767543
"2020",10520.6510984527,0.164310977293521
"2021",9981.68820176402,0.164930296076751
"2022",7916.97733793019,0.154214020026381
"2023",9184.27717481156,0.167139926127655
