"Year","Index2223Q1","Index2223Q1.CV"
"1991",9641.49757026691,0.364691685126931
"1992",8559.23424219837,0.343996191552527
"1993",12172.5579410077,0.39063484508353
"1994",5845.36302051565,0.278811451908041
"1995",8933.62091502262,0.382140762178475
"1996",5508.96028388316,0.222102377832775
"1997",4659.20233389741,0.205496076722346
"1998",5530.55374179817,0.225057289782668
"1999",5607.70995615929,0.212736521831642
"2000",10531.4169748333,0.212521159185009
"2001",5823.76317341983,0.185928322664378
"2002",6751.00098421327,0.195356734756686
"2003",6275.28383047534,0.194246127649169
"2004",5223.40661591885,0.205293638034605
"2005",7006.1553127775,0.177891350395795
"2006",8843.16399375216,0.191545965902332
"2007",8361.26567749774,0.196088750158793
"2008",6343.90979591236,0.165403437563005
"2009",4128.52702214952,0.174371833318276
"2010",9146.32850220061,0.168669853560254
"2011",11848.648864824,0.179396449157706
"2012",8871.37341794968,0.185746112491028
"2013",13404.3684714919,0.19450491448786
"2014",15147.7084472714,0.179662265124228
"2015",11801.1223307209,0.189030105298073
"2016",18816.5972077851,0.17384313522984
"2017",11951.2727186331,0.167175492844061
"2018",12729.6792230937,0.173687359831663
"2019",8250.00420041518,0.155816764003784
"2020",6724.43713481193,0.155379761806238
"2021",8209.4300859113,0.157631960409418
"2022",10751.5722313901,0.159300135280305
"2023",8993.88761512404,0.158965892191658
"2024",13186.6160628682,0.171205650205055
