SD;DepthInterval;Layer;Cpue
22; 10 - 39;2;658.37998
22; 40 - 59;3;0
22; 60 - 79;4;0
22; 80 - 99;5;0
22;100 - 119;6;0
24; 10 - 39;2;703.74742
24; 40 - 59;3;1139.23962
24; 60 - 79;4;640.85
24; 80 - 99;5;0
24;100 - 119;6;0
25; 20 - 39;2;220.13494
25; 40 - 59;3;1018.62916
25; 60 - 79;4;933.29592
25; 80 - 99;5;745.8539
25;100 - 119;6;0
26; 20 - 39;2;102.45768
26; 40 - 59;3;424.98126
26; 60 - 79;4;704.92412
26; 80 - 99;5;437.21706
26;100 - 119;6;582.499995
27; 10 - 39;2;0
27; 40 - 59;3;4.25
27; 60 - 79;4;20.1428
27; 80 - 99;5;13.5
27;100 - 119;6;0
28; 10 - 39;2;5.29998
28; 40 - 59;3;24.50786
28; 60 - 79;4;36.27544
28; 80 - 99;5;139.76442
28;100 - 119;6;64
