NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;codstock;country
22018;39G1;22;55;4.2;11;4.1;2;DEN;55.07;11.07;21-24;DEN (SD 21-24)
22019;39G1;22;55;3.44;11;24.15;2;DEN;55.06;11.40;21-24;DEN (SD 21-24)
22020;39G1;22;55;12.7;10;56.3;2;DEN;55.21;10.94;21-24;DEN (SD 21-24)
22023;39G1;22;55;18.47;11;1.28;2;DEN;55.31;11.02;21-24;DEN (SD 21-24)
22025;39G0;22;55;23.14;10;50.56;2;DEN;55.39;10.84;21-24;DEN (SD 21-24)
22027;40G0;22;55;38.1;10;0.4;2;DEN;55.64;10.01;21-24;DEN (SD 21-24)
22029;40G0;22;55;39.1;10;39.7;2;DEN;55.65;10.66;21-24;DEN (SD 21-24)
22030;40G0;22;55;42.34;10;16.32;2;DEN;55.71;10.27;21-24;DEN (SD 21-24)
22032;40G0;22;55;46.7;10;40.8;2;DEN;55.78;10.68;21-24;DEN (SD 21-24)
22034;40G0;22;55;59.6;10;38.4;2;DEN;55.99;10.64;21-24;DEN (SD 21-24)
22035;40G0;22;55;59;10;52.8;2;DEN;55.98;10.88;21-24;DEN (SD 21-24)
22037;40G1;22;55;58.9;11;1.8;2;DEN;55.98;11.03;21-24;DEN (SD 21-24)
22076;37G0;22;54;49.11;10;16.47;2;DEN;54.82;10.27;21-24;DEN (SD 21-24)
22078;37G1;22;54;58.2;10;6.8;2;DEN;54.97;10.11;21-24;DEN (SD 21-24)
22081;37G1;22;55;6.3;9;59.28;2;DEN;55.11;9.99;21-24;DEN (SD 21-24)
22091;38G1;22;55;43.32;10;38.2;2;DEN;55.72;10.64;21-24;DEN (SD 21-24)
22092;38G0;22;55;49.8;10;49.2;2;DEN;55.83;10.82;21-24;DEN (SD 21-24)
22094;38G1;22;56;2.6;10;55.6;2;DEN;56.04;10.93;21-24;DEN (SD 21-24)
22117;38G4;22;55;30.3;10;41.58;2;DEN;55.51;10.69;21-24;DEN (SD 21-24)
22130;38G16;22;55;19.93;10;53.86;2;DEN;55.33;10.90;21-24;DEN (SD 21-24)
22136;38G21;22;54;44.5;10;11.9;2;GFR;54.74;10.20;21-24;DEN (SD 21-24)
25006;37G5;25;54;26;15;8.8;2;POL;54.43;15.15;25-32;DEN (SD 25-32)
25046;37G5;25;54;33.4;15;26.4;3;POL;54.56;15.44;25-32;DEN (SD 25-32)
25047;37G5;25;54;37.7;15;31.6;4;POL;54.63;15.53;25-32;DEN (SD 25-32)
25051;38G5;25;54;38.7;15;54.8;3;POL;54.65;15.91;25-32;DEN (SD 25-32)
25056;38G6;25;54;44.7;15;57;3;POL;54.75;15.95;25-32;DEN (SD 25-32)
25060;38G5;25;54;50.3;16;3.1;3;POL;54.84;16.05;25-32;DEN (SD 25-32)
25061;38G6;25;54;49.5;16;2.1;3;POL;54.83;16.04;25-32;DEN (SD 25-32)
25062;39G6;25;54;56.3;16;14.6;3;POL;54.94;16.24;25-32;DEN (SD 25-32)
25064;39G6;25;55;2;15;15;4;DEN;55.03;15.25;25-32;DEN (SD 25-32)
25066;39G4;25;55;0;16;17;3;POL;55.00;16.28;25-32;DEN (SD 25-32)
25067;39G4;25;55;2.6;16;24;3;POL;55.04;16.40;25-32;DEN (SD 25-32)
25076;39G6;25;55;21.1;15;4.4;4;DEN;55.35;15.07;25-32;DEN (SD 25-32)
25100;40G4;25;55;38.2;15;6.2;5;DEN;55.64;15.10;25-32;DEN (SD 25-32)
25119;40G4;25;55;41.2;15;4.2;4;SWE;55.69;15.07;25-32;DEN (SD 25-32)
25134;40G4;25;55;47.3;16;42;3;SWE;55.79;16.70;25-32;DEN (SD 25-32)
25145;40G5;25;55;50.1;16;12.3;3;SWE;55.84;16.21;25-32;DEN (SD 25-32)
25149;40G5;25;55;52.4;16;25.5;3;SWE;55.87;16.43;25-32;DEN (SD 25-32)
25180;40G7;25;54;47.5;15;42;4;grey;54.79;15.70;25-32;DEN (SD 25-32)
25192;40G5;25;54;50;15;36;5;grey;54.83;15.60;25-32;DEN (SD 25-32)
25205;40G6;25;55;5.6;15;33.1;4;grey;55.09;15.55;25-32;DEN (SD 25-32)
25212;40G6;25;55;3.3;16;18.2;4;POL;55.06;16.30;25-32;DEN (SD 25-32)
25219;40G6;25;55;19.3;15;2.4;4;DEN;55.32;15.04;25-32;DEN (SD 25-32)
25224;41G7;25;55;18;16;17;4;grey;55.30;16.28;25-32;DEN (SD 25-32)
25270;38G5;25;55;39.3;15;6.2;4;DEN;55.66;15.10;25-32;DEN (SD 25-32)
25277;38G5;25;55;34.4;15;34.8;4;DEN;55.57;15.58;25-32;DEN (SD 25-32)
25282;39G5;25;55;32.1;16;10.6;4;SWE;55.54;16.18;25-32;DEN (SD 25-32)
25298;39G6;25;55;44.2;15;34;4;SWE;55.74;15.57;25-32;DEN (SD 25-32)
25299;39G6;25;55;47;15;56;4;SWE;55.78;15.93;25-32;DEN (SD 25-32)
25300;39G6;25;55;43.2;16;1.3;4;SWE;55.72;16.02;25-32;DEN (SD 25-32)
25302;39G4;25;55;42.4;16;10.8;4;SWE;55.71;16.18;25-32;DEN (SD 25-32)
25316;39G4;25;54;56;15;38;4;grey;54.93;15.63;25-32;DEN (SD 25-32)
25322;39G5;25;55;3.1;15;42.6;5;grey;55.05;15.71;25-32;DEN (SD 25-32)
25326;39G5;25;55;8.1;16;3.6;5;grey;55.14;16.06;25-32;DEN (SD 25-32)
25330;39G5;25;55;15.7;15;58.7;5;DEN;55.26;15.98;25-32;DEN (SD 25-32)
25331;39G6;25;55;16.1;16;3.9;5;DEN;55.27;16.07;25-32;DEN (SD 25-32)
25341;39G7;25;55;20.94;15;22.27;5;DEN;55.35;15.37;25-32;DEN (SD 25-32)
25344;39G7;25;55;27.4;15;56.2;5;DEN;55.46;15.94;25-32;DEN (SD 25-32)
25359;39G7;25;55;48.5;16;31.9;3;SWE;55.81;16.53;25-32;DEN (SD 25-32)
25392;40G4;25;55;45.1;15;22.75;4;SWE;55.75;15.38;25-32;DEN (SD 25-32)
25407;40G5;25;55;3.9;16;9.9;4;POL;55.07;16.17;25-32;DEN (SD 25-32)
25413;40G5;25;55;50.1;15;56.8;3;SWE;55.84;15.95;25-32;DEN (SD 25-32)
25417;40G6;25;55;51.93;16;25.6;3;SWE;55.87;16.43;25-32;DEN (SD 25-32)
25428;40G5;25;55;45.5;16;40.2;3;SWE;55.76;16.67;25-32;DEN (SD 25-32)
25431;40G6;25;55;52.2;16;1.1;3;SWE;55.87;16.02;25-32;DEN (SD 25-32)
25445;40G7;25;55;35.66;15;13.13;4;DEN;55.59;15.22;25-32;DEN (SD 25-32)
25447;41G7;25;55;34.67;15;3.8;5;DEN;55.58;15.06;25-32;DEN (SD 25-32)
25452;41G6;25;55;22.4;15;15.6;5;DEN;55.37;15.26;25-32;DEN (SD 25-32)
25462;39G6;25;55;46.23;16;40.9;3;SWE;55.77;16.68;25-32;DEN (SD 25-32)
25503;39G7;25;55;9.358;16;3.988;5;grey;55.16;16.07;25-32;DEN (SD 25-32)
25505;39G5;25;55;43.552;16;40.632;3;SWE;55.73;16.68;25-32;DEN (SD 25-32)
25506;39G5;25;55;28.074;15;57.014;5;DEN;55.47;15.95;25-32;DEN (SD 25-32)
25508;39G5;25;55;18.02;16;1.13;5;DEN;55.30;16.02;25-32;DEN (SD 25-32)
25513;40G7;25;55;43.78;16;41;3;SWE;55.73;16.68;25-32;DEN (SD 25-32)
25514;40G8;25;55;18.02;16;1.13;5;DEN;55.30;16.02;25-32;DEN (SD 25-32)
25053;38G6;25;54;48.1;15;0.8;3;DEN;54.80;15.01;25-32;DEN (SD 25-32)
22004;37G0;22;54;26.5;10;39.66;2;GFR;54.44;10.66;21-24;GFR (SD 21-24)
22005;37G0;22;54;24.24;10;45.27;2;GFR;54.40;10.75;21-24;GFR (SD 21-24)
22008;37G1;22;54;20.8;11;55.3;2;GFR;54.35;11.92;21-24;GFR (SD 21-24)
22043;40G1;22;54;6.12;11;4.46;2;GFR;54.10;11.07;21-24;GFR (SD 21-24)
22108;38G0;22;54;27.4;10;39.86;2;GFR;54.46;10.66;21-24;GFR (SD 21-24)
22116;38G3;22;54;41.17;10;28.56;2;DEN;54.69;10.48;21-24;GFR (SD 21-24)
22127;38G13;22;54;35.69;11;13.62;2;GFR;54.59;11.23;21-24;GFR (SD 21-24)
22131;38G17;22;54;37.7;10;38.92;2;DEN;54.63;10.65;21-24;GFR (SD 21-24)
22132;38G18;22;54;14.1338;11;25.1236;2;GFR;54.24;11.42;21-24;GFR (SD 21-24)
22134;38G19;22;54;33.126;10;46.27;2;GFR;54.55;10.77;21-24;GFR (SD 21-24)
22137;38G22;22;54;42.9;10;44.9;2;DEN;54.72;10.75;21-24;GFR (SD 21-24)
22141;38G26;22;54;14.4;11;25.3;2;GFR;54.24;11.42;21-24;GFR (SD 21-24)
22143;38G28;22;54;12.9;11;33.1;2;GFR;54.22;11.55;21-24;GFR (SD 21-24)
22144;38G29;22;54;18.23;11;29.17;2;GFR;54.30;11.49;21-24;GFR (SD 21-24)
22145;38G30;22;54;17.9;11;31.6;2;GFR;54.30;11.53;21-24;GFR (SD 21-24)
24001;37G4;24;54;23.05;12;11.63;2;GFR;54.38;12.19;21-24;GFR (SD 21-24)
24004;37G2;24;54;29;14;45.2;2;POL;54.48;14.75;21-24;GFR (SD 21-24)
24005;37G3;24;54;39.6;12;11.2;2;DEN;54.66;12.19;21-24;GFR (SD 21-24)
24008;37G4;24;54;30.01;13;58.73;2;GFR;54.50;13.98;21-24;GFR (SD 21-24)
24011;37G4;24;54;31.63;14;18.57;2;GFR;54.53;14.31;21-24;GFR (SD 21-24)
24018;38G2;24;54;52.13;12;37.2;2;DEN;54.87;12.62;21-24;GFR (SD 21-24)
24021;38G2;24;54;29.57;13;43.66;2;GFR;54.49;13.73;21-24;GFR (SD 21-24)
24024;38G3;24;54;34.4;13;47.6;2;GFR;54.57;13.79;21-24;GFR (SD 21-24)
24030;38G4;24;54;33.42;13;48.1;2;GFR;54.56;13.80;21-24;GFR (SD 21-24)
24039;38G4;24;54;39.36;14;9.47;2;GFR;54.66;14.16;21-24;GFR (SD 21-24)
24047;38G2;24;54;35.4;14;27.96;2;GFR;54.59;14.47;21-24;GFR (SD 21-24)
24059;38G3;24;54;46.77;12;21.78;2;DEN;54.78;12.36;21-24;GFR (SD 21-24)
24069;38G4;24;54;44.72;13;30.44;2;GFR;54.75;13.51;21-24;GFR (SD 21-24)
24071;38G4;24;54;44.84;13;56.38;3;GFR;54.75;13.94;21-24;GFR (SD 21-24)
24078;38G4;24;54;41.59;14;7.13;2;GFR;54.69;14.12;21-24;GFR (SD 21-24)
24085;38G2;24;54;47.53;14;41.5;3;DEN;54.79;14.69;21-24;GFR (SD 21-24)
24089;38G3;24;54;54.1254;12;54;3;DEN;54.90;12.90;21-24;GFR (SD 21-24)
24101;38G4;24;55;6.87;13;52.47;3;SWE;55.11;13.87;21-24;GFR (SD 21-24)
24125;38G4;24;55;15.71;13;57.57;2;SWE;55.26;13.96;21-24;GFR (SD 21-24)
24152;38G2;24;54;48.52;13;17.18;3;GFR;54.81;13.29;21-24;GFR (SD 21-24)
24169;39G3;24;54;54.8;12;58.5;2;DEN;54.91;12.98;21-24;GFR (SD 21-24)
24173;39G3;24;54;52.58;13;13.14;3;GFR;54.88;13.22;21-24;GFR (SD 21-24)
24183;39G4;24;55;0;13;31.7;3;GFR;55.00;13.53;21-24;GFR (SD 21-24)
24190;39G4;24;54;55.58;13;40.2;3;GFR;54.93;13.67;21-24;GFR (SD 21-24)
24207;38G3;24;54;59.2;14;9.5;3;DEN;54.99;14.16;21-24;GFR (SD 21-24)
24251;38G4;24;55;5.4;14;33.14;3;DEN;55.09;14.55;21-24;GFR (SD 21-24)
24252;38G4;24;55;12.47;13;10.47;3;SWE;55.21;13.17;21-24;GFR (SD 21-24)
24267;38G5;24;55;15.4;13;59.9;2;SWE;55.26;14.00;21-24;GFR (SD 21-24)
24280;38G3;24;54;41.32;12;11.83;2;DEN;54.69;12.20;21-24;GFR (SD 21-24)
