NrHaul;Status;Dist;Mean_Depth;Layer;EEZ;NM12;lat1;lon1;lat2;lon2;lat3;lon3;lat4;lon4;lat5;lon5;lat6;lon6;lat7;lon7;lat8;lon8;lat9;lon9;lat10;lon10;lat_end;lon_end;geometry;length;Area
28120;V;1,312161524;65;4;LAT;No;57,3580555555556;21,2058333333333;57,3508333333333;21,2022222222222;57,3575;21,2338888888889;57,3641666666667;21,2430555555556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,3641666666667;21,2430555555556;c(21.2058333333333, 21.2022222222222, 21.2338888888889, 21.2430555555556, 57.3580555555556, 57.3508333333333, 57.3575, 57.3641666666667);3803,75479732677;28
28121;V;1,155150582;50;3;LAT;No;57,3697222222222;21,2658333333333;57,3780555555556;21,2772222222222;57,3686111111111;21,2725;57,3911111111111;21,2902777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,3911111111111;21,2902777777778;c(21.2658333333333, 21.2772222222222, 21.2725, 21.2902777777778, 57.3697222222222, 57.3780555555556, 57.3686111111111, 57.3911111111111);4967,46158945828;28
28122;V;1,087366871;45;3;LAT;No;57,3855555555556;21,2983333333333;57,4044444444444;21,3013888888889;57,4152777777778;21,3033333333333;57,4244444444444;21,3044444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,4244444444444;21,3044444444444;c(21.2983333333333, 21.3013888888889, 21.3033333333333, 21.3044444444444, 57.3855555555556, 57.4044444444444, 57.4152777777778, 57.4244444444444);4346,7782657787;28
28124;V;1,224839407;68;4;LAT;No;57,4672222222222;21,2508333333333;57,4525;21,2577777777778;57,4672222222222;21,2447222222222;57,4822222222222;21,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,4822222222222;21,24;c(21.2508333333333, 21.2577777777778, 21.2447222222222, 21.24, 57.4672222222222, 57.4525, 57.4672222222222, 57.4822222222222);5203,331951055;28
28126;V;1,322354244;57;3;LAT;No;57,2522222222222;21,1008333333333;57,2566666666667;21,0869444444444;57,2525;21,0775;57,2633333333333;21,0697222222222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,2633333333333;21,0697222222222;c(21.1008333333333, 21.0869444444444, 21.0775, 21.0697222222222, 57.2522222222222, 57.2566666666667, 57.2525, 57.2633333333333);3003,06855801832;28
28127;V;1,391778691;62;4;LAT;No;57,2772222222222;21,0486111111111;57,2855555555556;21,0355555555556;57,2858333333333;21,0280555555556;57,2952777777778;21,0238888888889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,2952777777778;21,0238888888889;c(21.0486111111111, 21.0355555555556, 21.0280555555556, 21.0238888888889, 57.2772222222222, 57.2855555555556, 57.2858333333333, 57.2952777777778);2751,80224280672;28
28130;V;1,529834988;66;4;LAT;No;57,3175;21,0513888888889;57,3108333333333;21,0636111111111;57,3005555555556;21,0758333333333;57,3108333333333;21,0894444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,3108333333333;21,0894444444444;c(21.0513888888889, 21.0636111111111, 21.0758333333333, 21.0894444444444, 57.3175, 57.3108333333333, 57.3005555555556, 57.3108333333333);3815,16766507557;28
28132;V;1,618260741;41;3;LAT;No;57,2188888888889;21,1511111111111;57,2505555555556;21,1691666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,2505555555556;21,1691666666667;c(21.1511111111111, 21.1691666666667, 57.2188888888889, 57.2505555555556);3691,24465061094;28
28136;V;1,551384806;29;2;LAT;No;57,0405555555556;21,1016666666667;57,0386111111111;21,1011111111111;57,0558333333333;21,1127777777778;57,0577777777778;21,1216666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,0577777777778;21,1216666666667;c(21.1016666666667, 21.1011111111111, 21.1127777777778, 21.1216666666667, 57.0405555555556, 57.0386111111111, 57.0558333333333, 57.0577777777778);2844,78764158815;28
28138;V;1,572953177;31;2;LAT;No;57,0680555555556;21,1380555555556;57,0819444444444;21,1344444444444;57,0841666666667;21,1419444444444;57,0988888888889;21,1494444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,0988888888889;21,1494444444444;c(21.1380555555556, 21.1344444444444, 21.1419444444444, 21.1494444444444, 57.0680555555556, 57.0819444444444, 57.0841666666667, 57.0988888888889);3781,22731168642;28
28140;V;1,610395197;64;4;LAT;No;57,3080555555556;20,9997222222222;57,3177777777778;20,9838888888889;57,3247222222222;20,9766666666667;57,3172222222222;20,9536111111111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,3172222222222;20,9536111111111;c(20.9997222222222, 20.9838888888889, 20.9766666666667, 20.9536111111111, 57.3080555555556, 57.3177777777778, 57.3247222222222, 57.3172222222222);3951,34823288918;28
28141;V;1,607960723;65;4;LAT;No;57,3041666666667;21,0008333333333;57,3102777777778;21,0002777777778;57,3158333333333;20,9908333333333;57,3191666666667;20,9727777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,3191666666667;20,9727777777778;c(21.0008333333333, 21.0002777777778, 20.9908333333333, 20.9727777777778, 57.3041666666667, 57.3102777777778, 57.3158333333333, 57.3191666666667);2671,54623165986;28
28142;V;1,459119956;62;4;LAT;No;57,3213888888889;20,9275;57,3208333333333;20,9422222222222;57,3213888888889;20,9533333333333;57,3219444444444;20,9691666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,3219444444444;20,9691666666667;c(20.9275, 20.9422222222222, 20.9533333333333, 20.9691666666667, 57.3213888888889, 57.3208333333333, 57.3213888888889, 57.3219444444444);2517,32307065392;28
28144;V;1,640794305;72;4;LAT;No;57,3186111111111;20,7272222222222;57,3402777777778;20,7211111111111;57,3558333333333;20,7230555555556;57,3591666666667;20,7247222222222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,3591666666667;20,7247222222222;c(20.7272222222222, 20.7211111111111, 20.7230555555556, 20.7247222222222, 57.3186111111111, 57.3402777777778, 57.3558333333333, 57.3591666666667);4561,6884295709;28
28148;V;1,607930714;77;4;LAT;No;57,2269444444444;20,7172222222222;57,2436111111111;20,7255555555556;57,2452777777778;20,7197222222222;57,2591666666667;20,7133333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,2591666666667;20,7133333333333;c(20.7172222222222, 20.7255555555556, 20.7197222222222, 20.7133333333333, 57.2269444444444, 57.2436111111111, 57.2452777777778, 57.2591666666667);3915,24981687492;28
28150;V;1,53857932;74;4;LAT;No;57,2852777777778;20,6980555555556;57,3063888888889;20,7102777777778;57,3175;20,7088888888889;57,3191666666667;20,7208333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,3191666666667;20,7208333333333;c(20.6980555555556, 20.7102777777778, 20.7088888888889, 20.7208333333333, 57.2852777777778, 57.3063888888889, 57.3175, 57.3191666666667);4447,26441637014;28
28151;V;1,482987346;76;4;LAT;No;57,2355555555556;20,6841666666667;57,2508333333333;20,685;57,2522222222222;20,6858333333333;57,2672222222222;20,7005555555556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,2672222222222;20,7005555555556;c(20.6841666666667, 20.685, 20.6858333333333, 20.7005555555556, 57.2355555555556, 57.2508333333333, 57.2522222222222, 57.2672222222222);3756,83011166558;28
28153;V;1,813775703;70;4;LAT;No;57,0391666666667;20,7680555555556;57,0580555555556;20,7713888888889;57,0602777777778;20,7775;57,0772222222222;20,7716666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,0772222222222;20,7716666666667;c(20.7680555555556, 20.7713888888889, 20.7775, 20.7716666666667, 57.0391666666667, 57.0580555555556, 57.0602777777778, 57.0772222222222);4478,82252021487;28
