Status;NrHaul;RectangleAlpha;ICES SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Latitude2_deg;Latitude2_dec_min;Longitude2_deg;Longitude2_dec_min;Latitude3_deg;Latitude3_dec_min;Longitude3_deg;Longitude3_dec_min;Latitude4_deg;Latitude4_dec_min;Longitude4_deg;Longitude4_dec_min;Latitude5_deg;Latitude5_dec_min;Longitude5_deg;Longitude5_dec_min;Latitude6_deg;Latitude6_dec_min;Longitude6_deg;Longitude6_dec_min;Latitude7_deg;Latitude7_dec_min;Longitude7_deg;Longitude7_dec_min;Latitude8_deg;Latitude8_dec_min;Longitude8_deg;Longitude8_dec_min;Latitude9_deg;Latitude9_dec_min;Longitude9_deg;Longitude9_dec_min;Latitude10_deg;Latitude10_dec_min;Longitude10_deg;Longitude10_dec_min;0;Mean_Depth;Depth1;Depth2;Depth3;Depth4;Depth5;Depth6;Depth7;Depth8;Depth9;Depth10;Source;EEZ;NM12;Rope;Direction;Distance;0;0;Dist;Layer;Latitude_end_deg;Latitude_end_dec_min;Longitude_end_deg;Longitude_end_dec_min;;
V;22022;39G1;22;55;14,7;11;3,3;55;14,3;11;1,5;55;13;11;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;19;19;19;;;;;;;;Havfisken;DEN;No;;1;2,499074413;;1;2,499074413;2;55;13;11;0,6;;
V;22023;39G1;22;55;18,47;11;1,28;55;16,01;11;2,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;23;34;;;;;;;;;German R/V;DEN;No;;;2,49680013;;1;2,49680013;2;55;16,01;11;2,03;;
V;22024;39F9;22;55;21,9;9;45,16;55;24,1;9;43,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;18;18;;;;;;;;;Havfisken;DEN;No;;1;2,306584935;;1;2,306584935;2;55;24,1;9;43,94;;
V;22025;39G0;22;55;23,14;10;50,56;55;22,97;10;54,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;16;18;;;;;;;;;German R/V;DEN;No;;;2,499614753;;1;2,499614753;2;55;22,97;10;54,95;;
V;22026;39G0;22;55;25,4;10;46;55;25,2;10;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;18;18;;;;;;;;;Havfisken;DEN;No;;;2,278922677;;1;2,278922677;2;55;25,2;10;50;;
V;22027;40G0;22;55;38,1;10;0,4;55;39,2;10;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;17;17;;;;;;;;;Havfisken;DEN;No;;;2,310272905;;1;2,310272905;2;55;39,2;10;4;;
V;22029;40G0;22;55;39,1;10;39,7;55;37,4;10;41,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;18;18;;;;;;;;;Havfisken;DEN;No;;;2,105211541;;1;2,105211541;2;55;37,4;10;41,9;;
V;22030;40G0;22;55;42,34;10;16,32;55;41,97;10;11,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;17;19;;;;;;;;;German R/V;DEN;No;;1;2,501233583;;1;2,501233583;2;55;41,97;10;11,93;;
V;22031;40G0;22;55;45,9;10;3,3;55;47;10;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;14;14;;;;;;;;;Havfisken;DEN;No;;;2,403787565;;1;2,403787565;2;55;47;10;7,1;;
V;22032;40G0;22;55;46,7;10;40,8;55;48,1;10;44,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;18;18;;;;;;;;;Havfisken;DEN;No;;;2,324290986;;1;2,324290986;2;55;48,1;10;44,1;;
