"NrHaul";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ";"Latitude1_deg_dec";"Longitude1_deg_dec";"codstock";"country"
"1";26135;"38G9";26;54;56.4;19;24.2;6;"RUS";54.94;19.4033333333333;"25-32";"RUS ( 25-32 )"
"2";26291;"38G9";26;54;49.8;19;20.4;6;"RUS";54.83;19.34;"25-32";"RUS ( 25-32 )"
