"Year","IndexQ4","IndexQ4.CV"
"1991",1509.35794704866,0.307286290967103
"1992",2271.9865078548,0.319487960823023
"1993",2288.57308665572,0.223130528246677
"1994",1847.43218071911,0.302840152048292
"1995",3536.32820084615,0.194260484926345
"1996",2082.26263144439,0.256569843396303
"1997",2669.80158026118,0.231538767486659
"1998",1408.2246193607,0.296450109574661
"1999",1354.13503072045,0.229526680682009
"2000",1235.29708862743,0.232662781302034
"2001",1020.8331433367,0.286810075608196
"2002",2102.48814591652,0.204357460172684
"2003",1091.40854438472,0.239985814013443
"2004",1893.93921681775,0.194910646251796
"2005",1274.47783007623,0.208657237031892
"2006",1500.68215260428,0.221319594359733
"2007",2141.47079702701,0.152422893990005
"2008",1178.63058950352,0.181053952219626
"2009",2129.22613769992,0.170350263506016
"2010",2054.4730006791,0.171811574775927
"2011",2251.09936468741,0.1775432720661
"2012",1867.91714112983,0.199128261971806
"2013",1800.72067668301,0.182512199184452
"2014",1723.00808293994,0.186085223127963
"2015",1709.8050326926,0.190183590623029
"2016",2381.2015129791,0.140071783428187
"2017",1957.53673792837,0.160233475491579
"2018",1399.06647316644,0.22022117085631
"2019",1369.02561519643,0.191974851179594
"2020",1876.48056442113,0.165955310497395
"2021",1259.0213416837,0.173152580363008
"2022",1298.15115891016,0.177325394483052
"2023",1096.0257062024,0.218197491932696
"2024",843.849884981121,0.230803545169224
"2025",907.671404337905,0.225064337100414
