"Year","IndexQ1","IndexQ1.CV"
"1991",197.246071377553,0.428705835326983
"1992",166.370883911223,0.404070606998911
"1993",208.175505340868,0.387856463315633
"1994",468.87977213048,0.336404709876561
"1995",1039.98052643997,0.29362044078391
"1996",440.440222248972,0.358666084168982
"1997",470.751027962758,0.38396733269634
"1998",402.832043362156,0.342479837095941
"1999",256.771807108175,0.342502276322683
"2000",158.951155423033,0.34680970821475
"2001",237.598545077202,0.309830023848568
"2002",114.993117009426,0.343892396073875
"2003",206.933821991721,0.248773882658518
"2004",113.401240831741,0.311223649683553
"2005",110.4331806019,0.286068878247168
"2006",138.158491715661,0.284066610228969
"2007",266.484222080454,0.242090755876581
"2008",315.792107053191,0.243988316799288
"2009",312.964923966576,0.226359063012143
"2010",277.031849239193,0.236729253744591
"2011",284.818395760106,0.242727924181211
"2012",179.019495349477,0.292661835234558
"2013",206.458545386778,0.25232471706148
"2014",208.18634133732,0.2720593602618
"2015",185.486647166742,0.273963556163747
"2016",325.823409409395,0.238633702869274
"2017",313.992537357847,0.226357826740696
"2018",267.226437562399,0.224213629370979
"2019",279.708528564537,0.263752541183824
"2020",215.782113367203,0.290186494250155
"2021",147.142374035418,0.270076710944503
"2022",196.309413297517,0.262183768477278
"2023",118.772736946389,0.295264479936644
"2024",122.455813823551,0.321751108592484
"2025",101.794180973431,0.325276894500527
"2026",56.1082882637652,0.410506762380539
