"NrHaul";"Type";"sekvens";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ";"Rec9"
"1";22044;1;5;"37G1";22;54;7.13;11;10.01;2;"GFR";"37G1 1"
"2";22045;1;6;"37G1";22;54;17.28;11;18.11;2;"GFR";"37G1 4"
"3";22047;1;2;"37G1";22;54;18.13;11;25.49;2;"GFR";"37G1 5"
"4";22053;1;7;"37G1";22;54;18.48;11;41.42;2;"GFR";"37G1 6"
"5";22055;1;4;"37G0";22;54;22.4;10;40.17;2;"GFR";"37G0 9"
"6";22058;1;8;"37G1";22;54;27.17;11;25.18;2;"GFR";"37G1 8"
"7";22060;1;10;"37G1";22;54;22.5;11;47.24;2;"DEN";"37G1 9"
"8";22062;1;17;"38G0";22;54;32.39;10;8.98;2;"GFR";"38G0 1"
"9";22065;1;19;"38G0";22;54;36.4;10;38.58;2;"DEN";"38G0 2"
"10";22072;1;193;"38G1";22;54;33.53;11;21.74;2;"DEN";"38G1 2"
"11";22081;1;24;"39F9";22;55;6.3;9;59.28;2;"DEN";"39F9 3"
"12";22084;1;21;"39G1";22;55;11.9;11;4.6;2;"DEN";"39G1 4"
"13";22089;1;15;"40G0";22;55;41.7;10;13.2;2;"DEN";"40G0 4"
"14";22090;1;20;"40G0";22;55;42.3;10;27.8;2;"DEN";"40G0 5"
"15";22092;1;12;"40G0";22;55;49.8;10;49.2;2;"DEN";"40G0 6"
"16";22094;1;16;"41G0";22;56;2.6;10;55.6;2;"DEN";"41G0 3"
"17";22100;3;118;"40G0";22;55;42.9;10;47.2;3;"DEN";"40G0 6"
"18";22103;1;18;"39G1";22;55;4.62;11;16.37;2;"DEN";"39G1 1"
"19";22104;1;1;"40G0";22;55;34.45;10;36.67;2;"DEN";"40G0 2"
"20";22111;1;27;"38G0";22;54;54.83;10;3.2;2;"DEN";"38G0 7"
"21";22117;1;9;"40G0";22;55;30.3;10;41.58;2;"DEN";"40G0 3"
"22";22121;1;22;"38G1";22;54;59.42;11;6.97;2;"DEN";"38G1 7"
"23";22122;1;25;"39G0";22;55;28.23;10;44.04;2;"DEN";"39G0 9"
"24";22123;1;3;"37G0";22;54;27.49;10;35.55;2;"GFR";"37G0 8"
"25";22128;1;11;"38F9";22;54;57.66;9;47.5;2;"DEN";"38F9 9"
"26";22129;1;28;"38G0";22;54;54.21;10;57.57;2;"DEN";"38G0 9"
"27";22130;1;14;"39G0";22;55;19.93;10;53.86;2;"DEN";"39G0 6"
"28";22134;1;23;"38G0";22;54;33.126;10;46.27;2;"GFR";"38G0 3"
"29";22135;1;29;"38G1";22;54;37.4;11;5;2;"GFR";"38G1 1"
"30";22138;1;26;"38G0";22;54;46.8;10;25.3;2;"DEN";"38G0 5"
"31";24001;1;13;"37G2";24;54;23.05;12;11.63;2;"GFR";"37G2 7"
"32";24002;1;30;"37G2";24;54;26.48;12;20.88;2;"GFR";"37G2 8"
"33";24016;1;45;"38G2";24;54;41.28;12;58.35;2;"GFR";"38G2 6"
"34";24017;1;38;"38G2";24;54;52.97;12;36.41;2;"DEN";"38G2 8"
"35";24022;1;40;"37G4";24;54;26.75;14;57.3;2;"POL";"37G4 9"
"36";24031;1;52;"38G3";24;54;39.11;13;50.17;2;"GFR";"38G3 3"
"37";24046;1;41;"38G4";24;54;40.2;14;30.7;2;"DEN";"38G4 5"
"38";24047;1;51;"38G4";24;54;35.4;14;27.96;2;"GFR";"38G4 2"
"39";24055;1;54;"38G4";24;54;34.16;14;43.13;2;"grey";"38G4 3"
"40";24059;1;44;"38G2";24;54;46.77;12;21.78;2;"DEN";"38G2 5"
"41";24063;1;48;"38G3";24;54;42.6;13;9;2;"GFR";"38G3 4"
"42";24089;1;50;"38G2";24;54;54.1254;12;54;3;"DEN";"38G2 9"
"43";24094;1;57;"39G2";24;55;5;12;47;2;"DEN";"39G2 3"
"44";24142;1;53;"39G4";24;55;16.4;14;5;2;"SWE";"39G4 4"
"45";24153;1;59;"38G3";24;54;45.22;13;31.23;3;"GFR";"38G3 5"
"46";24169;1;43;"38G2";24;54;54.8;12;58.5;2;"DEN";"38G2 9"
