NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;
1;22004;37G0;22;54;26.5;10;39.66;2;GFR
2;22005;37G0;22;54;24.24;10;45.27;2;GFR
3;22008;37G1;22;54;20.8;11;55.3;2;GFR
4;22018;39G1;22;55;4.2;11;4.1;2;DEN
5;22019;39G1;22;55;3.44;11;24.15;2;DEN
6;22020;39G1;22;55;12.7;10;56.3;2;DEN
7;22023;39G1;22;55;18.47;11;1.28;2;DEN
8;22025;39G0;22;55;23.14;10;50.56;2;DEN
9;22027;40G0;22;55;38.1;10;0.4;2;DEN
10;22029;40G0;22;55;39.1;10;39.7;2;DEN
11;22030;40G0;22;55;42.34;10;16.32;2;DEN
12;22032;40G0;22;55;46.7;10;40.8;2;DEN
13;22034;40G0;22;55;59.6;10;38.4;2;DEN
14;22035;40G0;22;55;59;10;52.8;2;DEN
15;22037;40G1;22;55;58.9;11;1.8;2;DEN
16;22043;40G1;22;54;6.12;11;4.46;2;GFR
17;22076;37G0;22;54;49.11;10;16.47;2;DEN
18;22078;37G1;22;54;58.2;10;6.8;2;DEN
19;22081;37G1;22;55;6.3;9;59.28;2;DEN
20;22091;38G1;22;55;43.32;10;38.2;2;DEN
21;22092;38G0;22;55;49.8;10;49.2;2;DEN
22;22094;38G1;22;56;2.6;10;55.6;2;DEN
23;22108;38G0;22;54;27.4;10;39.86;2;GFR
24;22116;38G3;22;54;41.17;10;28.56;2;DEN
25;22117;38G4;22;55;30.3;10;41.58;2;DEN
26;22127;38G13;22;54;35.69;11;13.62;2;GFR
27;22130;38G16;22;55;19.93;10;53.86;2;DEN
28;22131;38G17;22;54;37.7;10;38.92;2;DEN
29;22132;38G18;22;54;14.1338;11;25.1236;2;GFR
30;22134;38G19;22;54;33.126;10;46.27;2;GFR
31;22136;38G21;22;54;44.5;10;11.9;2;GFR
32;22137;38G22;22;54;42.9;10;44.9;2;DEN
33;22141;38G26;22;54;14.4;11;25.3;2;GFR
34;22143;38G28;22;54;12.9;11;33.1;2;GFR
35;22144;38G29;22;54;18.23;11;29.17;2;GFR
36;22145;38G30;22;54;17.9;11;31.6;2;GFR
37;24001;37G4;24;54;23.05;12;11.63;2;GFR
38;24004;37G2;24;54;29;14;45.2;2;POL
39;24005;37G3;24;54;39.6;12;11.2;2;DEN
40;24008;37G4;24;54;30.01;13;58.73;2;GFR
41;24011;37G4;24;54;31.63;14;18.57;2;GFR
42;24018;38G2;24;54;52.13;12;37.2;2;DEN
43;24021;38G2;24;54;29.57;13;43.66;2;GFR
44;24024;38G3;24;54;34.4;13;47.6;2;GFR
45;24030;38G4;24;54;33.42;13;48.1;2;GFR
46;24039;38G4;24;54;39.36;14;9.47;2;GFR
47;24047;38G2;24;54;35.4;14;27.96;2;GFR
48;24055;38G2;24;54;34.16;14;43.13;2;grey
49;24059;38G3;24;54;46.77;12;21.78;2;DEN
50;24069;38G4;24;54;44.72;13;30.44;2;GFR
51;24071;38G4;24;54;44.84;13;56.38;3;GFR
52;24078;38G4;24;54;41.59;14;7.13;2;GFR
53;24085;38G2;24;54;47.53;14;41.5;3;DEN
54;24089;38G3;24;54;54.1254;12;54;3;DEN
55;24101;38G4;24;55;6.87;13;52.47;3;SWE
56;24125;38G4;24;55;15.71;13;57.57;2;SWE
57;24150;38G2;24;54;36.77;14;46.61;3;grey
58;24152;38G2;24;54;48.52;13;17.18;3;GFR
59;24162;39G2;24;54;40.85;14;50.9;3;grey
60;24164;39G3;24;54;40.17;14;40.29;3;DEN
61;24169;39G3;24;54;54.8;12;58.5;2;DEN
62;24173;39G3;24;54;52.58;13;13.14;3;GFR
63;24183;39G4;24;55;0;13;31.7;3;GFR
64;24190;39G4;24;54;55.58;13;40.2;3;GFR
65;24207;38G3;24;54;59.2;14;9.5;3;DEN
66;24251;38G4;24;55;5.4;14;33.14;3;DEN
67;24252;38G4;24;55;12.47;13;10.47;3;SWE
68;24267;38G5;24;55;15.4;13;59.9;2;SWE
69;24280;38G3;24;54;41.32;12;11.83;2;DEN
70;24286;38G3;24;54;41.56;14;39.445;3;DEN
71;24287;38G3;24;55;2.5;14;13.4;3;DEN
72;24293;38G3;24;54;33.81;14;7.63;2;GFR
73;24295;38G4;24;54;34.564;14;39.402;2;DEN
74;24296;38G4;24;54;54.48;12;52.222;2;DEN
75;24301;39G3;24;55;3.36;13;38.36;2;SWE
76;24303;39G3;24;55;18.83;13;55.94;2;SWE
77;24311;39G3;24;55;0.88;14;16.4;3;DEN
78;24312;39G3;24;55;2.59;13;27.03;3;SWE
79;24317;39G4;24;55;9.471;14;16.2058;3;DEN
80;24319;38G4;24;55;5;14;10.2;3;DEN
81;24321;39G4;24;55;13.4;13;25.2;3;SWE
82;24323;39G4;24;55;14.9;13;52.1;3;SWE
83;24324;39G4;24;55;9;13;55.9;3;SWE
84;24325;39G4;24;54;36.4;12;36.15;2;GFR
85;24330;39G3;24;54;26;14;8.8;2;GFR
86;24335;39G4;24;54;11.5;14;18.6;2;GFR
87;25004;37G5;25;54;52.7;16;38.6;2;POL
88;25006;37G5;25;54;26;15;8.8;2;POL
89;25008;37G5;25;54;23;15;34;2;POL
90;25009;37G6;25;54;22.9;15;47.3;2;POL
91;25010;37G6;25;54;26.8;16;5.3;2;POL
92;25011;38G6;25;54;24.7;16;3;2;POL
93;25013;38G6;25;54;39;16;23.6;2;POL
94;25014;38G6;25;54;41.6;16;38.7;2;POL
95;25016;38G6;25;54;44.6;16;49;2;POL
96;25017;38G6;25;54;44.2;16;52.3;2;POL
97;25022;38G7;25;54;57.4;17;25;2;POL
98;25024;38G7;25;54;51;17;28;2;POL
99;25030;38G7;25;55;29.3;17;27.8;3;POL
100;25038;39G7;25;56;9;17;45;3;SWE
101;25042;37G5;25;54;32;16;0;3;POL
102;25046;37G5;25;54;33.4;15;26.4;3;POL
103;25047;37G5;25;54;37.7;15;31.6;4;POL
104;25051;38G5;25;54;38.7;15;54.8;3;POL
105;25052;38G5;25;54;38.4;16;4.5;3;POL
106;25056;38G6;25;54;44.7;15;57;3;POL
107;25060;38G5;25;54;50.3;16;3.1;3;POL
108;25061;38G6;25;54;49.5;16;2.1;3;POL
109;25062;39G6;25;54;56.3;16;14.6;3;POL
110;25064;39G6;25;55;2;15;15;4;DEN
111;25066;39G4;25;55;0;16;17;3;POL
112;25067;39G4;25;55;2.6;16;24;3;POL
113;25076;39G6;25;55;21.1;15;4.4;4;DEN
114;25080;39G6;25;55;24.3;16;44.9;3;POL
115;25081;39G7;25;55;24.2;16;51;3;POL
116;25099;40G7;25;55;39.3;14;54;4;SWE
