NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;
117;25100;40G4;25;55;38.2;15;6.2;5;DEN
118;25107;40G4;25;55;33.2;17;36;3;POL
119;25119;40G4;25;55;41.2;15;4.2;4;SWE
120;25124;40G4;25;55;46.2;15;15.1;3;SWE
121;25134;40G4;25;55;47.3;16;42;3;SWE
122;25140;40G4;25;55;51.4;15;34.5;3;SWE
123;25145;40G5;25;55;50.1;16;12.3;3;SWE
124;25149;40G5;25;55;52.4;16;25.5;3;SWE
125;25161;40G5;25;55;53.3;17;43.6;4;SWE
126;25180;40G7;25;54;47.5;15;42;4;grey
127;25192;40G5;25;54;50;15;36;5;grey
128;25205;40G6;25;55;5.6;15;33.1;4;grey
129;25212;40G6;25;55;3.3;16;18.2;4;POL
130;25219;40G6;25;55;19.3;15;2.4;4;DEN
131;25224;41G7;25;55;18;16;17;4;grey
132;25229;38G5;25;55;16.7;16;52.3;4;POL
133;25231;38G5;25;55;19.3;17;17.4;4;POL
134;25232;38G5;25;55;18.7;17;20;4;POL
135;25247;38G5;25;55;20.8;17;9.6;4;POL
136;25248;38G5;25;55;21.1;17;27.7;4;POL
137;25270;38G5;25;55;39.3;15;6.2;4;DEN
138;25277;38G5;25;55;34.4;15;34.8;4;DEN
139;25282;39G5;25;55;32.1;16;10.6;4;SWE
140;25292;39G5;25;55;45.885;15;23.788;3;SWE
141;25298;39G6;25;55;44.2;15;34;4;SWE
142;25299;39G6;25;55;47;15;56;4;SWE
143;25300;39G6;25;55;43.2;16;1.3;4;SWE
144;25302;39G4;25;55;42.4;16;10.8;4;SWE
145;25316;39G4;25;54;56;15;38;4;grey
146;25322;39G5;25;55;3.1;15;42.6;5;grey
147;25326;39G5;25;55;8.1;16;3.6;5;grey
148;25330;39G5;25;55;15.7;15;58.7;5;DEN
149;25331;39G6;25;55;16.1;16;3.9;5;DEN
150;25339;39G6;25;55;15.5;17;25.5;5;POL
151;25341;39G7;25;55;20.94;15;22.27;5;DEN
152;25344;39G7;25;55;27.4;15;56.2;5;DEN
153;25359;39G7;25;55;48.5;16;31.9;3;SWE
154;25364;39G7;25;54;59.8;17;28;2;POL
155;25380;39G7;25;55;38.5;17;37.8;3;POL
156;25387;39G7;25;55;24.54;14;30.28;3;SWE
157;25392;40G4;25;55;45.1;15;22.75;4;SWE
158;25399;40G4;25;55;52.79;15;42.88;3;SWE
159;25401;40G4;25;55;42.15;14;22.21;2;SWE
160;25404;40G4;25;55;49.6;15;26.4;3;SWE
161;25407;40G5;25;55;3.9;16;9.9;4;POL
162;25410;40G5;25;56;2.9;17;44.5;4;SWE
163;25413;40G5;25;55;50.1;15;56.8;3;SWE
164;25414;40G5;25;55;42.1;14;33;3;SWE
165;25417;40G6;25;55;51.93;16;25.6;3;SWE
166;25418;40G6;25;55;42.4;14;22.5;2;SWE
167;25419;40G6;25;55;41.5;14;22.35;2;SWE
168;25421;40G6;25;55;41.2;14;27.3;3;SWE
169;25422;40G7;25;55;41.8;14;24.6;3;SWE
170;25426;40G5;25;55;49.1;15;15.6;3;SWE
171;25428;40G5;25;55;45.5;16;40.2;3;SWE
172;25431;40G6;25;55;52.2;16;1.1;3;SWE
173;25445;40G7;25;55;35.66;15;13.13;4;DEN
174;25447;41G7;25;55;34.67;15;3.8;5;DEN
175;25448;41G7;25;55;38.55;14;44.19;4;SWE
176;25452;41G6;25;55;22.4;15;15.6;5;DEN
177;25455;41G6;25;55;27.4;17;17;2;POL
178;25462;39G6;25;55;46.23;16;40.9;3;SWE
179;25463;38G6;25;55;14.2;17;18.2;5;POL
180;25500;39G6;25;55;28.42;14;39.32;4;SWE
181;25502;39G6;25;55;27.5;14;28.1;3;SWE
182;25503;39G7;25;55;9.358;16;3.988;5;grey
183;25505;39G5;25;55;43.552;16;40.632;3;SWE
184;25506;39G5;25;55;28.074;15;57.014;5;DEN
185;25508;39G5;25;55;18.02;16;1.13;5;DEN
186;25513;40G7;25;55;43.78;16;41;3;SWE
187;25514;40G8;25;55;18.02;16;1.13;5;DEN
188;26001;37G8;26;54;22.9;19;14.4;2;POL
189;26007;37G9;26;54;51.5;18;34;2;POL
190;26013;38G8;26;56;22;18;29;2;SWE
191;26020;38G8;26;54;47.2;18;42.3;3;POL
192;26023;38G8;26;55;8.3;20;19.8;3;RUS
193;26025;39H0;26;55;12.4;20;9.8;3;RUS
194;26030;41G8;26;56;7.8;19;51;3;LAT
195;26036;37G9;26;54;49.3;19;38.9;4;RUS
196;26045;37G9;26;55;16.7;19;5;4;POL
197;26050;38G8;26;55;38.3;18;3.6;4;POL
198;26052;39H0;26;55;30.4;20;36.6;4;LTU
199;26055;40H0;26;55;48;18;8;4;POL
200;26057;40H0;26;55;43.1;19;58;4;LTU
201;26067;41G9;26;56;7.5;19;34.2;4;LAT
202;26069;41G8;26;56;13.1;18;25.2;4;SWE
203;26071;41G8;26;56;13.7;19;30.3;6;LAT
204;26073;37G8;26;56;15;19;39;4;LAT
205;26074;37G9;26;56;23;18;35;4;SWE
206;26084;37G9;26;54;40.8;19;29;5;RUS
207;26092;37G9;26;55;8.2;19;42.7;5;RUS
208;26096;38G8;26;55;10.5;19;26.3;5;RUS
209;26110;39G8;26;55;35;18;23;5;POL
210;26118;39H0;26;55;32.5;20;2.6;5;RUS
211;26121;39H0;26;55;47.9;19;1.4;5;RUS
212;26122;40G8;26;56;0.1;19;17.9;5;LTU
213;26124;40H0;26;56;17;18;32;5;SWE
214;26130;40G8;26;54;48.1;19;21.9;6;RUS
215;26134;40H0;26;55;57.08;20;28.61;2;LTU
216;26138;40H0;26;55;52.8;18;49;6;POL
217;26141;40G9;26;56;19;18;40;6;LAT
218;26142;40H0;26;56;12;19;28;6;LAT
219;26145;41G8;26;56;27.9;19;49.7;6;LAT
220;26152;41G9;26;55;10.5;19;13.2;5;RUS
221;26153;41G9;26;55;29.4;20;38.8;4;LTU
222;26163;38G9;26;54;24.9;19;18.9;3;POL
223;26164;38G9;26;55;31.7;18;33;5;POL
224;26170;38G8;26;56;9.89056;18;20.27;4;SWE
225;26183;39G9;26;54;51;18;36.8;2;POL
226;26193;39G9;26;55;39.8;20;17.3;4;LTU
227;26199;39G9;26;56;22.8;19;42.4;6;LAT
228;26206;39G8;26;55;45.8;20;20;3;LTU
229;26217;39G9;26;54;24.7;19;17.5;3;POL
230;26219;40G8;26;54;23.5;18;58.5;2;POL
231;26221;40G8;26;55;55.2;18;35.21;6;SWE
232;26224;40G8;26;56;22.01;18;26.8;2;SWE
233;26225;40G8;26;56;18.8;18;23.29;3;SWE
234;26256;40G8;26;54;26.8;19;18.6;4;POL
235;26259;40G9;26;56;22;19;52;5;LAT
236;26260;40G9;26;56;26;20;5;5;LAT
237;26263;40G9;26;54;23.7;18;59.5;2;POL
238;26264;40G9;26;54;25.2;19;2.1;3;POL
239;26265;40H0;26;54;26;19;6;3;POL
240;26266;40G8;26;54;48.2;18;32.9;2;POL
241;26269;40G9;26;54;36.7;19;9.2;5;LAT
242;26274;41H0;26;54;53.8;18;10.2;2;POL
243;26282;40G8;26;54;25.3;19;3.9;3;POL
244;26286;41G9;26;55;37.6;18;32.2;5;POL
245;26287;41G9;26;54;36.7;19;2.1;5;POL
246;26290;41G8;26;55;44.7;18;56.8;5;POL
247;26292;41G10;26;56;4;19;42.5;3;LAT
248;27001;43G6;27;57;23.06;16;53.08;4;SWE
249;27003;43G6;27;57;24.8;17;1.5;3;SWE
250;27005;42G6;27;56;57.6;17;10.8;5;SWE
251;27009;42G6;27;57;4;17;54;4;SWE
252;27011;42G7;27;57;27.5;17;32.8;5;SWE
253;27014;43G7;27;57;37;17;6.05;5;SWE
254;27020;43G7;27;57;21.9;16;55.1;3;SWE
255;27022;43G7;27;56;42.2;16;59.1;4;SWE
256;27024;44G8;27;57;1.9;17;57.5;5;SWE
257;27030;44G8;27;57;13.66;17;23.23;4;SWE
258;28006;43H1;28;57;20.8;20;52.5;4;LAT
259;28009;43H1;28;57;24.2;21;20.7;2;LAT
260;28024;42H0;28;57;28;21;1.6;4;LAT
261;28042;43H1;28;57;7.8;20;43.6;4;LAT
262;28046;43H1;28;57;18.7;20;58.2;4;LAT
263;28049;44G9;28;57;13.5;21;2.2;3;LAT
264;28062;42H0;28;56;31.1;20;13.8;5;LAT
265;28070;42H0;28;57;8;20;35;5;LAT
266;28072;43G8;28;57;15.4;19;4.3;5;SWE
267;28074;43G8;28;57;10.5;20;35.2;5;LAT
268;28075;43H0;28;57;12.3;20;40.4;5;LAT
269;28086;43H0;28;57;10.8;20;25.9;6;LAT
270;28088;43H0;28;57;26.7;20;34.2;5;LAT
271;28093;43H1;28;57;29.3;21;26.2;2;LAT
272;28094;43H1;28;56;56.4;20;23;5;LAT
273;28098;43G9;28;57;20.2;19;8.1;5;SWE
274;28126;44H1;28;57;14.68;21;5.63;3;LAT
275;28127;45G9;28;57;16.38;21;2.55;4;LAT
276;28132;45H1;28;57;13.8;21;9.4;3;LAT
277;28136;45G9;28;57;1.86;21;5.66;2;LAT
278;28138;45G9;28;57;4.05;21;7.77;2;LAT
279;28157;43H0;28;56;39.38;20;45.92;2;LAT
280;28160;43G9;28;56;36.49;20;41.28;3;LAT
281;28161;43G9;28;56;38.1;20;43.9;2;LAT
282;28165;43H0;28;57;7.18;20;39.42;5;LAT
283;28173;43H0;28;56;38.85;20;36.28;3;LAT
284;28182;42G8;28;57;46.71;19;28.85;5;SWE
285;28188;44H0;28;57;36.88;19;10.15;3;SWE
286;28189;42G8;28;58;20.42;19;6.6;4;SWE
287;28190;42G9;28;57;58.9;20;58.43;5;EST
288;28191;42H0;28;58;1.6;21;5.9;4;EST
289;28193;43H0;28;57;52.8;21;30.9;3;EST
290;25049;38G5;25;54;32.5;15;46.1;3;POL
291;25053;38G6;25;54;48.1;15;0.8;3;DEN
292;25084;39G7;25;55;23;17;22;3;POL
293;25167;40G5;25;56;16;17;57;3;SWE
294;25347;39G7;25;55;50.1;15;56.77;3;SWE
295;25353;39G7;25;55;42.1;14;33;3;SWE
296;25391;40G4;25;55;40.1;14;43.46;3;SWE
297;25403;40G4;25;55;51.93;16;26.14;3;SWE
298;25425;40G5;25;55;42.55;14;51;3;SWE
299;25429;40G5;25;55;57.91;15;24.6;3;SWE
300;28122;44H1;28;57;23.8;21;17.54;3;LAT
301;28177;44G9;28;57;11.07;18;48.65;3;SWE
