"NrHaul";"Type";"sekvens";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ";"Rec9"
"1";22003;1;24;"37G1";22;54;11.8;11;53.4;2;"GFR";"37G1 6"
"2";22012;1;26;"38G0";22;54;25.22;11;31.07;2;"GFR";"38G0 8"
"3";22016;1;31;"38G1";22;55;5.9;10;48.7;2;"DEN";"38G1 3"
"4";22017;1;23;"39G0";22;55;0.41;11;3.57;2;"DEN";"39G0 1"
"5";22018;1;14;"39G1";22;55;4.2;11;4.1;2;"DEN";"39G1 1"
"6";22019;1;15;"39G1";22;55;3.44;11;24.15;2;"DEN";"39G1 2"
"7";22020;1;16;"39G1";22;55;12.7;10;56.3;2;"DEN";"39G1 6"
"8";22021;1;12;"39G0";22;55;14.9;10;50.7;2;"DEN";"39G0 6"
"9";22025;1;13;"39G0";22;55;23.14;10;50.56;2;"DEN";"39G0 9"
"10";22034;1;17;"40G0";22;55;59.6;10;38.4;2;"DEN";"40G0 8"
"11";22035;1;18;"40G0";22;55;59;10;52.8;2;"DEN";"40G0 9"
"12";22037;1;20;"40G1";22;55;58.9;11;1.8;2;"DEN";"40G1 7"
"13";22043;1;19;"40G1";22;54;6.12;11;4.46;2;"GFR";"40G1 1"
"14";22045;1;11;"37G1";22;54;17.28;11;18.11;2;"GFR";"37G1 4"
"15";22058;1;28;"37G1";22;54;27.17;11;25.18;2;"GFR";"37G1 8"
"16";22065;1;4;"37G1";22;54;36.4;10;38.58;2;"DEN";"37G1 2"
"17";22078;1;27;"37G1";22;54;58.2;10;6.8;2;"DEN";"37G1 7"
"18";22081;1;9;"37G1";22;55;6.3;9;59.28;2;"DEN";"37G1 3"
"19";22103;1;30;"38G1";22;55;3.32;11;1.82;2;"DEN";"38G1 1"
"20";22111;1;25;"38G0";22;54;54.83;10;3.2;2;"DEN";"38G0 7"
"21";22112;1;29;"38G0";22;55;39.63;10;23.84;2;"DEN";"38G0 2"
"22";22118;1;7;"38G5";22;55;37.77;10;20.59;2;"DEN";"38G5 2"
"23";22121;1;21;"38G7";22;55;2.95;11;6.01;2;"DEN";"38G7 1"
"24";22123;1;22;"38G9";22;54;27.49;10;35.55;2;"GFR";"38G9 8"
"25";22125;1;33;"38G11";22;55;24.08;10;48.95;2;"DEN";"38G11 9"
"26";22128;1;32;"38G14";22;54;48.83;10;9.5;2;"DEN";"38G14 4"
"27";22131;1;3;"38G17";22;54;37.7;10;38.92;2;"DEN";"38G17 2"
"28";22132;1;6;"38G18";22;54;14.1338;11;25.1236;2;"GFR";"38G18 5"
"29";22135;1;1;"38G20";22;54;37.4;11;5;2;"GFR";"38G20 1"
"30";22140;1;5;"38G25";22;54;25.9;11;37;2;"DEN";"38G25 8"
"31";22141;1;2;"38G26";22;54;14.4;11;25.3;2;"GFR";"38G26 5"
"32";22142;1;10;"38G27";22;54;15.9;11;30.1;2;"GFR";"38G27 5"
"33";22145;1;8;"38G30";22;54;17.9;11;31.6;2;"GFR";"38G30 5"
"34";24001;1;38;"37G4";24;54;23.05;12;11.63;2;"GFR";"37G4 7"
"35";24002;1;39;"37G2";24;54;26.48;12;20.88;2;"GFR";"37G2 8"
"36";24004;1;34;"37G2";24;54;29;14;45.2;2;"POL";"37G2 9"
"37";24005;1;35;"37G3";24;54;39.6;12;11.2;2;"DEN";"37G3 1"
"38";24006;1;36;"37G4";24;54;35.31;12;27.37;2;"GFR";"37G4 2"
"39";24007;1;37;"37G4";24;54;37.44;12;55.14;2;"GFR";"37G4 3"
"40";24020;1;47;"38G2";24;55;16.17;13;55.99;2;"SWE";"38G2 6"
"41";24021;1;40;"38G2";24;54;29.57;13;43.66;2;"GFR";"38G2 9"
"42";24030;1;42;"38G4";24;54;33.42;13;48.1;2;"GFR";"38G4 3"
"43";24039;1;49;"38G4";24;54;39.36;14;9.47;2;"GFR";"38G4 1"
"44";24041;1;43;"38G2";24;54;37;14;22;2;"GFR";"38G2 2"
"45";24059;1;50;"38G3";24;54;46.77;12;21.78;2;"DEN";"38G3 5"
"46";24069;1;66;"38G4";24;54;44.72;13;30.44;2;"GFR";"38G4 5"
"47";24078;1;61;"38G4";24;54;41.59;14;7.13;2;"GFR";"38G4 4"
"48";24081;1;48;"38G2";24;54;40.4;14;30.3;2;"DEN";"38G2 5"
"49";24085;1;68;"38G2";24;54;47.53;14;41.5;3;"DEN";"38G2 6"
"50";24101;1;55;"38G4";24;55;6.87;13;52.47;3;"SWE";"38G4 3"
"51";24125;1;51;"38G4";24;55;15.71;13;57.57;2;"SWE";"38G4 6"
"52";24130;1;44;"38G2";24;55;16.17;14;2.63;2;"SWE";"38G2 4"
"53";24150;1;63;"38G2";24;54;36.77;14;46.61;3;"grey";"38G2 3"
"54";24164;1;72;"39G3";24;54;40.17;14;40.29;3;"DEN";"39G3 6"
"55";24171;1;73;"39G3";24;54;56.32;13;5.39;3;"GFR";"39G3 7"
"56";24190;1;58;"39G4";24;54;55.58;13;40.2;3;"GFR";"39G4 9"
"57";24195;1;65;"38G4";24;54;57.6;13;59.1;3;"GFR";"38G4 9"
"58";24210;1;60;"38G3";24;55;1.02;13;18.4;3;"SWE";"38G3 1"
"59";24228;1;64;"38G3";24;55;0.57;13;40.37;3;"GFR";"38G3 3"
"60";24252;1;53;"38G4";24;55;12.47;13;10.47;3;"SWE";"38G4 4"
"61";24263;1;54;"38G4";24;55;16.35;13;44;3;"SWE";"38G4 6"
"62";24275;1;67;"38G2";24;55;11.91;14;18.7;3;"DEN";"38G2 4"
"63";24278;1;45;"38G3";24;54;46.1;15;0;3;"grey";"38G3 4"
"64";24294;1;46;"38G3";24;54;36.77;13;48.48;2;"GFR";"38G3 3"
"65";24297;1;41;"38G4";24;54;59.3;12;54.39;2;"DEN";"38G4 9"
"66";24300;1;71;"39G3";24;54;51.74;14;47.68;2;"DEN";"39G3 9"
"67";24301;1;59;"39G3";24;55;3.36;13;38.36;2;"SWE";"39G3 2"
"68";24303;1;70;"39G3";24;55;18.83;13;55.94;2;"SWE";"39G3 6"
"69";24306;1;52;"38G3";24;54;42.582;13;47.324;3;"GFR";"38G3 6"
"70";24309;1;74;"39G3";24;54;52.3756;13;34.2694;3;"GFR";"39G3 8"
"71";24310;1;75;"39G3";24;54;59.327;13;52.1836;3;"GFR";"39G3 9"
"72";24318;1;56;"39G4";24;55;8.5658;14;8.3768;3;"SWE";"39G4 1"
"73";24324;1;57;"39G4";24;55;9;13;55.9;3;"SWE";"39G4 3"
"74";24325;1;76;"39G4";24;54;36.4;12;36.15;2;"GFR";"39G4 2"
"75";24328;1;69;"39G4";24;54;38.39;12;41.08;2;"GFR";"39G4 3"
"76";24335;1;62;"39G4";24;54;11.5;14;18.6;2;"GFR";"39G4 4"
"77";25004;3;206;"37G5";25;54;52.7;16;38.6;2;"POL";"37G5 8"
"78";25006;3;207;"37G5";25;54;26;15;8.8;2;"POL";"37G5 7"
"79";25008;3;203;"37G5";25;54;23;15;34;2;"POL";"37G5 8"
"80";25009;3;204;"37G6";25;54;22.9;15;47.3;2;"POL";"37G6 9"
"81";25010;3;199;"37G6";25;54;26.8;16;5.3;2;"POL";"37G6 7"
"82";25011;3;267;"38G6";25;54;24.7;16;3;2;"POL";"38G6 7"
"83";25013;3;208;"38G6";25;54;39;16;23.6;2;"POL";"38G6 2"
"84";25014;3;228;"38G6";25;54;41.6;16;38.7;2;"POL";"38G6 5"
"85";25016;3;217;"38G6";25;54;44.6;16;49;2;"POL";"38G6 6"
"86";25017;3;219;"38G6";25;54;44.2;16;52.3;2;"POL";"38G6 6"
"87";25022;3;221;"38G7";25;54;57.4;17;25;2;"POL";"38G7 8"
"88";25024;3;222;"38G7";25;54;51;17;28;2;"POL";"38G7 8"
"89";25038;1;89;"39G7";25;56;9;17;45;3;"SWE";"39G7 3"
