;NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ
1;22044;37G1;22;54;7.13;11;10.01;2;GFR
2;22045;37G1;22;54;17.28;11;18.11;2;GFR
3;22047;37G1;22;54;18.13;11;25.49;2;GFR
4;22053;37G1;22;54;18.48;11;41.42;2;GFR
5;22055;37G0;22;54;22.4;10;40.17;2;GFR
6;22058;37G1;22;54;27.17;11;25.18;2;GFR
7;22060;37G1;22;54;22.5;11;47.24;2;DEN
8;22062;38G0;22;54;32.39;10;8.98;2;GFR
9;22065;38G0;22;54;36.4;10;38.58;2;DEN
10;22072;38G1;22;54;33.53;11;21.74;2;DEN
11;22081;39F9;22;55;6.3;9;59.28;2;DEN
12;22084;39G1;22;55;11.9;11;4.6;2;DEN
13;22089;40G0;22;55;41.7;10;13.2;2;DEN
14;22090;40G0;22;55;42.3;10;27.8;2;DEN
15;22092;40G0;22;55;49.8;10;49.2;2;DEN
16;22094;41G0;22;56;2.6;10;55.6;2;DEN
17;22100;40G0;22;55;42.9;10;47.2;3;DEN
18;22103;39G1;22;55;4.62;11;16.37;2;DEN
19;22104;40G0;22;55;34.45;10;36.67;2;DEN
20;22111;38G0;22;54;54.83;10;3.2;2;DEN
21;22117;40G0;22;55;30.3;10;41.58;2;DEN
22;22121;38G1;22;54;59.42;11;6.97;2;DEN
23;22122;39G0;22;55;28.23;10;44.04;2;DEN
24;22123;37G0;22;54;27.49;10;35.55;2;GFR
25;22128;38F9;22;54;57.66;9;47.5;2;DEN
26;22129;38G0;22;54;54.21;10;57.57;2;DEN
27;22130;39G0;22;55;19.93;10;53.86;2;DEN
28;22134;38G0;22;54;33.126;10;46.27;2;GFR
29;22135;38G1;22;54;37.4;11;5;2;GFR
30;22138;38G0;22;54;46.8;10;25.3;2;DEN
31;24001;37G2;24;54;23.05;12;11.63;2;GFR
32;24002;37G2;24;54;26.48;12;20.88;2;GFR
33;24016;38G2;24;54;41.28;12;58.35;2;GFR
34;24017;38G2;24;54;52.97;12;36.41;2;DEN
35;24022;37G4;24;54;26.75;14;57.3;2;POL
36;24031;38G3;24;54;39.11;13;50.17;2;GFR
37;24046;38G4;24;54;40.2;14;30.7;2;DEN
38;24047;38G4;24;54;35.4;14;27.96;2;GFR
39;24055;38G4;24;54;34.16;14;43.13;2;grey
40;24059;38G2;24;54;46.77;12;21.78;2;DEN
41;24063;38G3;24;54;42.6;13;9;2;GFR
42;24089;38G2;24;54;54.1254;12;54;3;DEN
43;24094;39G2;24;55;5;12;47;2;DEN
44;24142;39G4;24;55;16.4;14;5;2;SWE
45;24153;38G3;24;54;45.22;13;31.23;3;GFR
46;24169;38G2;24;54;54.8;12;58.5;2;DEN
47;24173;38G3;24;54;52.58;13;13.14;3;GFR
48;24192;38G3;24;54;51.9;13;50.1;3;GFR
49;24205;38G4;24;54;53.93;14;5.8;3;DEN
50;24211;39G3;24;55;3.89;13;16.5;3;SWE
51;24212;38G3;24;55;0.11;13;23.42;3;GFR
52;24267;39G3;24;55;15.4;13;59.9;2;SWE
53;24280;38G2;24;54;41.32;12;11.83;2;DEN
54;24286;38G4;24;54;41.56;14;39.445;3;DEN
55;24300;38G4;24;54;51.74;14;47.68;2;DEN
56;24301;39G3;24;55;3.36;13;38.36;2;SWE
57;24309;38G3;24;54;52.3756;13;34.2694;3;GFR
58;24311;38G4;24;55;0.88;14;16.4;3;DEN
59;24317;39G4;24;55;9.471;14;16.2058;3;DEN
60;24325;38G2;24;54;36.4;12;36.15;2;GFR
61;24328;38G2;24;54;38.39;12;41.08;2;GFR
62;24334;37G4;24;54;22;14;18.1;2;GFR
63;24335;37G4;24;54;11.5;14;18.6;2;GFR
64;25004;38G6;25;54;52.7;16;38.6;2;POL
65;25006;37G5;25;54;26;15;8.8;2;POL
66;25008;37G5;25;54;23;15;34;2;POL
67;25009;37G5;25;54;22.9;15;47.3;2;POL
68;25010;37G6;25;54;26.8;16;5.3;2;POL
69;25011;37G6;25;54;24.7;16;3;2;POL
70;25013;38G6;25;54;39;16;23.6;2;POL
71;25014;38G6;25;54;41.6;16;38.7;2;POL
72;25016;38G6;25;54;44.6;16;49;2;POL
73;25017;38G6;25;54;44.2;16;52.3;2;POL
74;25022;38G7;25;54;57.4;17;25;2;POL
75;25024;38G7;25;54;51;17;28;2;POL
76;25030;39G7;25;55;29.3;17;27.8;3;POL
77;25038;41G7;25;56;9;17;45;3;SWE
78;25039;37G5;25;54;27.5;15;36.3;3;POL
79;25042;38G5;25;54;32;16;0;3;POL
80;25046;38G5;25;54;33.4;15;26.4;3;POL
81;25048;38G5;25;54;34.1;15;40.1;4;POL
82;25051;38G5;25;54;38.7;15;54.8;3;POL
83;25052;38G6;25;54;38.4;16;4.5;3;POL
84;25056;38G5;25;54;44.7;15;57;3;POL
85;25060;38G5;25;54;50.3;16;3.1;3;POL
86;25061;38G6;25;54;49.5;16;2.1;3;POL
87;25062;38G6;25;54;56.3;16;14.6;3;POL
88;25066;39G6;25;55;0;16;17;3;POL
89;25067;39G6;25;55;2.6;16;24;3;POL
90;25080;39G6;25;55;24.3;16;44.9;3;POL
91;25089;39G7;25;55;23.4;17;45;4;POL
92;25100;40G5;25;55;38.2;15;6.2;5;DEN
93;25134;40G6;25;55;47.3;16;42;3;SWE
94;25136;40G7;25;55;46.6;17;42;3;SWE
95;25145;40G6;25;55;50.1;16;12.3;3;SWE
96;25177;38G5;25;54;46.3;15;17.3;4;grey
97;25192;38G5;25;54;50;15;36;5;grey
98;25193;38G5;25;54;51;15;41.4;4;grey
99;25205;39G5;25;55;5.6;15;33.1;4;grey
100;25219;39G5;25;55;19.3;15;2.4;4;DEN
101;25229;39G6;25;55;16.7;16;52.3;4;POL
102;25231;39G7;25;55;19.3;17;17.4;4;POL
103;25235;39G4;25;55;29.1;14;46.3;4;DEN
104;25241;39G5;25;55;20.9;15;22.3;4;DEN
105;25250;39G7;25;55;24;17;30.3;4;POL
106;25274;40G5;25;55;32.39;15;33.49;4;DEN
107;25283;40G6;25;55;35.3;16;11.5;4;SWE
108;25290;40G7;25;55;30;17;53.8;4;POL
109;25292;40G4;25;55;41.6;14;50.5;3;SWE
110;25299;40G5;25;55;47;15;56;4;SWE
111;25302;40G6;25;55;42.4;16;10.8;4;SWE
