"NrHaul";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ"
"97";25084;"39G7";25;55;23;17;22;3;"POL"
"98";25088;"40G6";25;55;23.2;17;32;4;"POL"
"99";25089;"40G7";25;55;23.4;17;45;4;"POL"
"100";25100;"40G4";25;55;38.2;15;6.2;5;"DEN"
"101";25119;"40G4";25;55;41.2;15;4.2;4;"SWE"
"102";25136;"40G4";25;55;46.6;17;42;3;"SWE"
"103";25181;"40G5";25;54;49.2;15;54.5;4;"POL"
"104";25182;"40G5";25;54;53.3;15;17.5;3;"DEN"
"105";25192;"40G5";25;54;50;15;36;5;"grey"
"106";25193;"40G5";25;54;51;15;41.4;4;"grey"
"107";25219;"40G6";25;55;19.3;15;2.4;4;"DEN"
"108";25224;"41G7";25;55;18;16;17;4;"grey"
"109";25231;"38G5";25;55;19.3;17;17.4;4;"POL"
"110";25232;"38G5";25;55;18.7;17;20;4;"POL"
"111";25240;"38G5";25;55;28.6;15;12.8;4;"DEN"
"112";25268;"38G5";25;55;37.4;14;52.2;4;"SWE"
"113";25274;"38G5";25;55;31.3;15;31.3;5;"DEN"
"114";25277;"38G5";25;55;34.4;15;34.8;4;"DEN"
"115";25292;"39G5";25;55;45.885;15;23.788;3;"SWE"
"116";25302;"39G4";25;55;42.4;16;10.8;4;"SWE"
"117";25311;"39G6";25;56;2;17;43;4;"SWE"
"118";25321;"40G4";25;55;5.4;15;36;4;"grey"
"119";25322;"39G5";25;55;3.1;15;42.6;5;"grey"
"120";25326;"39G5";25;55;8.1;16;3.6;5;"grey"
"121";25330;"39G5";25;55;15.7;15;58.7;5;"DEN"
"122";25331;"39G6";25;55;16.1;16;3.9;5;"DEN"
"123";25341;"39G7";25;55;20.94;15;22.27;5;"DEN"
"124";25353;"39G7";25;55;42.1;14;33;3;"SWE"
"125";25364;"39G7";25;54;59.8;17;28;2;"POL"
"126";25380;"39G7";25;55;38.5;17;37.8;3;"POL"
"127";25392;"40G4";25;55;45.1;15;22.75;4;"SWE"
