NrHaul;Type;sekvens;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Rec9;
1;22021;1;26;39G0;22;55;14.9;10;50.7;2;DEN;39G0 6
2;22035;1;27;40G0;22;55;59;10;52.8;2;DEN;40G0 9
3;22043;1;29;40G1;22;54;6.12;11;4.46;2;GFR;40G1 1
4;22050;1;11;37G1;22;54;14.6;11;20.2;2;GFR;37G1 5
5;22052;1;4;37G1;22;54;17.07;11;54.94;2;GFR;37G1 6
6;22057;1;2;37G1;22;54;24.53;11;25.38;2;GFR;37G1 8
7;22060;1;9;37G1;22;54;22.5;11;47.24;2;GFR;37G1 9
8;22065;1;7;37G1;22;54;36.4;10;38.58;2;DEN;37G1 2
9;22072;1;34;37G0;22;54;33.53;11;21.74;2;GFR;37G0 2
10;22076;1;35;37G0;22;54;49.11;10;16.47;2;DEN;37G0 4
11;22078;1;1;37G1;22;54;58.2;10;6.8;2;DEN;37G1 7
12;22079;1;8;37G1;22;55;5.09;9;59.08;2;DEN;37G1 3
13;22082;1;36;37G1;22;55;6.36;11;19.5;2;DEN;37G1 1
14;22084;1;10;37G1;22;55;11.9;11;4.6;2;DEN;37G1 4
15;22086;1;5;38G0;22;55;35.96;10;55.36;2;DEN;38G0 3
16;22089;1;3;38G0;22;55;41.7;10;13.2;2;DEN;38G0 4
17;22090;1;6;38G0;22;55;42.3;10;27.8;2;DEN;38G0 5
18;22091;1;14;38G1;22;55;43.32;10;38.2;2;DEN;38G1 5
19;22103;1;13;38G1;22;55;3.32;11;1.82;2;DEN;38G1 1
20;22111;1;12;38G0;22;54;54.83;10;3.2;2;DEN;38G0 7
21;22115;1;28;38G2;22;54;13.88;11;15.95;2;GFR;38G2 4
22;22116;1;19;38G3;22;54;41.17;10;28.56;2;DEN;38G3 5
23;22117;1;21;38G4;22;55;30.3;10;41.58;2;DEN;38G4 3
24;22121;1;23;38G7;22;55;2.95;11;6.01;2;DEN;38G7 1
25;22122;1;24;38G8;22;55;32.49;10;51.14;2;DEN;38G8 3
26;22123;1;25;38G9;22;54;27.49;10;35.55;2;GFR;38G9 8
