"NrHaul";"Type";"sekvens";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ";"Rec9"
"25";22123;1;14;"38G9";22;54;27.49;10;35.55;2;"GFR";"38G9 8"
"26";22124;1;35;"38G10";22;54;48.88;10;17.53;2;"DEN";"38G10 4"
"27";22126;1;36;"38G12";22;55;40;10;38.91;2;"DEN";"38G12 5"
"28";22128;1;3;"38G14";22;54;48.83;10;9.5;2;"DEN";"38G14 4"
"29";22130;1;5;"38G16";22;55;19.93;10;53.86;2;"DEN";"38G16 6"
"30";22131;1;7;"38G17";22;54;37.7;10;38.92;2;"DEN";"38G17 2"
"31";22135;1;4;"38G20";22;54;37.4;11;5;2;"GFR";"38G20 1"
"32";22137;1;8;"38G22";22;54;42.9;10;44.9;2;"DEN";"38G22 6"
"33";22140;1;9;"38G25";22;54;25.9;11;37;2;"DEN";"38G25 8"
"34";22141;1;22;"38G26";22;54;14.4;11;25.3;2;"GFR";"38G26 5"
"35";22142;1;24;"38G27";22;54;15.9;11;30.1;2;"GFR";"38G27 5"
"36";22145;1;26;"38G30";22;54;17.9;11;31.6;2;"GFR";"38G30 5"
"37";24002;1;37;"37G2";24;54;26.48;12;20.88;2;"GFR";"37G2 8"
"38";24004;1;38;"37G2";24;54;29;14;45.2;2;"POL";"37G2 9"
"39";24005;1;39;"37G3";24;54;39.6;12;11.2;2;"DEN";"37G3 1"
"40";24008;1;40;"37G4";24;54;30.01;13;58.73;2;"GFR";"37G4 3"
"41";24011;1;41;"37G4";24;54;31.63;14;18.57;2;"GFR";"37G4 1"
"42";24017;1;49;"38G2";24;54;52.97;12;36.41;2;"DEN";"38G2 8"
"43";24046;1;42;"38G2";24;54;40.2;14;30.7;2;"DEN";"38G2 5"
"44";24055;1;45;"38G2";24;54;34.16;14;43.13;2;"grey";"38G2 3"
"45";24063;1;64;"38G3";24;54;42.6;13;9;2;"GFR";"38G3 4"
"46";24066;1;70;"38G4";24;54;44.6;13;20.22;2;"GFR";"38G4 5"
"47";24071;1;57;"38G4";24;54;45.5;13;55.22;3;"GFR";"38G4 6"
"48";24078;1;48;"38G4";24;54;41.59;14;7.13;2;"GFR";"38G4 4"
"49";24085;1;71;"38G2";24;54;47.53;14;41.5;3;"DEN";"38G2 6"
"50";24086;1;53;"38G2";24;54;59.23;12;40.34;2;"DEN";"38G2 9"
"51";24089;1;47;"38G3";24;54;54.1254;12;54;3;"DEN";"38G3 9"
"52";24093;1;52;"38G3";24;55;5.9;12;47.2;2;"DEN";"38G3 3"
"53";24101;1;59;"38G4";24;55;6.87;13;52.47;3;"SWE";"38G4 3"
"54";24125;1;54;"38G4";24;55;15.71;13;57.57;2;"SWE";"38G4 6"
"55";24142;1;44;"38G2";24;55;16.4;14;5;2;"SWE";"38G2 4"
"56";24150;1;69;"38G2";24;54;36.77;14;46.61;3;"grey";"38G2 3"
"57";24161;1;74;"39G2";24;54;46.2;13;58.3;3;"GFR";"39G2 6"
"58";24164;1;60;"39G3";24;54;40.17;14;40.29;3;"DEN";"39G3 6"
"59";24173;1;61;"39G3";24;54;52.58;13;13.14;3;"GFR";"39G3 7"
"60";24183;1;58;"39G4";24;55;0;13;31.7;3;"GFR";"39G4 2"
"61";24207;1;50;"38G3";24;54;59.2;14;9.5;3;"DEN";"38G3 7"
"62";24228;1;55;"38G3";24;55;0.57;13;40.37;3;"GFR";"38G3 3"
"63";24251;1;51;"38G4";24;55;5.4;14;33.14;3;"DEN";"38G4 2"
"64";24252;1;56;"38G4";24;55;12.47;13;10.47;3;"SWE";"38G4 4"
"65";24267;1;43;"38G5";24;55;15.4;13;59.9;2;"SWE";"38G5 6"
"66";24278;1;66;"38G3";24;54;46.1;15;0;3;"grey";"38G3 4"
"67";24281;1;46;"38G3";24;54;50.68;12;40.73;2;"DEN";"38G3 9"
"68";24282;1;72;"38G3";24;54;38.42;12;10.53;2;"DEN";"38G3 1"
"69";24295;1;68;"38G4";24;54;34.564;14;39.402;2;"DEN";"38G4 2"
"70";24300;1;77;"39G3";24;54;51.74;14;47.68;2;"DEN";"39G3 9"
"71";24301;1;63;"39G3";24;55;3.36;13;38.36;2;"SWE";"39G3 2"
"72";24303;1;73;"39G3";24;55;18.83;13;55.94;2;"SWE";"39G3 6"
"73";24311;1;75;"39G3";24;55;0.88;14;16.4;3;"DEN";"39G3 1"
"74";24313;1;79;"39G3";24;55;2.3696;13;25.4476;3;"SWE";"39G3 2"
"75";24321;1;62;"39G4";24;55;13.4;13;25.2;3;"SWE";"39G4 5"
"76";24325;1;78;"39G4";24;54;36.4;12;36.15;2;"GFR";"39G4 2"
"77";24328;1;67;"39G4";24;54;38.39;12;41.08;2;"GFR";"39G4 3"
"78";24332;1;76;"39G3";24;54;22.6;14;11.1;2;"GFR";"39G3 7"
"79";24335;1;65;"39G4";24;54;11.5;14;18.6;2;"GFR";"39G4 4"
"80";24336;1;80;"39G5";24;54;51.447;13;32.482;3;"GFR";"39G5 8"
"81";25004;3;213;"37G5";25;54;52.7;16;38.6;2;"POL";"37G5 8"
"82";25006;3;214;"37G5";25;54;26;15;8.8;2;"POL";"37G5 7"
"83";25008;3;215;"37G5";25;54;23;15;34;2;"POL";"37G5 8"
"84";25009;3;224;"37G6";25;54;22.9;15;47.3;2;"POL";"37G6 9"
"85";25010;3;280;"37G6";25;54;26.8;16;5.3;2;"POL";"37G6 7"
"86";25011;3;219;"38G6";25;54;24.7;16;3;2;"POL";"38G6 7"
"87";25013;3;227;"38G6";25;54;39;16;23.6;2;"POL";"38G6 2"
"88";25014;3;220;"38G6";25;54;41.6;16;38.7;2;"POL";"38G6 5"
"89";25016;3;228;"38G6";25;54;44.6;16;49;2;"POL";"38G6 6"
"90";25017;3;241;"38G6";25;54;44.2;16;52.3;2;"POL";"38G6 6"
"91";25022;3;229;"38G7";25;54;57.4;17;25;2;"POL";"38G7 8"
"92";25024;3;231;"38G7";25;54;51;17;28;2;"POL";"38G7 8"
"93";25038;1;81;"39G7";25;56;9;17;45;3;"SWE";"39G7 3"
"94";25040;1;92;"40G4";25;54;27.9;15;46.8;3;"POL";"40G4 9"
"95";25042;1;248;"37G5";25;54;32;16;0;3;"POL";"37G5 1"
"96";25047;1;127;"37G5";25;54;37.7;15;31.6;4;"POL";"37G5 2"
"97";25051;1;250;"38G5";25;54;38.7;15;54.8;3;"POL";"38G5 3"
"98";25052;1;249;"38G5";25;54;38.4;16;4.5;3;"POL";"38G5 1"
"99";25054;1;123;"38G5";25;54;42.9;15;46.7;4;"POL";"38G5 6"
"100";25056;1;252;"38G6";25;54;44.7;15;57;3;"POL";"38G6 6"
"101";25061;1;251;"38G6";25;54;49.5;16;2.1;3;"POL";"38G6 4"
"102";25062;1;259;"39G6";25;54;56.3;16;14.6;3;"POL";"39G6 7"
"103";25066;1;253;"39G4";25;55;0;16;17;3;"POL";"39G4 1"
"104";25067;1;254;"39G4";25;55;2.6;16;24;3;"POL";"39G4 2"
"105";25076;1;113;"39G6";25;55;21.1;15;4.4;4;"DEN";"39G6 7"
"106";25089;1;94;"40G7";25;55;23.4;17;45;4;"POL";"40G7 9"
"107";25100;1;128;"40G4";25;55;38.2;15;6.2;5;"DEN";"40G4 1"
"108";25136;1;85;"40G4";25;55;46.6;17;42;3;"SWE";"40G4 6"
"109";25162;1;141;"40G5";25;55;58;17;46;4;"SWE";"40G5 9"
"110";25173;1;98;"40G6";25;54;40.9;15;37.6;4;"grey";"40G6 5"
"111";25181;1;137;"40G5";25;54;49.2;15;54.5;4;"POL";"40G5 6"
"112";25190;1;139;"40G5";25;54;57;15;31;4;"grey";"40G5 8"
"113";25192;1;125;"40G5";25;54;50;15;36;5;"grey";"40G5 8"
"114";25232;1;122;"38G5";25;55;18.7;17;20;4;"POL";"38G5 5"
"115";25274;1;101;"38G5";25;55;31.3;15;31.3;5;"DEN";"38G5 2"
"116";25286;1;111;"39G5";25;55;34.9;16;26.1;4;"SWE";"39G5 2"
"117";25292;1;256;"39G5";25;55;45.885;15;23.788;3;"SWE";"39G5 5"
"118";25302;1;146;"39G4";25;55;42.4;16;10.8;4;"SWE";"39G4 4"
"119";25308;1;114;"39G5";25;55;44.1;17;55.7;4;"POL";"39G5 6"
"120";25311;1;89;"39G6";25;56;2;17;43;4;"SWE";"39G6 3"
"121";25321;1;121;"40G4";25;55;5.4;15;36;4;"grey";"40G4 2"
"122";25322;1;104;"39G5";25;55;3.1;15;42.6;5;"grey";"39G5 3"
"123";25330;1;263;"39G5";25;55;15.7;15;58.7;5;"DEN";"39G5 6"
"124";25331;1;105;"39G6";25;55;16.1;16;3.9;5;"DEN";"39G6 4"
"125";25339;1;103;"39G6";25;55;15.5;17;25.5;5;"POL";"39G6 5"
"126";25344;1;108;"39G7";25;55;27.4;15;56.2;5;"DEN";"39G7 9"
"127";25347;1;82;"39G7";25;55;50.1;15;56.77;3;"SWE";"39G7 9"
"128";25359;1;110;"39G7";25;55;48.5;16;31.9;3;"SWE";"39G7 5"
"129";25364;3;235;"39G7";25;54;59.8;17;28;2;"POL";"39G7 8"
"130";25380;1;102;"39G7";25;55;38.5;17;37.8;3;"POL";"39G7 2"
"131";25387;1;83;"39G7";25;55;24.54;14;30.28;3;"SWE";"39G7 8"
"132";25389;1;112;"40G4";25;55;35.41;16;39.65;3;"SWE";"40G4 2"
"133";25394;1;117;"40G4";25;54;39.4;15;9.08;4;"grey";"40G4 1"
"134";25401;3;236;"40G4";25;55;42.15;14;22.21;2;"SWE";"40G4 5"
"135";25403;1;84;"40G4";25;55;51.93;16;26.14;3;"SWE";"40G4 8"
"136";25413;1;145;"40G5";25;55;50.1;15;56.8;3;"SWE";"40G5 9"
"137";25416;1;87;"40G5";25;55;41.56;14;22.75;3;"SWE";"40G5 5"
"138";25418;3;237;"40G6";25;55;42.4;14;22.5;2;"SWE";"40G6 5"
"139";25419;3;238;"40G6";25;55;41.5;14;22.35;2;"SWE";"40G6 5"
"140";25422;1;124;"40G7";25;55;41.8;14;24.6;3;"SWE";"40G7 5"
"141";25425;1;118;"40G5";25;55;42.55;14;51;3;"SWE";"40G5 6"
"142";25426;1;86;"40G5";25;55;49.1;15;15.6;3;"SWE";"40G5 4"
"143";25429;1;130;"40G5";25;55;57.91;15;24.6;3;"SWE";"40G5 8"
"144";25431;1;100;"40G6";25;55;52.2;16;1.1;3;"SWE";"40G6 7"
"145";25433;1;96;"40G6";25;54;50.3;15;27.3;4;"grey";"40G6 8"
"146";25438;1;142;"40G6";25;55;37.8;14;39.6;4;"SWE";"40G6 2"
"147";25446;1;260;"40G7";25;55;32.68;15;15.36;4;"DEN";"40G7 1"
"148";25447;1;148;"41G7";25;55;34.67;15;3.8;5;"DEN";"41G7 1"
"149";25448;1;99;"41G7";25;55;38.55;14;44.19;4;"SWE";"41G7 3"
"150";25449;1;261;"41G7";25;55;27.6;14;43.8;4;"DEN";"41G7 9"
"151";25450;1;120;"41G7";25;55;40.6;16;32.3;4;"SWE";"41G7 5"
"152";25452;1;129;"41G6";25;55;22.4;15;15.6;5;"DEN";"41G6 7"
"153";25455;3;245;"41G6";25;55;27.4;17;17;2;"POL";"41G6 7"
"154";25456;1;97;"41G6";25;55;23.3;17;6.7;4;"POL";"41G6 7"
"155";25461;1;255;"39G5";25;56;4.05;17;21.87;3;"SWE";"39G5 2"
"156";25462;1;258;"39G6";25;55;45.979;16;41.02;3;"SWE";"39G6 6"
"157";25463;1;107;"38G6";25;55;14.2;17;18.2;5;"POL";"38G6 4"
"158";25500;1;116;"39G6";25;55;28.42;14;39.32;4;"SWE";"39G6 8"
"159";25502;1;95;"39G6";25;55;27.5;14;28.1;3;"SWE";"39G6 8"
"160";25503;1;106;"39G7";25;55;9.358;16;3.988;5;"grey";"39G7 1"
"161";25505;1;257;"39G5";25;55;43.552;16;40.632;3;"SWE";"39G5 6"
"162";25506;1;109;"39G5";25;55;28.074;15;57.014;5;"DEN";"39G5 9"
"163";25507;1;135;"39G5";25;55;39.285;15;47.099;4;"SWE";"39G5 3"
"164";25508;1;262;"39G5";25;55;18.02;16;1.13;5;"DEN";"39G5 4"
"165";25512;1;144;"40G6";25;56;5.321;17;50.755;4;"SWE";"40G6 3"
"166";26001;1;132;"37G8";26;54;22.9;19;14.4;2;"POL";"37G8 7"
"167";26007;1;134;"37G9";26;54;51.5;18;34;2;"POL";"37G9 8"
"168";26014;1;138;"38G8";26;54;26.1;19;3.9;3;"POL";"38G8 7"
"169";26015;1;172;"38G8";26;54;26.9;19;17.1;4;"POL";"38G8 7"
"170";26019;1;126;"38G8";26;54;53.2;18;38;3;"POL";"38G8 8"
"171";26020;1;115;"38G8";26;54;47.2;18;42.3;3;"POL";"38G8 6"
"172";26023;1;140;"38G8";26;55;8.3;20;19.8;3;"RUS";"38G8 1"
"173";26025;1;164;"39H0";26;55;12.4;20;9.8;3;"RUS";"39H0 4"
"174";26026;1;175;"40H0";26;55;47;20;12.4;4;"LTU";"40H0 4"
"175";26027;1;184;"41H0";26;55;47.4;20;23.2;3;"LAT";"41H0 5"
"176";26028;1;168;"41G8";26;55;42.1;20;37.6;3;"LTU";"41G8 5"
"177";26030;1;162;"41G8";26;56;7.8;19;51;3;"LAT";"41G8 3"
"178";26032;1;90;"37G9";26;56;22;18;30.8;3;"SWE";"37G9 8"
"179";26045;1;173;"37G9";26;55;16.7;19;5;4;"POL";"37G9 4"
"180";26052;1;185;"39H0";26;55;30.4;20;36.6;4;"LTU";"39H0 2"
"181";26057;1;191;"40H0";26;55;43.1;19;58;4;"LTU";"40H0 6"
"182";26060;1;192;"40H0";26;55;59.2;19;19.3;4;"LTU";"40H0 7"
"183";26071;3;244;"41G8";26;56;13.7;19;30.3;6;"LAT";"41G8 5"
"184";26073;1;174;"37G8";26;56;15;19;39;4;"LAT";"37G8 5"
"185";26081;1;199;"37G9";26;56;27;20;12;5;"LAT";"37G9 7"
"186";26090;1;201;"38G8";26;54;42.3;19;2.2;5;"POL";"38G8 4"
"187";26096;1;202;"38G8";26;55;10.5;19;26.3;5;"RUS";"38G8 5"
"188";26105;1;267;"39G8";26;55;21;18;47;5;"POL";"39G8 9"
"189";26109;1;266;"39G8";26;55;22.2;19;29.8;5;"RUS";"39G8 8"
"190";26112;1;171;"39H0";26;55;35.2;19;22.4;5;"RUS";"39H0 2"
"191";26117;1;155;"39G9";26;55;34.8;19;44.2;5;"RUS";"39G9 3"
"192";26121;1;268;"39H0";26;55;47.9;19;1.4;5;"RUS";"39H0 4"
"193";26122;1;269;"40G8";26;56;0.1;19;17.9;5;"LTU";"40G8 1"
"194";26124;1;272;"40H0";26;56;17;18;32;5;"SWE";"40H0 5"
"195";26125;1;273;"40H0";26;56;24;18;38.3;5;"SWE";"40H0 8"
"196";26128;1;119;"40H0";26;55;20.8;20;39.1;2;"RUS";"40H0 8"
"197";26129;3;240;"40H0";26;54;59.7;19;18.6;6;"RUS";"40H0 7"
"198";26130;3;246;"40G8";26;54;48.1;19;21.9;6;"RUS";"40G8 5"
"199";26131;1;88;"40G8";26;54;24;19;2.4;2;"POL";"40G8 7"
"200";26133;1;163;"40H0";26;54;42.1;18;46.6;3;"POL";"40H0 6"
"201";26135;3;281;"40H0";26;54;56.4;19;24.2;6;"RUS";"40H0 8"
"202";26138;3;247;"40H0";26;55;52.8;18;49;6;"POL";"40H0 9"
"203";26140;3;239;"40H0";26;56;0.4;18;54.1;6;"SWE";"40H0 3"
"204";26141;3;230;"40G9";26;56;19;18;40;6;"LAT";"40G9 6"
"205";26142;3;242;"40H0";26;56;12;19;28;6;"LAT";"40H0 5"
"206";26144;3;225;"40H0";26;56;22;19;29;6;"LAT";"40H0 8"
"207";26145;3;282;"41G8";26;56;27.9;19;49.7;6;"LAT";"41G8 9"
"208";26150;1;93;"41G9";26;55;3.5;20;33.5;2;"RUS";"41G9 2"
"209";26152;1;159;"41G9";26;55;10.5;19;13.2;5;"RUS";"41G9 4"
"210";26153;1;198;"41G9";26;55;29.4;20;38.8;4;"LTU";"41G9 8"
"211";26158;1;197;"41H0";26;55;51.7;20;6.2;4;"LTU";"41H0 7"
"212";26160;1;206;"38G9";26;56;28.865;20;7.94;5;"LAT";"38G9 7"
"213";26165;1;158;"38G9";26;55;26;18;34;5;"POL";"38G9 8"
"214";26167;1;161;"38G9";26;54;59.1;18;30.3;4;"POL";"38G9 8"
"215";26169;1;133;"38G8";26;54;46.3;18;41.5;2;"POL";"38G8 6"
"216";26172;1;205;"38G9";26;55;31.8;18;10.7;5;"POL";"38G9 1"
"217";26183;1;264;"39G9";26;54;51;18;36.8;2;"POL";"39G9 8"
"218";26199;3;283;"39G9";26;56;22.8;19;42.4;6;"LAT";"39G9 9"
"219";26200;1;181;"39G9";26;55;28.4;20;3.4;4;"RUS";"39G9 7"
"220";26205;1;149;"39G8";26;55;45.5;20;22.2;3;"LTU";"39G8 5"
"221";26209;3;226;"39G8";26;56;18;19;31.5;6;"LAT";"39G8 5"
"222";26211;1;176;"39G8";26;54;30.6;19;21;4;"POL";"39G8 2"
"223";26216;1;147;"39G8";26;54;23.9;19;16.3;2;"POL";"39G8 7"
"224";26217;1;150;"39G9";26;54;24.7;19;17.5;3;"POL";"39G9 7"
"225";26221;3;284;"40G8";26;55;55.2;18;35.21;6;"SWE";"40G8 8"
"226";26224;1;91;"40G8";26;56;22.01;18;26.8;2;"SWE";"40G8 8"
"227";26225;1;177;"40G8";26;56;18.8;18;23.29;3;"SWE";"40G8 5"
"228";26256;1;186;"40G8";26;54;26.8;19;18.6;4;"POL";"40G8 7"
"229";26257;3;285;"39G9";26;54;55.5;19;3;6;"POL";"39G9 7"
"230";26258;1;265;"40G9";26;54;26.9;19;18;4;"POL";"40G9 7"
"231";26259;1;271;"40G9";26;56;22;19;52;5;"LAT";"40G9 9"
"232";26263;1;136;"40G9";26;54;23.7;18;59.5;2;"POL";"40G9 9"
"233";26264;1;165;"40G9";26;54;25.2;19;2.1;3;"POL";"40G9 7"
"234";26266;1;131;"40G8";26;54;48.2;18;32.9;2;"POL";"40G8 5"
"235";26269;1;270;"40G9";26;54;36.7;19;9.2;5;"LAT";"40G9 1"
"236";26270;1;193;"41G8";26;54;33.1;18;52.2;4;"POL";"41G8 3"
"237";26271;1;200;"42G8";26;54;59.8;18;30.7;4;"POL";"42G8 8"
"238";26274;1;143;"41H0";26;54;53.8;18;10.2;2;"POL";"41H0 7"
"239";26286;1;274;"41G9";26;55;37.6;18;32.2;5;"POL";"41G9 2"
"240";26291;3;222;"41G9";26;54;49.8;19;20.4;6;"RUS";"41G9 5"
"241";27003;1;208;"43G6";27;57;24.8;17;1.5;3;"SWE";"43G6 7"
"242";27009;1;189;"42G6";27;57;4;17;54;4;"SWE";"42G6 3"
"243";27010;1;194;"42G6";27;57;5.8;17;17.2;5;"SWE";"42G6 1"
"244";27012;1;153;"42G7";27;57;30;17;2;5;"SWE";"42G7 1"
"245";27017;1;275;"43G7";27;57;30;17;43;5;"SWE";"43G7 3"
"246";27020;1;188;"43G7";27;57;21.9;16;55.1;3;"SWE";"43G7 9"
"247";27022;1;195;"43G7";27;56;42.2;16;59.1;4;"SWE";"43G7 6"
"248";27025;1;196;"43G7";27;57;26.9;17;6.3;4;"SWE";"43G7 7"
"249";27028;1;178;"44G8";27;56;39.45;16;58.76;4;"SWE";"44G8 3"
"250";27030;1;151;"44G8";27;57;13.66;17;23.23;4;"SWE";"44G8 5"
"251";28007;1;167;"43H1";28;57;20.6;21;18.9;3;"LAT";"43H1 7"
"252";28009;3;223;"43H1";28;57;24.2;21;20.7;2;"LAT";"43H1 8"
"253";28021;1;180;"42H0";28;57;14.2;21;6.1;3;"LAT";"42H0 4"
"254";28023;1;169;"42H0";28;57;25.7;21;16.6;4;"LAT";"42H0 7"
"255";28029;1;166;"43G8";28;57;54.8;21;30.5;3;"EST";"43G8 8"
"256";28033;1;182;"43H0";28;56;35.4;20;22.5;4;"LAT";"43H0 2"
"257";28039;1;209;"43H1";28;57;1.9;20;32.2;5;"LAT";"43H1 2"
"258";28043;1;278;"43H1";28;57;11;20;43.2;4;"LAT";"43H1 6"
"259";28051;1;204;"44G9";28;57;21.2;19;9.2;4;"SWE";"44G9 7"
"260";28062;1;203;"42H0";28;56;31.1;20;13.8;5;"LAT";"42H0 1"
"261";28067;1;187;"42H0";28;57;6.5;18;57.1;5;"SWE";"42H0 3"
"262";28071;1;190;"43G8";28;57;10;19;1.4;5;"SWE";"43G8 4"
"263";28074;1;160;"43G8";28;57;10.5;20;35.2;5;"LAT";"43G8 5"
"264";28079;1;218;"43H0";28;56;30.8;18;40;6;"SWE";"43H0 3"
"265";28082;1;217;"43H0";28;56;34;20;0.5;6;"LAT";"43H0 1"
"266";28084;1;279;"43H0";28;56;36;20;20.3;5;"LAT";"43H0 2"
"267";28088;1;210;"43H0";28;57;26.7;20;34.2;6;"LAT";"43H0 8"
"268";28093;3;232;"43H1";28;57;29.3;21;26.2;2;"LAT";"43H1 8"
"269";28095;1;212;"43H1";28;56;42.3;18;55.8;6;"SWE";"43H1 6"
"270";28098;1;207;"43G9";28;57;20.2;19;8.1;5;"SWE";"43G9 7"
"271";28106;1;183;"44G9";28;58;4.74;19;26.22;4;"SWE";"44G9 2"
"272";28107;1;211;"44H1";28;57;3.5;18;52.2;5;"SWE";"44H1 3"
"273";28132;1;277;"45H1";28;57;13.8;21;9.4;3;"LAT";"45H1 4"
"274";28136;3;233;"45G9";28;57;1.86;21;5.66;2;"LAT";"45G9 1"
"275";28138;3;221;"45G9";28;57;4.05;21;7.77;2;"LAT";"45G9 1"
"276";28142;1;156;"42H0";28;57;19.17;20;54.99;4;"LAT";"42H0 6"
"277";28157;3;234;"43H0";28;56;39.38;20;45.92;2;"LAT";"43H0 3"
"278";28161;3;243;"43G9";28;56;38.1;20;43.9;2;"LAT";"43G9 3"
"279";28167;1;179;"43G9";28;56;37.7;20;34.9;3;"LAT";"43G9 2"
"280";28173;1;152;"43H0";28;56;38.85;20;36.28;3;"LAT";"43H0 2"
"281";28178;1;157;"44H0";28;57;31;21;6.3;4;"LAT";"44H0 1"
"282";28182;1;170;"42G8";28;57;46.71;19;28.85;5;"SWE";"42G8 5"
"283";28187;1;276;"43G9";28;57;39.84;19;7.77;3;"SWE";"43G9 1"
"284";28190;1;154;"42G9";28;57;58.9;20;58.43;5;"EST";"42G9 9"
"285";28194;1;216;"42H0";28;56;32.03;20;15.12;6;"LAT";"42H0 1"
