"NrHaul";"Type";"sekvens";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ";"Rec9"
"1";22002;1;30;"37G1";22;54;11.27;11;55.26;2;"GFR";"37G1 6"
"2";22004;1;6;"37G0";22;54;26.5;10;39.66;2;"GFR";"37G0 8"
"3";22006;1;1;"37G0";22;54;29.8;10;41.2;2;"GFR";"37G0 9"
"4";22012;1;33;"38G0";22;54;25.22;11;31.07;2;"GFR";"38G0 8"
"5";22016;1;29;"38G1";22;55;5.9;10;48.7;2;"DEN";"38G1 3"
"6";22017;1;16;"39G0";22;55;0.41;11;3.57;2;"DEN";"39G0 1"
"7";22019;1;18;"39G1";22;55;3.44;11;24.15;2;"DEN";"39G1 2"
"8";22020;1;20;"39G1";22;55;12.7;10;56.3;2;"DEN";"39G1 6"
"9";22021;1;17;"39G0";22;55;14.9;10;50.7;2;"DEN";"39G0 6"
"10";22022;1;19;"39G1";22;55;14.7;11;3.3;2;"DEN";"39G1 4"
"11";22024;1;15;"39F9";22;55;21.9;9;45.16;2;"DEN";"39F9 9"
"12";22027;1;21;"40G0";22;55;38.1;10;0.4;2;"DEN";"40G0 1"
"13";22035;1;23;"40G0";22;55;59;10;52.8;2;"DEN";"40G0 9"
"14";22062;1;2;"37G1";22;54;32.39;10;8.98;2;"GFR";"37G1 1"
"15";22077;1;11;"37G1";22;54;41.63;10;19.45;2;"DEN";"37G1 4"
"16";22078;1;32;"37G1";22;54;58.2;10;6.8;2;"DEN";"37G1 7"
"17";22085;1;10;"37G1";22;55;38.66;10;32.11;2;"DEN";"37G1 2"
"18";22086;1;34;"38G0";22;55;35.96;10;55.36;2;"DEN";"38G0 3"
"19";22092;1;31;"38G0";22;55;49.8;10;49.2;2;"DEN";"38G0 6"
"20";22116;1;25;"38G3";22;54;41.17;10;28.56;2;"DEN";"38G3 5"
"21";22117;1;27;"38G4";22;55;30.3;10;41.58;2;"DEN";"38G4 3"
"22";22120;1;28;"38G6";22;54;54.5;9;59.37;2;"DEN";"38G6 9"
"23";22121;1;12;"38G7";22;55;2.95;11;6.01;2;"DEN";"38G7 1"
"24";22122;1;13;"38G8";22;55;32.49;10;51.14;2;"DEN";"38G8 3"
