RectangleAlpha;NrHaul;Area;Layer;Dist;Mean_Depth;EEZ;NM12;Status;Remark;Lat_start_deg_dec;Lon_start_deg_dec;Lat_end_deg_dec;Lon_end_deg_dec;type;Country;Pct
37G0;22005;22;2;1,559254268;17;GFR;No;V;NA;54,404;10,7545;54,4241666666667;10,7263333333333;Mooved to new Layer;DE;100
37G0;22123;22;2;1,499857173;20;GFR;No;V;NA;54,4581666666667;10,5925;54,4503333333333;10,6333333333333;Allocated;DE;100
37G2;24001;24;2;1,616412896;17;GFR;No;V;NA;54,3841666666667;12,1938333333333;54,4058333333333;12,2213333333333;Allocated;DE;100
37G4;24335;24;2;1,636694046;14;GFR;No;V;NA;54,1916666666667;14,31;54,2133333333333;14,2816666666667;Allocated;DE;100
37G4;24022;24;2;3,354320046;31;POL;No;V;NA;54,4458333333333;14,955;54,4615;14,8628333333333;Allocated;DE;100
37G4;24057;24;2;1,862724366;39;POL;No;V;NA;54,5383333333333;14,9383333333333;54,5516666666667;14,9866666666667;Allocated;DE;100
37G4;24334;24;2;1,564763307;10;GFR;No;V;NA;54,3666666666667;14,3016666666667;54,39;14,3216666666667;Allocated;DE;100
37G4;24004;24;2;2,496303573;16;POL;No;V;NA;54,4833333333333;14,7533333333333;54,4435;14,774;Allocated;DE;100
37G5;25042;25;3;5,941040851;45;POL;No;V;NA;54,5333333333333;16;54,435;16,02;Allocated;DE;100
37G5;25008;25;2;1,747078365;28;POL;No;V;NA;54,3833333333333;15,5666666666667;54,3833333333333;15,6166666666667;Allocated;DE;100
37G5;25041;25;3;3,516911271;41;POL;No;V;NA;54,415;15,6833333333333;54,4483333333333;15,765;Allocated;DE;100
37G5;25006;25;2;1,805921899;32;POL;No;V;NA;54,4333333333333;15,1466666666667;54,4316666666667;15,1983333333333;Allocated;DE;100
37G5;25039;25;3;1,598303948;49;POL;No;V;NA;54,4583333333333;15,605;54,48;15,6316666666667;Allocated;DE;100
37G5;25009;25;2;1,866269153;30;POL;No;V;NA;54,3816666666667;15,7883333333333;54,3833333333333;15,735;Allocated;DE;100
37G6;25011;25;2;3,729605655;21;POL;No;V;NA;54,4116666666667;16,05;54,45;16,0283333333333;Allocated;DE;100
37G8;26219;26;2;0,659203536;26;POL;No;V;NA;54,3916666666667;18,975;54,3983333333333;18,96;Allocated;PL;100
