SD;Layer;Cpue
22;2;466,973766666667
24;2;4799,73143333333
24;3;20539,7075666667
24;4;1232,23226666667
25;4;55366,6117333333
25;3;39697,0720333333
25;5;16782,6164666667
23;2;12086,9777666667
26;3;4037,93893333333
26;4;8696,17886666667
28;4;1468,98
28;3;391,8
25;2;3608,9552
28;2;78,6666666666667
26;5;2622,67833333333
26;2;1090,36523333333
26;6;4
27;4;62,0166666666667
22;3;94
27;3;2
28;5;8
