NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;codstock;country
22044;37G1;22;54;7.13;11;10.01;2;GFR;54.12;11.17;21-24;GER
22045;37G1;22;54;17.28;11;18.11;2;GFR;54.29;11.30;21-24;GER
22047;37G1;22;54;18.13;11;25.49;2;GFR;54.30;11.42;21-24;GER
22053;37G1;22;54;18.48;11;41.42;2;GFR;54.31;11.69;21-24;GER
22055;37G0;22;54;22.4;10;40.17;2;GFR;54.37;10.67;21-24;GER
22058;37G1;22;54;27.17;11;25.18;2;GFR;54.45;11.42;21-24;DEN
22060;37G1;22;54;22.5;11;47.24;2;DEN;54.38;11.79;21-24;GER
22062;38G0;22;54;32.39;10;8.98;2;GFR;54.54;10.15;21-24;GER
22065;38G0;22;54;36.4;10;38.58;2;DEN;54.61;10.64;21-24;DEN
22072;38G1;22;54;33.53;11;21.74;2;DEN;54.56;11.36;21-24;DEN
22081;39F9;22;55;6.3;9;59.28;2;DEN;55.11;9.99;21-24;DEN
22084;39G1;22;55;11.9;11;4.6;2;DEN;55.20;11.08;21-24;DEN
22089;40G0;22;55;41.7;10;13.2;2;DEN;55.70;10.22;21-24;DEN
22090;40G0;22;55;42.3;10;27.8;2;DEN;55.71;10.46;21-24;DEN
22092;40G0;22;55;49.8;10;49.2;2;DEN;55.83;10.82;21-24;DEN
22094;41G0;22;56;2.6;10;55.6;2;DEN;56.04;10.93;21-24;DEN
22100;40G0;22;55;42.9;10;47.2;3;DEN;55.72;10.79;21-24;DEN
22103;39G1;22;55;4.62;11;16.37;2;DEN;55.08;11.27;21-24;DEN
22104;40G0;22;55;34.45;10;36.67;2;DEN;55.57;10.61;21-24;DEN
22111;38G0;22;54;54.83;10;3.2;2;DEN;54.91;10.05;21-24;DEN
22117;40G0;22;55;30.3;10;41.58;2;DEN;55.51;10.69;21-24;DEN
22121;38G1;22;54;59.42;11;6.97;2;DEN;54.99;11.12;21-24;DEN
22122;39G0;22;55;28.23;10;44.04;2;DEN;55.47;10.73;21-24;DEN
22123;37G0;22;54;27.49;10;35.55;2;GFR;54.46;10.59;21-24;GER
22128;38F9;22;54;57.66;9;47.5;2;DEN;54.96;9.79;21-24;DEN
22129;38G0;22;54;54.21;10;57.57;2;DEN;54.90;10.96;21-24;DEN
22130;39G0;22;55;19.93;10;53.86;2;DEN;55.33;10.90;21-24;DEN
22134;38G0;22;54;33.126;10;46.27;2;GFR;54.55;10.77;21-24;DEN
22135;38G1;22;54;37.4;11;5;2;GFR;54.62;11.08;21-24;DEN
22138;38G0;22;54;46.8;10;25.3;2;DEN;54.78;10.42;21-24;DEN
24001;37G2;24;54;23.05;12;11.63;2;GFR;54.38;12.19;21-24;GER
24002;37G2;24;54;26.48;12;20.88;2;GFR;54.44;12.35;21-24;GER
24016;38G2;24;54;41.28;12;58.35;2;GFR;54.69;12.97;21-24;GER
24017;38G2;24;54;52.97;12;36.41;2;DEN;54.88;12.61;21-24;GER
24022;37G4;24;54;26.75;14;57.3;2;POL;54.45;14.96;21-24;POL
24031;38G3;24;54;39.11;13;50.17;2;GFR;54.65;13.84;21-24;GER
24046;38G4;24;54;40.2;14;30.7;2;DEN;54.67;14.51;21-24;GER
24047;38G4;24;54;35.4;14;27.96;2;GFR;54.59;14.47;21-24;GER
24055;38G4;24;54;34.16;14;43.13;2;grey;54.57;14.72;21-24;DEN
24059;38G2;24;54;46.77;12;21.78;2;DEN;54.78;12.36;21-24;GER
24063;38G3;24;54;42.6;13;9;2;GFR;54.71;13.15;21-24;GER
24089;38G2;24;54;54.1254;12;54;3;DEN;54.90;12.90;21-24;GER
24094;39G2;24;55;5;12;47;2;DEN;55.08;12.78;21-24;GER
24142;39G4;24;55;16.4;14;5;2;SWE;55.27;14.08;21-24;GER
24153;38G3;24;54;45.22;13;31.23;3;GFR;54.75;13.52;21-24;GER
24173;38G3;24;54;52.58;13;13.14;3;GFR;54.88;13.22;21-24;GER
24192;38G3;24;54;51.9;13;50.1;3;GFR;54.87;13.84;21-24;GER
24205;38G4;24;54;53.93;14;5.8;3;DEN;54.90;14.10;21-24;GER
24211;39G3;24;55;3.89;13;16.5;3;SWE;55.06;13.28;21-24;GER
24212;38G3;24;55;0.11;13;23.42;3;GFR;55.00;13.39;21-24;GER
24267;39G3;24;55;15.4;13;59.9;2;SWE;55.26;14.00;21-24;GER
24280;38G2;24;54;41.32;12;11.83;2;DEN;54.69;12.20;21-24;GER
24286;38G4;24;54;41.56;14;39.445;3;DEN;54.69;14.66;21-24;GER
24300;38G4;24;54;51.74;14;47.68;2;DEN;54.86;14.79;21-24;GER
24301;39G3;24;55;3.36;13;38.36;2;SWE;55.06;13.64;21-24;GER
24309;38G3;24;54;52.3756;13;34.2694;3;GFR;54.87;13.57;21-24;GER
24311;38G4;24;55;0.88;14;16.4;3;DEN;55.01;14.27;21-24;GER
24317;39G4;24;55;9.471;14;16.2058;3;DEN;55.16;14.27;21-24;GER
24325;38G2;24;54;36.4;12;36.15;2;GFR;54.61;12.60;21-24;GER
24328;38G2;24;54;38.39;12;41.08;2;GFR;54.64;12.68;21-24;GER
24334;37G4;24;54;22;14;18.1;2;GFR;54.37;14.30;21-24;GER
24335;37G4;24;54;11.5;14;18.6;2;GFR;54.19;14.31;21-24;GER
25004;38G6;25;54;52.7;16;38.6;2;POL;54.88;16.64;25-32;POL
25006;37G5;25;54;26;15;8.8;2;POL;54.43;15.15;25-32;POL
25008;37G5;25;54;23;15;34;2;POL;54.38;15.57;25-32;POL
25009;37G5;25;54;22.9;15;47.3;2;POL;54.38;15.79;25-32;POL
25010;37G6;25;54;26.8;16;5.3;2;POL;54.45;16.09;25-32;POL
25011;37G6;25;54;24.7;16;3;2;POL;54.41;16.05;25-32;POL
25013;38G6;25;54;39;16;23.6;2;POL;54.65;16.39;25-32;POL
25014;38G6;25;54;41.6;16;38.7;2;POL;54.69;16.65;25-32;POL
25016;38G6;25;54;44.6;16;49;2;POL;54.74;16.82;25-32;POL
25017;38G6;25;54;44.2;16;52.3;2;POL;54.74;16.87;25-32;POL
25022;38G7;25;54;57.4;17;25;2;POL;54.96;17.42;25-32;POL
25024;38G7;25;54;51;17;28;2;POL;54.85;17.47;25-32;POL
25030;39G7;25;55;29.3;17;27.8;3;POL;55.49;17.46;25-32;POL
25038;41G7;25;56;9;17;45;3;SWE;56.15;17.75;25-32;DEN
25039;37G5;25;54;27.5;15;36.3;3;POL;54.46;15.61;25-32;POL
25042;38G5;25;54;32;16;0;3;POL;54.53;16.00;25-32;POL
25046;38G5;25;54;33.4;15;26.4;3;POL;54.56;15.44;25-32;POL
25048;38G5;25;54;34.1;15;40.1;4;POL;54.57;15.67;25-32;POL
25051;38G5;25;54;38.7;15;54.8;3;POL;54.65;15.91;25-32;POL
25052;38G6;25;54;38.4;16;4.5;3;POL;54.64;16.08;25-32;POL
25056;38G5;25;54;44.7;15;57;3;POL;54.75;15.95;25-32;POL
25060;38G5;25;54;50.3;16;3.1;3;POL;54.84;16.05;25-32;POL
25061;38G6;25;54;49.5;16;2.1;3;POL;54.83;16.04;25-32;POL
25062;38G6;25;54;56.3;16;14.6;3;POL;54.94;16.24;25-32;POL
25066;39G6;25;55;0;16;17;3;POL;55.00;16.28;25-32;POL
25067;39G6;25;55;2.6;16;24;3;POL;55.04;16.40;25-32;POL
25080;39G6;25;55;24.3;16;44.9;3;POL;55.41;16.75;25-32;POL
25089;39G7;25;55;23.4;17;45;4;POL;55.39;17.75;25-32;POL
25100;40G5;25;55;38.2;15;6.2;5;DEN;55.64;15.10;25-32;DEN
25134;40G6;25;55;47.3;16;42;3;SWE;55.79;16.70;25-32;DEN
25136;40G7;25;55;46.6;17;42;3;SWE;55.78;17.70;25-32;DEN
25145;40G6;25;55;50.1;16;12.3;3;SWE;55.84;16.21;25-32;DEN
25177;38G5;25;54;46.3;15;17.3;4;grey;54.77;15.29;25-32;DEN
25192;38G5;25;54;50;15;36;5;grey;54.83;15.60;25-32;DEN
25193;38G5;25;54;51;15;41.4;4;grey;54.85;15.69;25-32;DEN
25205;39G5;25;55;5.6;15;33.1;4;grey;55.09;15.55;25-32;DEN
25219;39G5;25;55;19.3;15;2.4;4;DEN;55.32;15.04;25-32;DEN
25229;39G6;25;55;16.7;16;52.3;4;POL;55.28;16.87;25-32;POL
25231;39G7;25;55;19.3;17;17.4;4;POL;55.32;17.29;25-32;POL
25235;39G4;25;55;29.1;14;46.3;4;DEN;55.49;14.77;25-32;DEN
25241;39G5;25;55;20.9;15;22.3;4;DEN;55.35;15.37;25-32;DEN
25250;39G7;25;55;24;17;30.3;4;POL;55.40;17.51;25-32;POL
25274;40G5;25;55;32.39;15;33.49;4;DEN;55.54;15.56;25-32;DEN
25283;40G6;25;55;35.3;16;11.5;4;SWE;55.59;16.19;25-32;DEN
25290;40G7;25;55;30;17;53.8;4;POL;55.50;17.90;25-32;DEN
25292;40G4;25;55;41.6;14;50.5;3;SWE;55.69;14.84;25-32;SWE
25299;40G5;25;55;47;15;56;4;SWE;55.78;15.93;25-32;DEN
25302;40G6;25;55;42.4;16;10.8;4;SWE;55.71;16.18;25-32;DEN
25308;40G7;25;55;44.1;17;55.7;4;POL;55.74;17.93;25-32;DEN
25322;39G5;25;55;3.1;15;42.6;5;grey;55.05;15.71;25-32;DEN
25326;39G6;25;55;8.1;16;3.6;5;grey;55.14;16.06;25-32;DEN
25330;39G5;25;55;15.7;15;58.7;3;DEN;55.26;15.98;25-32;DEN
25331;39G6;25;55;16.1;16;3.9;5;DEN;55.27;16.07;25-32;DEN
25339;39G7;25;55;15.5;17;25.5;5;POL;55.26;17.43;25-32;POL
25342;39G5;25;55;26.7;15;32.5;5;DEN;55.45;15.54;25-32;DEN
25344;39G5;25;55;27.4;15;56.2;5;DEN;55.46;15.94;25-32;DEN
25359;40G6;25;55;48.5;16;31.9;3;SWE;55.81;16.53;25-32;DEN
25364;38G7;25;54;59.8;17;28;2;POL;55.00;17.47;25-32;POL
25380;40G7;25;55;38.5;17;37.8;3;POL;55.64;17.63;25-32;DEN
25389;40G6;25;55;35.41;16;39.65;3;SWE;55.59;16.66;25-32;DEN
25394;38G5;25;54;39.4;15;9.08;4;grey;54.66;15.15;25-32;DEN
