;X;NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;codstock;country
1;1;22044;37G1;22;54;7.13;11;10.01;2;GFR;54.11883333;11.16683333;21-24;GFR (SD 21-24)
2;2;22045;37G1;22;54;17.28;11;18.11;2;GFR;54.288;11.30183333;21-24;GFR (SD 21-24)
3;3;22047;37G1;22;54;18.13;11;25.49;2;GFR;54.30216667;11.42483333;21-24;GFR (SD 21-24)
4;4;22053;37G1;22;54;18.48;11;41.42;2;GFR;54.308;11.69033333;21-24;GFR (SD 21-24)
5;5;22055;37G0;22;54;22.4;10;40.17;2;GFR;54.37333333;10.6695;21-24;GFR (SD 21-24)
6;6;22058;37G1;22;54;27.17;11;25.18;2;GFR;54.45283333;11.41966667;21-24;GFR (SD 21-24)
7;7;22060;37G1;22;54;22.5;11;47.24;2;DEN;54.375;11.78733333;21-24;GFR (SD 21-24)
8;8;22062;38G0;22;54;32.39;10;8.98;2;GFR;54.53983333;10.14966667;21-24;GFR (SD 21-24)
9;9;22065;38G0;22;54;36.4;10;38.58;2;DEN;54.60666667;10.643;21-24;DEN (SD 21-24)
10;10;22072;38G1;22;54;33.53;11;21.74;2;DEN;54.55883333;11.36233333;21-24;DEN (SD 21-24)
11;11;22081;39F9;22;55;6.3;9;59.28;2;DEN;55.105;9.988;21-24;DEN (SD 21-24)
12;12;22084;39G1;22;55;11.9;11;4.6;2;DEN;55.19833333;11.07666667;21-24;DEN (SD 21-24)
13;13;22089;40G0;22;55;41.7;10;13.2;2;DEN;55.695;10.22;21-24;DEN (SD 21-24)
14;14;22090;40G0;22;55;42.3;10;27.8;2;DEN;55.705;10.46333333;21-24;DEN (SD 21-24)
15;15;22092;40G0;22;55;49.8;10;49.2;2;DEN;55.83;10.82;21-24;DEN (SD 21-24)
16;16;22094;41G0;22;56;2.6;10;55.6;2;DEN;56.04333333;10.92666667;21-24;DEN (SD 21-24)
17;17;22100;40G0;22;55;42.9;10;47.2;3;DEN;55.715;10.78666667;21-24;DEN (SD 21-24)
18;18;22103;39G1;22;55;4.62;11;16.37;2;DEN;55.077;11.27283333;21-24;DEN (SD 21-24)
19;19;22104;40G0;22;55;34.45;10;36.67;2;DEN;55.57416667;10.61116667;21-24;DEN (SD 21-24)
20;20;22111;38G0;22;54;54.83;10;3.2;2;DEN;54.91383333;10.05333333;21-24;DEN (SD 21-24)
21;21;22117;40G0;22;55;30.3;10;41.58;2;DEN;55.505;10.693;21-24;DEN (SD 21-24)
22;22;22121;38G1;22;54;59.42;11;6.97;2;DEN;54.99033333;11.11616667;21-24;DEN (SD 21-24)
23;23;22122;39G0;22;55;28.23;10;44.04;2;DEN;55.4705;10.734;21-24;DEN (SD 21-24)
24;24;22123;37G0;22;54;27.49;10;35.55;2;GFR;54.45816667;10.5925;21-24;GFR (SD 21-24)
25;25;22128;38F9;22;54;57.66;9;47.5;2;DEN;54.961;9.791666667;21-24;DEN (SD 21-24)
26;26;22129;38G0;22;54;54.21;10;57.57;2;DEN;54.9035;10.9595;21-24;DEN (SD 21-24)
27;27;22130;39G0;22;55;19.93;10;53.86;2;DEN;55.33216667;10.89766667;21-24;DEN (SD 21-24)
28;28;22134;38G0;22;54;33.126;10;46.27;2;GFR;54.5521;10.77116667;21-24;GFR (SD 21-24)
29;29;22135;38G1;22;54;37.4;11;5;2;GFR;54.62333333;11.08333333;21-24;GFR (SD 21-24)
30;30;22138;38G0;22;54;46.8;10;25.3;2;DEN;54.78;10.42166667;21-24;DEN (SD 21-24)
31;31;24001;37G2;24;54;23.05;12;11.63;2;GFR;54.38416667;12.19383333;21-24;GFR (SD 21-24)
32;32;24002;37G2;24;54;26.48;12;20.88;2;GFR;54.44133333;12.348;21-24;GFR (SD 21-24)
33;33;24016;38G2;24;54;41.28;12;58.35;2;GFR;54.688;12.9725;21-24;GFR (SD 21-24)
34;34;24017;38G2;24;54;52.97;12;36.41;2;DEN;54.88283333;12.60683333;21-24;GFR (SD 21-24)
35;35;24022;37G4;24;54;26.75;14;57.3;2;POL;54.44583333;14.955;21-24;POL (SD 21-24)
36;36;24031;38G3;24;54;39.11;13;50.17;2;GFR;54.65183333;13.83616667;21-24;GFR (SD 21-24)
