"NrHaul";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ";"Latitude1_deg_dec";"Longitude1_deg_dec";"codstock";"country"
"1";22002;"37G1";22;54;11.27;11;55.26;2;"GFR";54.1878333333333;11.921;"21-24";"GFR (SD 21-24)"
"2";22004;"37G0";22;54;26.5;10;39.66;2;"GFR";54.4416666666667;10.661;"21-24";"GFR (SD 21-24)"
"3";22006;"37G0";22;54;29.8;10;41.2;2;"GFR";54.4966666666667;10.6866666666667;"21-24";"GFR (SD 21-24)"
"4";22012;"38G0";22;54;25.22;11;31.07;2;"GFR";54.4203333333333;11.5178333333333;"21-24";"GFR (SD 21-24)"
"5";22016;"38G1";22;55;5.9;10;48.7;2;"DEN";55.0983333333333;10.8116666666667;"21-24";"DEN (SD 21-24)"
"6";22017;"39G0";22;55;0.41;11;3.57;2;"DEN";55.0068333333333;11.0595;"21-24";"DEN (SD 21-24)"
"7";22019;"39G1";22;55;3.44;11;24.15;2;"DEN";55.0573333333333;11.4025;"21-24";"DEN (SD 21-24)"
"8";22020;"39G1";22;55;12.7;10;56.3;2;"DEN";55.2116666666667;10.9383333333333;"21-24";"DEN (SD 21-24)"
"9";22021;"39G0";22;55;14.9;10;50.7;2;"DEN";55.2483333333333;10.845;"21-24";"DEN (SD 21-24)"
"10";22022;"39G1";22;55;14.7;11;3.3;2;"DEN";55.245;11.055;"21-24";"DEN (SD 21-24)"
"11";22024;"39F9";22;55;21.9;9;45.16;2;"DEN";55.365;9.75266666666667;"21-24";"DEN (SD 21-24)"
"12";22027;"40G0";22;55;38.1;10;0.4;2;"DEN";55.635;10.0066666666667;"21-24";"DEN (SD 21-24)"
"13";22035;"40G0";22;55;59;10;52.8;2;"DEN";55.9833333333333;10.88;"21-24";"DEN (SD 21-24)"
"14";22062;"37G1";22;54;32.39;10;8.98;2;"GFR";54.5398333333333;10.1496666666667;"21-24";"GFR (SD 21-24)"
"15";22077;"37G1";22;54;41.63;10;19.45;2;"DEN";54.6938333333333;10.3241666666667;"21-24";"GFR (SD 21-24)"
"16";22078;"37G1";22;54;58.2;10;6.8;2;"DEN";54.97;10.1133333333333;"21-24";"GFR (SD 21-24)"
"17";22085;"37G1";22;55;38.66;10;32.11;2;"DEN";55.6443333333333;10.5351666666667;"21-24";"GFR (SD 21-24)"
"18";22086;"38G0";22;55;35.96;10;55.36;2;"DEN";55.5993333333333;10.9226666666667;"21-24";"DEN (SD 21-24)"
"19";22092;"38G0";22;55;49.8;10;49.2;2;"DEN";55.83;10.82;"21-24";"DEN (SD 21-24)"
"20";22116;"38G3";22;54;41.17;10;28.56;2;"DEN";54.6861666666667;10.476;"21-24";"DEN (SD 21-24)"
"21";22117;"38G4";22;55;30.3;10;41.58;2;"DEN";55.505;10.693;"21-24";"DEN (SD 21-24)"
"22";22120;"38G6";22;54;54.5;9;59.37;2;"DEN";54.9083333333333;9.9895;"21-24";"DEN (SD 21-24)"
"23";22121;"38G7";22;55;2.95;11;6.01;2;"DEN";55.0491666666667;11.1001666666667;"21-24";"DEN (SD 21-24)"
"24";22122;"38G8";22;55;32.49;10;51.14;2;"DEN";55.5415;10.8523333333333;"21-24";"DEN (SD 21-24)"
"25";22123;"38G9";22;54;27.49;10;35.55;2;"GFR";54.4581666666667;10.5925;"21-24";"GFR (SD 21-24)"
"26";22124;"38G10";22;54;48.88;10;17.53;2;"DEN";54.8146666666667;10.2921666666667;"21-24";"DEN (SD 21-24)"
"27";22126;"38G12";22;55;40;10;38.91;2;"DEN";55.6666666666667;10.6485;"21-24";"DEN (SD 21-24)"
"28";22128;"38G14";22;54;48.83;10;9.5;2;"DEN";54.8138333333333;10.1583333333333;"21-24";"DEN (SD 21-24)"
"29";22130;"38G16";22;55;19.93;10;53.86;2;"DEN";55.3321666666667;10.8976666666667;"21-24";"DEN (SD 21-24)"
"30";22131;"38G17";22;54;37.7;10;38.92;2;"DEN";54.6283333333333;10.6486666666667;"21-24";"DEN (SD 21-24)"
"31";22135;"38G20";22;54;37.4;11;5;2;"GFR";54.6233333333333;11.0833333333333;"21-24";"GFR (SD 21-24)"
