SD;Layer;Cpue
22;2;604,210366666667
25;3;52018,6884333333
25;4;27803,7378333333
24;3;22082,2519333333
24;4;1891,30186666667
24;2;6458,6505
25;5;5958
26;4;5930,5716
25;2;11313,93
23;2;1007,74803333333
26;2;2678,83333333333
28;2;260
26;3;2653,53333333333
28;4;741,426666666667
28;3;425,9
26;5;613,333333333333
27;3;9,33333333333333
26;6;4
28;5;61,2
27;4;253,34
