SD;Layer;AreaSection;Quarter;DepthInterval;NHauls;comment;allocated;miss;mooved_to_layer;n_mooved;miss_after_move;mooved_to_area;n_mooved_area;miss_after_move_area
22;2;2224;4; 10 - 39;37;OK;37;0;NA;NA;0;NA;NA;0
23;2;2224;4; 10 - 39;5;OK;5;0;NA;NA;0;NA;NA;0
24;2;2224;4; 10 - 39;23;OK;23;0;NA;NA;0;NA;NA;0
24;3;2224;4; 40 - 59;20;OK;20;0;NA;NA;0;NA;NA;0
24;4;2224;4; 60 - 79;1;Not enough stations in strata;0;1;3 from layer 4;1;0;NA;NA;0
25;2;2528;4; 20 - 39;29;Not enough stations in strata;13;16;3 from layer 2;1;15;26 from area 25;0;15
25;3;2528;4; 40 - 59;42;OK;42;0;NA;NA;0;NA;NA;0
25;4;2528;4; 60 - 79;30;OK;30;0;NA;NA;0;NA;NA;0
25;5;2528;4; 80 - 99;10;OK;10;0;NA;NA;0;NA;NA;0
26;2;2528;4; 20 - 39;9;Not enough stations in strata;8;1;4 from layer 2;1;0;NA;NA;0
26;3;2528;4; 40 - 59;9;Not enough stations in strata;8;1;4 from layer 3;1;0;NA;NA;0
26;4;2528;4; 60 - 79;12;OK;12;0;NA;NA;0;NA;NA;0
26;5;2528;4; 80 - 99;8;OK;8;0;NA;NA;0;NA;NA;0
26;6;2528;4;100 - 119;4;OK;4;0;NA;NA;0;NA;NA;0
27;3;2528;4; 40 - 59;2;OK;2;0;NA;NA;0;NA;NA;0
27;4;2528;4; 60 - 79;5;OK;5;0;NA;NA;0;NA;NA;0
28;2;2528;4; 10 - 39;9;Not enough stations in strata;4;5;3 from layer 2;5;0;NA;NA;0
28;3;2528;4; 40 - 59;7;OK;7;0;NA;NA;0;NA;NA;0
28;4;2528;4; 60 - 79;9;OK;9;0;NA;NA;0;NA;NA;0
28;5;2528;4; 80 - 99;4;OK;4;0;NA;NA;0;NA;NA;0
