RectangleAlpha;NrHaul;Area;Layer;Dist;Mean_Depth;EEZ;NM12;Status;Source;Remark;Lat_start_deg_dec;Lon_start_deg_dec;Lat_end_deg_dec;Lon_end_deg_dec;type;Country;Pct;nation
37G0;22123;22;2;1,499857173;20;GFR;No;V;NA;NA;54,4581666666667;10,5925;54,4503333333333;10,6333333333333;Allocated;DE;100;DE
37G0;22005;22;2;1,559254268;17;GFR;No;V;NA;NA;54,404;10,7545;54,4241666666667;10,7263333333333;Allocated;DE;100;DE
37G2;24002;24;2;1,846594079;18;GFR;No;V;NA;NA;54,4413333333333;12,348;54,4141666666667;12,3233333333333;Allocated;DE;100;DE
37G2;24001;24;2;1,616412896;17;GFR;No;V;NA;NA;54,3841666666667;12,1938333333333;54,4058333333333;12,2213333333333;Allocated;DE;100;DE
37G4;24022;24;2;3,354320046;31;POL;No;V;NA;NA;54,4458333333333;14,955;54,4615;14,8628333333333;Allocated;DE;100;DE
37G4;24335;24;2;1,636694046;14;GFR;No;V;NA;NA;54,1916666666667;14,31;54,2133333333333;14,2816666666667;Allocated;DE;100;DE
37G4;24004;24;2;2,496303573;16;POL;No;V;NA;NA;54,4833333333333;14,7533333333333;54,4435;14,774;Allocated;DE;100;DE
37G5;25009;25;2;1,866269153;30;POL;No;V;NA;NA;54,3816666666667;15,7883333333333;54,3833333333333;15,735;Allocated;PL;100;PL
37G5;25042;25;3;5,941040851;45;POL;No;V;NA;NA;54,5333333333333;16;54,435;16,02;Allocated;PL;100;PL
37G5;25008;25;2;1,747078365;28;POL;No;V;NA;NA;54,3833333333333;15,5666666666667;54,3833333333333;15,6166666666667;Allocated;PL;100;PL
37G5;25040;25;3;1,75331743;49;POL;No;V;NA;NA;54,465;15,78;54,485;15,8166666666667;Allocated;PL;100;PL
37G5;25039;25;3;1,598303948;49;POL;No;V;NA;NA;54,4583333333333;15,605;54,48;15,6316666666667;Allocated;PL;100;PL
37G5;25006;25;2;1,805921899;32;POL;No;V;NA;NA;54,4333333333333;15,1466666666667;54,4316666666667;15,1983333333333;Allocated;DE;100;DE
37G6;25010;25;2;1,914171772;26;POL;No;V;NA;NA;54,4466666666667;16,0883333333333;54,4783333333333;16,095;Allocated;PL;100;PL
37G8;26219;26;2;0,659203536;26;POL;No;V;NA;NA;54,3916666666667;18,975;54,3983333333333;18,96;Allocated;PL;100;PL
37G9;26210;26;4;1,805042924;63;POL;No;V;NA;NA;54,4516666666667;19,1716666666667;54,4533333333333;19,12;Allocated;PL;100;PL
37G9;26256;26;4;1,459629846;63;POL;No;V;NA;NA;54,4466666666667;19,31;54,46;19,345;Mooved to new Layer;PL;100;PL
37G9;26217;26;3;1,353415389;43;POL;No;V;NA;NA;54,4116666666667;19,2916666666667;54,4083333333333;19,2533333333333;Allocated;PL;100;PL
37G9;26216;26;2;0,533400271;33;POL;No;V;NA;NA;54,3983333333333;19,2716666666667;54,3966666666667;19,2566666666667;Allocated;PL;100;PL
37G9;26265;26;3;1,525396193;54;POL;No;V;NA;NA;54,4333333333333;19,1;54,4366666666667;19,1433333333333;Allocated;PL;100;PL
38G6;25062;25;3;1,632780127;48;POL;No;V;NA;NA;54,9383333333333;16,2433333333333;54,92;16,2083333333333;Allocated;PL;100;PL
38G6;25014;25;2;1,499341638;27;POL;No;V;NA;NA;54,6933333333333;16,645;54,6866666666667;16,6033333333333;Allocated;PL;100;PL
38G6;25052;25;3;1,566096168;47;POL;No;V;NA;NA;54,64;16,075;54,65;16,1166666666667;Allocated;PL;100;PL
38G6;25016;25;2;1,389009345;30;POL;No;V;NA;NA;54,7433333333333;16,8166666666667;54,7416666666667;16,7766666666667;Allocated;PL;100;PL
38G6;25013;25;2;1,251378162;33;POL;No;V;NA;NA;54,65;16,3933333333333;54,6333333333333;16,3716666666667;Allocated;PL;100;PL
38G6;25538;25;2;1.58;25.5;POL;No;V;2001 DANA trawl computer;NA;54,83385;16,50875;54,8396;16,5532;Allocated;PL;100;PL
38G7;25022;25;2;4,654594062;28;POL;No;V;NA;NA;54,9566666666667;17,4166666666667;54,9733333333333;17,5366666666667;Allocated;PL;100;PL
38G7;25024;25;2;2,114456006;24;POL;No;V;NA;NA;54,85;17,4666666666667;54,8565;17,5268333333333;Allocated;PL;100;PL
38G8;26019;26;3;1,873049426;46;POL;No;V;NA;NA;54,8866666666667;18,6333333333333;54,865;18,6716666666667;Allocated;PL;100;PL
38G8;26279;26;4;1,569491317;67;POL;No;V;NA;NA;54,5466666666667;18,9433333333333;54,5366666666667;18,9016666666667;Allocated;PL;100;PL
38G8;26183;26;2;1,512645819;30;POL;No;V;NA;NA;54,85;18,6133333333333;54,87;18,5866666666667;Allocated;PL;100;PL
38G8;26086;26;5;2,295735204;99;POL;No;V;NA;NA;54,975;18,8;54,975;18,8666666666667;Allocated;PL;100;PL
38G8;26169;26;2;1,56168802;32;POL;No;V;NA;NA;54,7716666666667;18,6916666666667;54,795;18,6716666666667;Allocated;PL;100;PL
38G8;26266;26;2;1,525886473;20;POL;No;V;NA;NA;54,8033333333333;18,5483333333333;54,82;18,515;Allocated;PL;100;PL
38G8;26274;26;2;1,441076169;24;POL;No;V;NA;NA;54,8966666666667;18,17;54,8983333333333;18,2116666666667;Allocated;PL;100;PL
38G9;26269;26;5;2,919540728;88;POL;No;V;NA;NA;54,6116666666667;19,1533333333333;54,64;19,2216666666667;assigned manually;PL;100;PL
38G9;26257;26;6;1,838874272;102;POL;No;V;NA;NA;54,925;19,05;54,925;19,1033333333333;assigned manually;PL;100;PL
38G9;26287;26;5;1,377321118;81;POL;No;V;NA;NA;54,6116666666667;19,035;54,5966666666667;19,005;Allocated;PL;100;PL
39F9;22024;22;2;2,306584935;18;DEN;No;V;NA;NA;55,365;9,75266666666667;55,4016666666667;9,73233333333333;assigned manually;Havf;100;Havf
39F9;22081;22;2;2,400982588;28;DEN;No;V;NA;NA;55,105;9,988;55,065;9,986;Allocated;Havf;100;Havf
39F9;22152;22;2;NA;20;DEN;NA;V;NA;NA;55,1616666666667;9,625;55,1566666666667;9,58;Allocated;DE;100;DE
39F9;22151;22;2;NA;33;DEN;NA;V;NA;NA;55,0583333333333;9,55666666666667;55,045;9,52833333333333;Allocated;DE;100;DE
39G0;22130;22;2;2,495740794;22;DEN;No;V;NA;NA;55,3321666666667;10,8976666666667;55,2976666666667;10,9385;Allocated;Havf;100;Havf
39G0;22021;22;2;2,038348876;20;DEN;No;V;NA;NA;55,2483333333333;10,845;55,215;10,835;Allocated;Havf;100;Havf
39G0;22026;22;2;2,278922677;18;DEN;No;V;NA;NA;55,4233333333333;10,7666666666667;55,42;10,8333333333333;Allocated;Havf;100;Havf
39G1;22022;22;2;2,499074413;19;DEN;No;V;NA;NA;55,245;11,055;55,2166666666667;11,01;Allocated;Havf;100;Havf
39G1;22019;22;2;2.4980946039999998;17;DEN;No;V;NA;NA;55,0573333333333;11,4025;55,0468333333333;11,3321666666667;Allocated;Havf;100;Havf
39G1;22084;22;2;1,941279148;33;DEN;No;V;NA;NA;55,1983333333333;11,0766666666667;NA;NA;Allocated;Havf;100;Havf
39G1;22082;22;2;2,497195923;37;DEN;No;V;NA;NA;55,106;11,325;NA;NA;Allocated;Havf;100;Havf
39G5;25221;25;4;2,498618664;63;DEN;No;V;NA;NA;55,2283333333333;15,18;55,2043333333333;15,2033333333333;Allocated;Dana;100;Dana
39G5;25546;25;5;2.1219999999999999;95.2;DNK;No;V;2008 DANA trawl computer;NA;55,297366;15,743316;55,322716;15,700266;Allocated;Dana;100;Dana
39G5;25341;25;5;1,574854238;81;DEN;No;V;NA;NA;55,349;15,3711666666667;55,3251666666667;15,3518333333333;assigned manually;Dana;100;Dana
39G5;25344;25;5;2,360013852;85;DEN;No;V;NA;NA;55,4566666666667;15,9366666666667;55,4916666666667;15,9683333333333;Allocated;SE;100;SE
39G5;25321;25;4;2,498072981;78;DEN;No;V;NA;NA;55,09;15,6;55,0823333333333;15,6715;Allocated;Dana;100;Dana
39G5;25529;25;5;3.4159999999999999;98;DNK;No;V;1996 DANA trawl computer;NA;55,215;15,608333;55,168333;15,551666;Allocated;Dana;100;Dana
39G5;25064;25;4;2,498206763;78;DEN;No;V;NA;NA;55,0333333333333;15,25;55,0581666666667;15,1916666666667;Allocated;Dana;100;Dana
39G5;25530;25;5;3.0430000000000001;93;DNK;No;V;1996 DANA trawl computer;NA;55,126666;15,788333;55,126666;15,876666;Allocated;Dana;100;Dana
39G5;25452;25;5;2,367169206;91;DEN;No;V;NA;NA;55,3733333333333;15,26;55,4016666666667;15,3083333333333;Allocated;Dana;100;Dana
39G8;26104;26;5;2,016250461;81,5;POL;No;V;NA;NA;55,3716666666667;18,55;55,35;18,595;assigned manually;PL;100;PL
39G8;26302;26;4;1.504;62;POL;No;V;2001 DANA trawl computer;NA;55,216683;18,122216;55,216583;18,165966;Allocated;PL;100;PL
39G8;26276;26;4;1,441102469;73;POL;No;V;NA;NA;55,27;18,3016666666667;55,2933333333333;18,3116666666667;Allocated;PL;100;PL
39G8;26106;26;5;2,499999998;90;POL;No;V;NA;NA;55,4416666666667;18,925;55,4;18,925;Allocated;PL;100;PL
39G9;26045;26;4;2,306009074;70;POL;No;V;NA;NA;55,2783333333333;19,0833333333333;55,25;19,0383333333333;Allocated;PL;100;PL
40G0;22027;22;2;2,310272905;17;DEN;No;V;NA;NA;55,635;10,0066666666667;55,6533333333333;10,0666666666667;Allocated;Havf;100;Havf
40G0;22033;22;2;2,3;19;DEN;No;V;NA;NA;55,9416666666667;10,48;55,9033333333333;10,48;Allocated;Havf;100;Havf
40G0;22106;22;2;2,501893033;18;DEN;No;V;NA;NA;55,6435;10,1976666666667;55,6365;10,2705;Allocated;Havf;100;Havf
40G0;22035;22;2;2,202461055;20;DEN;No;V;NA;NA;55,9833333333333;10,88;55,9783333333333;10,945;Allocated;Havf;100;Havf
40G0;22091;22;2;2,49852527;21;DEN;No;V;NA;NA;55,722;10,6366666666667;55,7175;10,5631666666667;Allocated;Havf;100;Havf
40G0;22092;22;2;2,381611185;38;DEN;No;V;NA;NA;55,83;10,82;55,7916666666667;10,8383333333333;Allocated;Havf;100;Havf
40G0;22090;22;2;2,253864608;23;DEN;No;V;NA;NA;55,705;10,4633333333333;NA;NA;Allocated;Havf;100;Havf
40G0;22029;22;2;2,105211541;18;DEN;No;V;NA;NA;55,6516666666667;10,6616666666667;55,6233333333333;10,6983333333333;Allocated;Havf;100;Havf
40G0;22118;22;2;2,502761926;18;DEN;No;V;NA;NA;55,6295;10,3431666666667;55,6225;10,416;Allocated;Havf;100;Havf
40G1;22036;22;2;2,313716664;17;DEN;No;V;NA;NA;55,9216666666667;11,2266666666667;55,8933333333333;11,2733333333333;Allocated;Havf;100;Havf
40G1;22037;22;2;2,201736096;19;DEN;No;V;NA;NA;55,9816666666667;11,03;55,9533333333333;11,0716666666667;assigned manually;Havf;100;Havf
40G2;23018;23;2;NA;17;DEN;No;V;NA;NA;55,96;12,6433333333333;55,9416666666667;12,6316666666667;Allocated;Havf;100;Havf
40G2;23051;23;2;NA;11;DEN;No;V;NA;NA;55,7593333333333;12,7146333333333;55,73785;12,7082833333333;Allocated;Havf;100;Havf
40G2;23041;23;2;NA;14;SWE;No;V;NA;NA;55,7335;12,8893333333333;55,7155;12,9;Allocated;Havf;100;Havf
40G7;25518;25;3;3.1389999999999998;50;SWE;No;V;1989 DANA trawl computer;NA;55,946666;17,196666;55,921666;17,278333;Allocated;Dana;100;Dana
40G7;25543;25;4;1.512;65;POL;No;V;2004 DANA trawl computer;NA;55,575533;17,81175;55,575866;17,85615;Allocated;Dana;100;Dana
40G7;25136;25;3;3,001786035;59;SWE;No;V;NA;NA;55,7766666666667;17,7;55,8233333333333;17,6683333333333;Allocated;Dana;100;Dana
40G7;25107;25;3;1,960788082;40;POL;No;V;NA;NA;55,5533333333333;17,6;55,54;17,55;Allocated;Dana;100;Dana
40G7;25522;25;3;3.484;57;SWE;No;V;1990 DANA trawl computer;NA;55,953333;17,57;56,01;17,591666;Allocated;Dana;100;Dana
40G9;26191;26;5;2,138676344;91;POL;No;V;NA;NA;54,6783333333333;19,2966666666667;54,6433333333333;19,3083333333333;Allocated;PL;100;PL
40G9;26294;26;4;3.4510000000000001;79;LTU;No;V;1988 DANA trawl computer;NA;55,896666;19,263333;55,936666;19,336666;Allocated;LV;100;LV
40H0;26028;26;3;1,788397802;50;LTU;No;V;NA;NA;55,7016666666667;20,6266666666667;55,6916666666667;20,675;Allocated;LT;100;LT
40H0;26026;26;4;2,021057684;63;LTU;No;V;NA;NA;55,7833333333333;20,2066666666667;55,785;20,265;Allocated;LT;100;LT
40H0;26134;26;2;1,593807411;36;LTU;No;V;NA;NA;55,9513333333333;20,4768333333333;55,9433333333333;20,4316666666667;Allocated;LT;100;LT
40H0;26206;26;3;1,606572635;55,5;LTU;No;V;NA;NA;55,7633333333333;20,3333333333333;55,7366666666667;20,3333333333333;Allocated;LT;100;LT
41G0;22094;22;2;2,288424957;23;DEN;No;V;NA;NA;56,0433333333333;10,9266666666667;NA;NA;Allocated;Havf;100;Havf
