Allocation method;NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;codstock;country
Standard;27015;44G8;27;57;49;18;7;5;SWE;57.81666667;18.11666667;25-32;SWE (SD 25-32)
Standard;27022;42G6;27;56;42.2;16;59.1;4;SWE;56.70333333;16.985;25-32;SWE (SD 25-32)
Standard;27028;42G6;27;56;39.45;16;58.76;4;SWE;56.6575;16.97933333;25-32;SWE (SD 25-32)
Standard;28001;42H0;28;56;40.4;20;44.8;3;LAT;56.67333333;20.74666667;25-32;LAT (SD 25-32)
Standard;28005;43H1;28;57;12.4;21;6.5;3;LAT;57.20666667;21.10833333;25-32;LAT (SD 25-32)
Standard;28006;43H0;28;57;20.8;20;52.5;4;LAT;57.34666667;20.875;25-32;LAT (SD 25-32)
Standard;28009;43H1;28;57;24.2;21;20.7;2;LAT;57.40333333;21.345;25-32;LAT (SD 25-32)
Standard;28013;42H0;28;56;39;20;40.2;3;LAT;56.65;20.67;25-32;LAT (SD 25-32)
Standard;28036;42H0;28;56;59.2;20;48;4;LAT;56.98666667;20.8;25-32;LAT (SD 25-32)
Standard;28052;43H1;28;57;27.9;21;9.8;4;LAT;57.465;21.16333333;25-32;LAT (SD 25-32)
Standard;28053;44G9;28;57;32.1;19;17.5;4;SWE;57.535;19.29166667;25-32;SWE (SD 25-32)
Standard;28059;44H1;28;57;54;21;28;4;EST;57.9;21.46666667;25-32;LAT (SD 25-32)
Standard;28063;42H0;28;56;31.9;20;14.9;5;LAT;56.53166667;20.24833333;25-32;LAT (SD 25-32)
Standard;28067;43G8;28;57;6.5;18;57.1;5;SWE;57.10833333;18.95166667;25-32;SWE (SD 25-32)
Standard;28072;43G9;28;57;15.4;19;4.3;5;SWE;57.25666667;19.07166667;25-32;SWE (SD 25-32)
Standard;28078;45G9;28;58;3.4;19;27.9;5;SWE;58.05666667;19.465;25-32;SWE (SD 25-32)
Standard;28093;43H1;28;57;29.3;21;26.2;2;LAT;57.48833333;21.43666667;25-32;LAT (SD 25-32)
Standard;28096;43G8;28;57;9.6;18;48.5;3;SWE;57.16;18.80833333;25-32;SWE (SD 25-32)
Standard;28098;43G9;28;57;20.2;19;8.1;5;SWE;57.33666667;19.135;25-32;SWE (SD 25-32)
Standard;28101;43G8;28;57;2.4;18;49.2;4;SWE;57.04;18.82;25-32;SWE (SD 25-32)
Standard;28122;43H1;28;57;23.8;21;17.54;3;LAT;57.39666667;21.29233333;25-32;LAT (SD 25-32)
Standard;28136;43H1;28;57;1.86;21;5.66;2;LAT;57.031;21.09433333;25-32;LAT (SD 25-32)
Standard;28138;43H1;28;57;4.05;21;7.77;2;LAT;57.0675;21.1295;25-32;LAT (SD 25-32)
Standard;28141;43H1;28;57;17.75;21;0.3;4;LAT;57.29583333;21.005;25-32;LAT (SD 25-32)
Standard;28157;42H0;28;56;39.38;20;45.92;2;LAT;56.65633333;20.76533333;25-32;LAT (SD 25-32)
Standard;28161;42H0;28;56;38.1;20;43.9;2;LAT;56.635;20.73166667;25-32;LAT (SD 25-32)
Standard;28173;42H0;28;56;38.85;20;36.28;3;LAT;56.6475;20.60466667;25-32;LAT (SD 25-32)
Standard;28180;43G8;28;57;15.16;18;55.55;3;SWE;57.25266667;18.92583333;25-32;SWE (SD 25-32)
Standard;28181;43G9;28;57;21.64;19;5.28;4;SWE;57.36066667;19.088;25-32;SWE (SD 25-32)
Standard;28184;44G9;28;57;41.77;19;24.33;4;SWE;57.69616667;19.4055;25-32;SWE (SD 25-32)
Standard;28188;44G9;28;57;36.88;19;10.15;3;SWE;57.61466667;19.16916667;25-32;SWE (SD 25-32)
Standard;28189;45G9;28;58;20.42;19;6.6;4;SWE;58.34033333;19.11;25-32;SWE (SD 25-32)
Standard;28190;44H0;28;57;58.9;20;58.43;5;EST;57.98166667;20.97383333;25-32;LAT (SD 25-32)
Standard;28191;45H1;28;58;1.6;21;5.9;4;EST;58.02666667;21.09833333;25-32;LAT (SD 25-32)
Standard;24161;38G3;24;54;46.2;13;58.3;3;GFR;54.77;13.97166667;21-24;GFR (SD 21-24)
Standard;24162;38G4;24;54;40.85;14;50.9;3;grey;54.68083333;14.84833333;21-24;DEN (SD 25-32)
Standard;24164;38G4;24;54;40.17;14;40.29;3;DEN;54.6695;14.6715;21-24;GFR (SD 21-24)
Standard;24171;38G3;24;54;56.32;13;5.39;3;GFR;54.93866667;13.08983333;21-24;GFR (SD 21-24)
Standard;24179;38G3;24;54;51.64;13;18.09;3;GFR;54.86066667;13.3015;21-24;GFR (SD 21-24)
Standard;24207;38G4;24;54;59.2;14;9.5;3;DEN;54.98666667;14.15833333;21-24;GFR (SD 21-24)
Standard;24210;39G3;24;55;1.02;13;18.4;3;SWE;55.017;13.30666667;21-24;GFR (SD 21-24)
Standard;24225;39G3;24;55;4.17;13;39.5;3;SWE;55.0695;13.65833333;21-24;GFR (SD 21-24)
Standard;24228;39G3;24;55;0.57;13;40.37;3;GFR;55.0095;13.67283333;21-24;GFR (SD 21-24)
Standard;24245;39G4;24;55;5.42;14;18.55;3;DEN;55.09033333;14.30916667;21-24;GFR (SD 21-24)
Re-allocated;24252;39G3;24;55;12.47;13;10.47;3;SWE;55.20783333;13.1745;21-24;SWE (SD 25-32)
Re-allocated;24263;39G3;24;55;16.35;13;44;3;SWE;55.2725;13.73333333;21-24;SWE (SD 25-32)
Standard;24312;39G3;24;55;2.59;13;27.03;3;SWE;55.04316667;13.4505;21-24;GFR (SD 21-24)
Standard;24314;39G3;24;55;5.66;13;32.258;3;SWE;55.09433333;13.53763333;21-24;GFR (SD 21-24)
Standard;24315;39G3;24;55;4.9;13;43.54;3;SWE;55.08166667;13.72566667;21-24;GFR (SD 21-24)
Standard;24316;39G4;24;55;9.276;14;3.96;3;SWE;55.1546;14.066;21-24;GFR (SD 21-24)
Standard;24317;39G4;24;55;9.471;14;16.2058;3;DEN;55.15785;14.27009667;21-24;GFR (SD 21-24)
Standard;22011;38G0;22;54;34.55;10;10.19;2;GFR;54.57583333;10.16983333;21-24;GFR (SD 21-24)
Standard;22135;38G1;22;54;37.4;11;5;2;GFR;54.62333333;11.08333333;21-24;GFR (SD 21-24)
Standard;22138;38G0;22;54;46.8;10;25.3;2;DEN;54.78;10.42166667;21-24;DEN (SD 21-24)
Standard;22141;37G1;22;54;14.4;11;25.3;2;GFR;54.24;11.42166667;21-24;GFR (SD 21-24)
Standard;25030;39G7;25;55;29.3;17;27.8;3;POL;55.48833333;17.46333333;25-32;POL (SD 25-32)
Standard;25134;40G6;25;55;47.3;16;42;3;SWE;55.78833333;16.7;25-32;DEN (SD 25-32)
Standard;25142;40G5;25;55;55.2;15;34.2;3;SWE;55.92;15.57;25-32;SWE (SD 25-32)
Standard;25292;40G4;25;55;41.6;14;50.5;3;SWE;55.69333333;14.84166667;25-32;SWE (SD 25-32)
Standard;25353;40G4;25;55;42.1;14;33;3;SWE;55.70166667;14.55;25-32;SWE (SD 25-32)
Standard;25391;40G4;25;55;40.1;14;43.46;3;SWE;55.66833333;14.72433333;25-32;SWE (SD 25-32)
Standard;25414;40G4;25;55;42.1;14;33;3;SWE;55.70166667;14.55;25-32;SWE (SD 25-32)
Standard;25421;40G4;25;55;41.2;14;27.3;3;SWE;55.68666667;14.455;25-32;SWE (SD 25-32)
Standard;25431;40G6;25;55;52.2;16;1.1;3;SWE;55.87;16.01833333;25-32;DEN (SD 25-32)
Standard;27024;43G7;27;57;1.9;17;57.5;4;SWE;57.03166667;17.95833333;25-32;SWE (SD 25-32)
Standard;28021;43H1;28;57;14.2;21;6.1;3;LAT;57.23666667;21.10166667;25-32;LAT (SD 25-32)
Standard;28121;43H1;28;57;22.11;21;15.57;3;LAT;57.3685;21.2595;25-32;LAT (SD 25-32)
;;;;;;;;;;;;;
;;;;;;;;;;;;;
