"NrHaul";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ";"Latitude1_deg_dec";"Longitude1_deg_dec";"codstock";"country"
"1";25053;"38G5";25;54;48.1;15;0.8;3;"DEN";54.8016666666667;15.0133333333333;"25-32";"DEN ( 25-32 )"
"2";25182;"38G5";25;54;53.3;15;17.5;3;"DEN";54.8883333333333;15.2916666666667;"25-32";"DEN ( 25-32 )"
