"NrHaul";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ";"Latitude1_deg_dec";"Longitude1_deg_dec";"codstock";"country"
"1";25065;"39G5";25;55;3.6;15;20.1;4;"DEN";55.06;15.335;"25-32";"DEN ( 25-32 )"
"2";25180;"38G5";25;54;47.5;15;42;4;"grey";54.7916666666667;15.7;"25-32";"grey ( 25-32 )"
"3";25190;"38G5";25;54;57;15;31;4;"grey";54.95;15.5166666666667;"25-32";"grey ( 25-32 )"
"4";25316;"38G5";25;54;56;15;38;4;"grey";54.9333333333333;15.6333333333333;"25-32";"grey ( 25-32 )"
"5";25333;"39G6";25;55;19;16;11;4;"DEN";55.3166666666667;16.1833333333333;"25-32";"DEN ( 25-32 )"
"6";25433;"38G5";25;54;50.3;15;27.3;4;"grey";54.8383333333333;15.455;"25-32";"grey ( 25-32 )"
