"NrHaul";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ";"Latitude1_deg_dec";"Longitude1_deg_dec";"codstock";"country"
"1";26028;"40H0";26;55;42.1;20;37.6;3;"LTU";55.7016666666667;20.6266666666667;"25-32";"LTU ( 25-32 )"
"2";26206;"40H0";26;55;45.8;20;20;3;"LTU";55.7633333333333;20.3333333333333;"25-32";"LTU ( 25-32 )"
