;NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;codstock;country
1;25055;38G5;25;54;49;15;55;4;POL;54.81666667;15.91666667;25-32;POL ( 25-32 )
2;25248;39G7;25;55;21.1;17;27.7;4;POL;55.35166667;17.46166667;25-32;POL ( 25-32 )
3;25252;39G7;25;55;29.8;17;48;4;POL;55.49666667;17.8;25-32;POL ( 25-32 )
4;25253;39G7;25;55;29;17;51;4;POL;55.48333333;17.85;25-32;POL ( 25-32 )
5;25457;39G7;25;55;20.7;17;10.9;4;POL;55.345;17.18166667;25-32;POL ( 25-32 )
