;NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;codstock;country
1;26153;39H0;26;55;29.4;20;38.8;4;LTU;55.49;20.64666667;25-32;LTU ( 25-32 )
2;26158;40H0;26;55;51.7;20;6.2;4;LTU;55.86166667;20.10333333;25-32;LTU ( 25-32 )
3;26196;40H0;26;55;45;20;1.2;4;LTU;55.75;20.02;25-32;LTU ( 25-32 )
