nation,color,decript,nationCode
DE,#F8766D,Germany,GFR
DK,#C49A00,Denmark,DEN
EE,#53B400,Estonia,EST
LT,#00C094,Lithuania,LTU
LV,#00B6EB,Latvia,LAT
PL,#A58AFF,Poland,POL
SE,#FB61D7,Sweden,SWE
