"Year","Index2124Q1","Index2124Q1.CV"
"1991",59858.8499658692,0.269996231944421
"1992",46781.5057859082,0.210629888440304
"1993",61332.497742882,0.224307771807478
"1994",34583.0580892243,0.203447384757344
"1995",28177.7413861116,0.232480920988076
"1996",35091.5591885979,0.210839759628008
"1997",18631.8559893154,0.199672089076905
"1998",36628.5586063434,0.205304196514799
"1999",28329.4276849747,0.176707708469541
"2000",35536.7116013472,0.174540423628968
"2001",30674.8303031222,0.162919630519435
"2002",36398.6030995324,0.167560622457815
"2003",73226.1671915595,0.159424143119926
"2004",58140.3770938429,0.16191292650238
"2005",68002.1747259414,0.149562583074996
"2006",70458.0668303373,0.146839061404603
"2007",77928.7824791699,0.163198506475905
"2008",65119.2045240441,0.143722948063525
"2009",68172.2537626577,0.168748966557087
"2010",98217.8793166852,0.154024867481402
"2011",77650.7328868318,0.149488344348299
"2012",86806.8263207727,0.149633781335366
"2013",84944.9356613941,0.153439501333082
"2014",137527.467987542,0.151139995340387
"2015",117912.696098563,0.14744672025929
"2016",138823.069125128,0.135253207464438
"2017",105849.681646671,0.128007016500943
"2018",141091.239722947,0.130332891119312
"2019",141478.91521354,0.130401443738601
"2020",129182.54136106,0.135767102068268
"2021",138293.693820894,0.134370341287626
"2022",149152.607151176,0.129493593685472
"2023",213558.664287733,0.135056799312311
"2024",166424.401456194,0.136067549030386
"2025",179451.661465673,0.132749034939166
"2026",127431.901513993,0.141005600628076
