"Year","Index2124Q4","Index2124Q4.CV"
"1991",15863.677790917,0.50995278489314
"1992",21168.3846203361,0.327321375225966
"1993",30593.0348435096,9.15092627635763
"1994",11761.2391378836,0.322970117699613
"1995",15584.9147059611,0.394493488779123
"1996",17960.7928546655,0.303520676989152
"1997",17988.3255406393,0.320044150307508
"1998",11237.2744348395,9.16676742076643
"1999",13117.7697763648,0.315855742546218
"2000",12280.2574548077,0.245167305320277
"2001",18173.7675158982,0.314790633211485
"2002",37013.1293044245,0.350077459670306
"2003",15701.2262758148,0.307361390001613
"2004",22564.9201876701,0.252602865173967
"2005",13273.9471473163,0.281145819377437
"2006",23893.0358427298,0.275171032340606
"2007",27146.061365438,0.243381811959434
"2008",33543.0319529,0.259324108629478
"2009",47956.5563213305,0.333814491283257
"2010",76932.1952015878,0.300377849675564
"2011",64429.6770795864,0.268023290270121
"2012",67347.1320131992,0.298557168311837
"2013",84731.0666675138,0.306378699853906
"2014",128996.853934296,0.353852993905791
"2015",208544.584386845,0.338367672412686
"2016",143537.78215963,0.342216928075642
"2017",113930.190289823,0.33870280943386
"2018",86416.3434176994,0.284786824097989
"2019",57782.9874477408,0.369030819944177
"2020",55062.6114782951,0.24497706828997
"2021",81067.250631376,0.346934023151099
"2022",59653.8978913631,0.318806285243551
"2023",54530.3025938646,0.282153665527727
"2024",70795.2349343692,0.327238386743444
