"Year","Index2224Q4","Index2224Q4.CV"
"1991",32949.2905256805,0.342921315690552
"1992",90935.8754250904,0.347089417190777
"1993",61063.2602678995,0.256069087963972
"1994",20857.6972362172,0.305732373387736
"1995",19548.7057645029,0.308827988796385
"1996",24821.4041213135,0.312794018629739
"1997",36261.4109207339,0.357593216625451
"1998",27013.5258662259,0.335651584418267
"1999",14910.188693814,0.212209369761375
"2000",11442.1710598489,0.218332206698077
"2001",26976.7387866758,0.199757804296899
"2002",35945.2430139215,0.212424707251184
"2003",44327.9512961269,0.20223784378245
"2004",62465.6190905758,0.176599407947357
"2005",34500.9026442185,0.172811690801237
"2006",39961.0578593536,0.180655276340511
"2007",37537.7229782413,0.159605033409864
"2008",66964.9385254745,0.159431906591931
"2009",65384.1795233503,0.160699273036518
"2010",72679.7576773921,0.157065277784232
"2011",86957.6799605232,0.173893260784955
"2012",71346.3181592672,0.179042258339241
"2013",79006.0454095088,0.180962487468264
"2014",66461.9068202434,0.179455755473283
"2015",83106.122875815,0.167287958210411
"2016",73112.5652789706,0.149059346979442
"2017",91269.8521604122,0.141569216830046
"2018",91199.1269002779,0.147094841514931
"2019",31512.6857926172,0.142725551215936
"2020",86985.2195134123,0.137439496355583
"2021",117097.682809998,0.134423282147171
"2022",149219.566484434,0.126743410852523
"2023",121612.322585467,0.135113445887288
"2024",91044.3775721478,0.139180722464687
"2025",149055.154104802,0.141960574603758
