"SD";"Layer";"comment";"allocated"
22;2;"OK";45
24;2;"OK";24
24;3;"OK";16
24;4;"Not enough stations in strata";0
25;2;"Not enough stations in strata";14
25;3;"OK";25
25;4;"OK";23
25;5;"OK";14
26;2;"Not enough stations in strata";10
26;3;"OK";13
26;4;"OK";18
26;5;"OK";19
26;6;"Not enough stations in strata";12
27;3;"OK";2
27;4;"OK";4
27;5;"OK";4
28;2;"Not enough stations in strata";4
28;3;"OK";6
28;4;"OK";5
28;5;"OK";12
28;6;"OK";3
