"NrHaul";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ"
"1";22002;"37G1";22;54;11.27;11;55.26;2;"GFR"
"2";22008;"37G1";22;54;20.8;11;55.3;2;"GFR"
"3";22018;"39G1";22;55;4.2;11;4.1;2;"DEN"
"4";22020;"39G0";22;55;12.7;10;56.3;2;"DEN"
"5";22023;"39G1";22;55;18.47;11;1.28;2;"DEN"
"6";22024;"39F9";22;55;21.9;9;45.16;2;"DEN"
"7";22025;"39G0";22;55;23.14;10;50.56;2;"DEN"
"8";22026;"39G0";22;55;25.4;10;46;2;"DEN"
"9";22027;"40G0";22;55;38.1;10;0.4;2;"DEN"
"10";22032;"40G0";22;55;46.7;10;40.8;2;"DEN"
"11";22034;"40G0";22;55;59.6;10;38.4;2;"DEN"
"12";22036;"40G1";22;55;55.3;11;13.6;2;"DEN"
"13";22037;"40G1";22;55;58.9;11;1.8;2;"DEN"
"14";22044;"37G1";22;54;7.13;11;10.01;2;"GFR"
"15";22045;"37G1";22;54;17.28;11;18.11;2;"GFR"
"16";22051;"37G1";22;54;14.48;11;43.21;2;"GFR"
"17";22058;"37G1";22;54;27.17;11;25.18;2;"GFR"
"18";22071;"38G1";22;54;32.4;11;24.4;2;"DEN"
"19";22072;"38G1";22;54;33.53;11;21.74;2;"GFR"
"20";22075;"38G0";22;54;48.3;10;8.7;2;"DEN"
"21";22076;"38G0";22;54;49.11;10;16.47;2;"DEN"
"22";22077;"38G0";22;54;41.63;10;19.45;2;"DEN"
"23";22079;"38G0";22;55;5.09;9;59.08;2;"DEN"
"24";22081;"39F9";22;55;6.3;9;59.28;2;"DEN"
"25";22084;"39G1";22;55;11.9;11;4.6;2;"DEN"
"26";22085;"40G0";22;55;38.66;10;32.11;2;"DEN"
"27";22086;"40G0";22;55;35.96;10;55.36;2;"DEN"
"28";22092;"40G0";22;55;49.8;10;49.2;2;"DEN"
"29";22103;"39G1";22;55;3.32;11;1.82;2;"DEN"
"30";22111;"38G0";22;54;54.83;10;3.2;2;"DEN"
"31";22114;"37G1";22;54;8.7;11;17.68;2;"GFR"
"32";22117;"40G0";22;55;30.3;10;41.58;2;"DEN"
"33";22118;"40G0";22;55;37.77;10;20.59;2;"DEN"
"34";22122;"39G0";22;55;32.49;10;51.14;2;"DEN"
"35";22124;"38F9";22;54;48.88;10;17.53;2;"DEN"
"36";22125;"39G0";22;55;24.08;10;48.95;2;"DEN"
"37";22130;"39G0";22;55;19.93;10;53.86;2;"DEN"
"38";22131;"38G0";22;54;37.7;10;38.92;2;"DEN"
"39";22135;"38G1";22;54;37.4;11;5;2;"GFR"
"40";22136;"38G0";22;54;44.5;10;11.9;2;"GFR"
"41";22141;"37G1";22;54;14.4;11;25.3;2;"GFR"
"42";22142;"37G1";22;54;15.9;11;30.1;2;"GFR"
"43";22143;"37G1";22;54;12.9;11;33.1;2;"GFR"
"44";22144;"37G1";22;54;18.23;11;29.17;2;"GFR"
"45";22146;"37G1";22;54;17.75;11;36.3;2;"GFR"
"46";24001;"37G2";24;54;23.05;12;11.63;2;"GFR"
"47";24002;"37G2";24;54;26.48;12;20.88;2;"GFR"
"48";24005;"38G2";24;54;39.6;12;11.2;2;"DEN"
"49";24006;"38G2";24;54;35.31;12;27.37;2;"GFR"
"50";24016;"38G2";24;54;41.28;12;58.35;2;"GFR"
"51";24022;"37G4";24;54;26.75;14;57.3;2;"POL"
"52";24024;"38G3";24;54;34.4;13;47.6;2;"GFR"
"53";24039;"38G4";24;54;39.36;14;9.47;2;"GFR"
"54";24046;"38G4";24;54;40.2;14;30.7;2;"DEN"
"55";24047;"38G4";24;54;35.4;14;27.96;2;"GFR"
"56";24055;"38G4";24;54;34.16;14;43.13;2;"POL"
"57";24057;"37G4";24;54;32.3;14;56.3;2;"POL"
"58";24059;"38G2";24;54;46.77;12;21.78;2;"DEN"
"59";24066;"38G3";24;54;44.6;13;20.22;2;"GFR"
"60";24086;"39G2";24;54;59.23;12;40.34;2;"DEN"
"61";24089;"38G2";24;54;54.1254;12;54;3;"DEN"
"62";24095;"39G2";24;55;5;12;50.1;2;"DEN"
"63";24101;"39G3";24;55;6.87;13;52.47;3;"SWE"
"64";24104;"39G3";24;55;3.98;13;20.4;3;"SWE"
"65";24107;"39G3";24;55;16.4;13;44.6;3;"SWE"
"66";24142;"39G4";24;55;16.4;14;5;2;"SWE"
"67";24150;"38G4";24;54;36.77;14;46.61;3;"DEN"
