SD;DepthInterval;Layer;Area
22; 10 - 39;2;2900
22; 40 - 59;3;0
22; 60 - 79;4;0
22; 80 - 99;5;0
22;100 - 119;6;0
23; 10 - 39;2;2281
24; 10 - 39;2;4174
24; 40 - 59;3;1550
24; 60 - 79;4;29
24; 80 - 99;5;0
24;100 - 119;6;0
25; 20 - 39;2;4532
25; 40 - 59;3;3254
25; 60 - 79;4;3037
25; 80 - 99;5;1461
25;100 - 119;6;0
26; 20 - 39;2;2379
26; 40 - 59;3;1519
26; 60 - 79;4;1911
26; 80 - 99;5;2872
26;100 - 119;6;1504
27; 10 - 39;2;0
27; 40 - 59;3;1101
27; 60 - 79;4;996
27; 80 - 99;5;1596
27;100 - 119;6;0
28; 10 - 39;2;2589
28; 40 - 59;3;1598
28; 60 - 79;4;1101
28; 80 - 99;5;1389
28;100 - 119;6;0
