"Year","Index2223Q4","Index2223Q4.CV"
"1991",3062.3935986981,0.606538083395888
"1992",3838.79591656592,0.338539457404661
"1993",4725.84076263139,0.245708133702622
"1994",2195.31500634225,0.353326310375448
"1995",2346.02884831383,0.326979102093007
"1996",3586.81915928463,0.31618704369726
"1997",4306.28391202406,0.326488374781599
"1998",2142.17053668615,0.297208509483169
"1999",2110.08911373873,0.251183838751511
"2000",2636.72647685765,0.225965613442163
"2001",2977.16792947817,0.22847639575399
"2002",5008.63395469107,0.213907399863323
"2003",2960.50019745085,0.206910907947207
"2004",4521.20475822279,0.220507806527092
"2005",2108.54613152156,0.247634266090739
"2006",4102.79284034021,0.215798426889861
"2007",5407.41813155546,0.207581921318981
"2008",5782.32501399224,0.183594381510042
"2009",6801.14072048935,0.191320088162173
"2010",9021.23699392966,0.178150394009969
"2011",9353.28775361704,0.186753197800817
"2012",8600.69869880967,0.205864246795986
"2013",10585.320515752,0.194619966910824
"2014",12158.0774119032,0.184752104978739
"2015",24532.9808130053,0.185981533829146
"2016",10431.9329303738,0.169242021795236
"2017",9979.05678736289,0.175284522264563
"2018",7439.17843031941,0.168426341843015
"2019",4273.67770069202,0.171281686744646
"2020",7015.88736313656,0.171979980809359
"2021",6584.83021684971,0.161571560166095
"2022",5392.76532644234,0.156317695799676
"2023",5762.57802316041,0.170405236507638
"2024",6235.8989476464,0.172136153663602
"2025",8907.94764910541,0.18082893681551
