"Year","Index2123Q1","Index2123Q1.CV"
"1991",28312.3339585803,0.318683827639964
"1992",26069.0969379897,0.257910840518524
"1993",30963.4544725552,0.287842162276534
"1994",16015.3130258359,0.243878266292264
"1995",20970.4346409543,0.294034158337573
"1996",15285.9177175808,0.171361648096076
"1997",12633.676172058,0.170424129793857
"1998",14343.4969923936,0.18726181040578
"1999",11882.0811111081,0.168278713668799
"2000",21298.2116949115,0.163598285724189
"2001",13925.1215605486,0.150314365027702
"2002",12950.482996107,0.147700153562501
"2003",14091.4235404113,0.165669882896253
"2004",12529.7743861774,0.160396610419184
"2005",18736.9977135955,0.153536706338797
"2006",18068.5018064153,0.146988120864154
"2007",19042.5252263079,0.149341845907274
"2008",14566.3083529069,0.149281446309575
"2009",11769.8013132671,0.158067781636161
"2010",20110.1002225624,0.149661582688111
"2011",27400.2269266211,0.148220835199521
"2012",24728.4590706192,0.144638812433726
"2013",27471.5432288105,0.151186128667543
"2014",34844.2805813397,0.160522402693935
"2015",25967.4403674167,0.152420190239718
"2016",36310.5320501684,0.142576146807335
"2017",24580.3426071894,0.135856596035143
"2018",24216.9319712608,0.143734964094456
"2019",15901.0489656849,0.138387154080676
"2020",13487.2909587981,0.145755743106476
"2021",17848.8831446851,0.137557768105331
"2022",17755.816789494,0.146260768103443
"2023",17436.5126532358,0.139924631640541
"2024",22132.4171918044,0.142054006315892
"2025",21423.134445987,0.142434809825838
"2026",24647.2178190491,0.136485476606949
